date,A261RC,A4002C,A4102C,A038RC,W271RC,indirect,W056RC,A107RC,A262RC,NDI
1988-01-01,49.14408932012051,27.717296668537706,22.952640124608116,4.764656543929592,10.77361183676933,3.2469444676370434,3.5413701963542565,0.29442572871721334,7.406236347176425,41.73785297294408
1988-04-01,49.60676024902107,28.02177594748953,23.214922640042687,4.806853307446842,10.848568208853871,3.2837579957876524,3.5697396629610294,0.2859816671733773,7.452658096890023,42.15410215213105
1988-07-01,49.92401006428532,28.11476966661848,23.269404198527614,4.845365468090867,11.044700147398434,3.2897276022899216,3.5658826514248365,0.27615504913491506,7.4748126479784816,42.44919741630683
1988-10-01,50.482043838849904,28.362735257887294,23.441265765974702,4.921469491912597,11.291234996757641,3.307200222456021,3.5740296952504704,0.2668294727944489,7.520864020615642,42.961179818234264
1989-01-01,50.68799007260926,28.417933060058143,23.45188097604972,4.9660520840084255,11.369420732239943,3.34963605549009,3.607527474508255,0.2578914190181652,7.551000224821084,43.13698984778817
1989-04-01,50.48361991391528,28.379707475722206,23.360206352001946,5.019501123720262,11.157631844521655,3.3709814055624334,3.620451299095327,0.24946989353289278,7.575299188108981,42.90832072580629
1989-07-01,50.55363125319869,28.46192510681733,23.386962570214987,5.074962536602336,11.074817098513565,3.398160085538997,3.6424967076276777,0.2443366220886806,7.6187289623288,42.934902290869886
1989-10-01,50.47155719430317,28.67486247784068,23.548835253645972,5.126027224194709,10.779819994144418,3.355251263713866,3.5987975839992505,0.24354632028538498,7.661623458604207,42.80993373569897
1990-01-01,50.838149509575025,28.865420241891012,23.679831737340294,5.185588504550717,10.845445100568577,3.45884826155611,3.6979302192770116,0.23908195772090185,7.668435905559328,43.169713604015705
1990-04-01,50.96250135716142,28.99579912479816,23.81796326672047,5.1778358580776915,10.890052940531575,3.410592711432176,3.6447722619368825,0.2341795505047061,7.666056580399513,43.29644477676191
1990-07-01,50.74683519376039,28.973531252496933,23.794862440436514,5.17866881206042,10.656925706675137,3.4325311426794425,3.6637297632430386,0.23119862056359566,7.683847091908876,43.062988101851516
1990-10-01,50.33376619321774,28.736208869834485,23.562434507284838,5.173774362549651,10.438596325312764,3.458169917341057,3.687164567122481,0.22899464978142361,7.700791080729437,42.63297511248831
1991-01-01,50.07476281856339,28.41868715209276,23.256151972457392,5.162543563055355,10.457142757781254,3.494813057755409,3.7223139260034768,0.22750086824806784,7.70411985093397,42.37064296762942
1991-04-01,50.0614217544866,28.45713803965041,23.251737918008963,5.205400121641444,10.377591829966303,3.5202660250677464,3.746021846098028,0.22575582103028144,7.706425859802146,42.35499589468446
1991-07-01,50.01932888252878,28.48446282813106,23.219870811114333,5.264592017016728,10.28498425008288,3.5578920961005576,3.783488994453932,0.22559689835337426,7.691989708214284,42.327339174314496
1991-10-01,50.02351674287689,28.605376946990578,23.250019231983543,5.355365841091334,10.144766162800773,3.6033820658395395,3.8317087825233282,0.22832671668378918,7.669991567246001,42.353525175630885
1992-01-01,50.73160478405331,29.049294518721656,23.537456246565696,5.511838272155963,10.413463657134221,3.6149911006798408,3.8456553498411887,0.23066424916134795,7.653847435277904,43.077757348775414
1992-04-01,50.985364979565,29.229268930110056,23.63182674262893,5.597442187481127,10.502503621408904,3.6147398394850816,3.8484524322273,0.233712592742219,7.638852588560961,43.34651239100404
1992-07-01,50.96035009168369,29.26944617494019,23.62424143691699,5.645204738023201,10.440021023116111,3.6123728234276675,3.8533541459710703,0.2409813225434029,7.63851799930351,43.32183209238018
1992-10-01,51.26309887080462,29.349603163397635,23.729583769288183,5.620019394109451,10.67545808788765,3.592184140652565,3.844574676130498,0.252390535477933,7.645845631146378,43.61725323965825
1993-01-01,50.93465783436231,29.168558440130425,23.49127034380275,5.6772880963276755,10.557938833166977,3.534773849951527,3.8107514032942396,0.27597755334271246,7.67338671111338,43.26127112324893
1993-04-01,51.3917555447485,29.331060382939604,23.672561790136243,5.658498592803363,10.820898228887009,3.547255602163344,3.8368857180695666,0.28963011590622223,7.692541330758541,43.699214213989954
1993-07-01,51.31796828018427,29.317209213981346,23.659961100461217,5.65724811352013,10.725088611404196,3.56938113343332,3.8573122047121693,0.28793107127884965,7.706296961226134,43.61167131895813
1993-10-01,52.14956879472303,29.485218483872934,23.82043556754297,5.664782916329967,11.258284739648309,3.6682306311659394,3.940978708878049,0.27274807771210946,7.737834940035853,44.41173385468718
1994-01-01,52.296833814755324,29.450245986779368,23.73152272321457,5.718723263564797,11.335186849067293,3.7431763467511074,3.995532662992641,0.25235631624153326,7.768224632157556,44.52860918259777
1994-04-01,52.952222102630685,29.807019553868624,24.07621708704012,5.730802466828504,11.515249310708317,3.819627352723488,4.06115013834624,0.2415227856227516,7.8103258853302515,45.14189621730043
1994-07-01,53.27657805979094,29.83857663170252,24.123026371793234,5.715542866383583,11.750057218771923,3.834023657689898,4.070209836365481,0.23618617867558317,7.8539205516266,45.42265750816434
1994-10-01,53.74970998290555,30.00017638712526,24.307685482486253,5.69249090463901,12.002604209879994,3.8299392170272943,4.066032465240692,0.23609324821339808,7.916990168872999,45.83271981403255
1995-01-01,53.82802140838501,30.09565246010399,24.449991931306798,5.6456532566477104,11.947792535626665,3.7913860374476616,4.038377322451742,0.24699128500408046,7.993183103057208,45.8348383053278
1995-04-01,53.9890125103913,30.144360875760437,24.531992235369557,5.612368640390879,12.047033092341572,3.745396810520356,3.9952010708070955,0.24980426028673916,8.052228948625125,45.93678356176617
1995-07-01,54.479083882122595,30.235687467809097,24.646236923688125,5.58945054412097,12.399341398206943,3.7495771829395212,4.001174435413801,0.25159725247427994,8.094477833167032,46.38460604895556
