date,WGT
2018-04-01,3.2511115074157715
2018-05-01,3.266592820485433
2018-06-01,3.2340804735819497
2018-07-01,3.3753554026285806
2018-08-01,3.490595022837321
2018-09-01,3.4769574801127114
2018-10-01,3.63731582959493
2018-11-01,4.018737872441609
2018-12-01,3.965038061141968
2019-01-01,3.885410229365031
2019-02-01,3.412411610285441
2019-03-01,3.46334179242452
2019-04-01,3.594362735748291
2019-05-01,3.764913479487101
2019-06-01,3.903617461522421
2019-07-01,3.903716802597046
2019-08-01,3.8247386614481607
2019-09-01,3.726681073506673
2019-10-01,3.5836378733317056
2019-11-01,3.782471021016439
2019-12-01,3.7430206934611
2020-01-01,3.885877132415772
2020-02-01,3.849265972773234
2020-03-01,3.660064935684204
2020-04-01,3.608759244283041
2020-05-01,3.724292993545532
2020-06-01,3.913817882537842
2020-07-01,3.8527390162150064
2020-08-01,3.5539468129475917
2020-09-01,3.633596499760946
2020-10-01,3.695086638132731
2020-11-01,3.817133108774821
2020-12-01,3.4974555174509683
2021-01-01,3.3849616845448813
2021-02-01,3.349270423253377
2021-03-01,3.362512588500977
2021-04-01,3.232300281524658
2021-05-01,3.052039941151937
2021-06-01,3.3262511094411216
2021-07-01,3.8059990406036377
2021-08-01,3.992907285690308
2021-09-01,4.369221210479736
2021-10-01,4.3648918469746905
2021-11-01,4.570706685384114
2021-12-01,4.79841423034668
2022-01-01,5.366597493489583
2022-02-01,6.061039288838704
2022-03-01,6.207482020060222
2022-04-01,6.3283125559488935
2022-05-01,6.467318534851074
2022-06-01,6.990504264831543
2022-07-01,6.925439834594727
2022-08-01,6.925324598948161
2022-09-01,6.660175323486328
2022-10-01,6.675138155619304
2022-11-01,6.657270590464274
2022-12-01,6.319204966227214
2023-01-01,6.248396555582683
2023-02-01,6.266339619954427
2023-03-01,6.456092993418376
2023-04-01,6.039504210154216
2023-05-01,6.0394287109375
2023-06-01,5.699416001637776
2023-07-01,5.905838807423909
2023-08-01,5.535467465718587
2023-09-01,5.442674954732259
2023-10-01,5.245806694030762
2023-11-01,5.148428599039714
2023-12-01,5.185081481933594
2024-01-01,5.0961653391520185
2024-02-01,5.008355776468913
2024-03-01,4.841204484303792
2024-04-01,5.476125081380208
