date,Corporation Income Taxes,Employment and General Retirement,Individual Income Taxes,Other Retirement,Total,Unemployment Insurance,Other,SI
2016-02-29,0.3308,1.0281,1.58287,0.00377997,3.31148,0.0504685,1.72862,1.08235
2016-03-31,0.33359,1.02524,1.57404,0.00378497,3.30514,0.050482,1.73111,1.07951
2016-04-30,0.326027,1.02804,1.552,0.00378987,3.27177,0.0464118,1.71977,1.07824
2016-05-31,0.323228,1.03193,1.56393,0.00380737,3.28399,0.0489936,1.72007,1.08474
2016-06-30,0.311732,1.04696,1.54493,0.00382469,3.27063,0.0488636,1.7257,1.09965
2016-07-31,0.309671,1.05241,1.53566,0.00385156,3.25513,0.0472304,1.71947,1.1035
2016-08-31,0.30849,1.05709,1.54799,0.0038918,3.27562,0.048574,1.72763,1.10955
2016-09-30,0.299571,1.06231,1.54607,0.00390509,3.26669,0.0488527,1.72061,1.11506
2016-10-31,0.297592,1.06423,1.55843,0.00392056,3.27733,0.0494198,1.7189,1.11758
2016-11-30,0.294563,1.06565,1.55654,0.00394473,3.27224,0.0479908,1.7157,1.11758
2016-12-31,0.290402,1.0742,1.54735,0.00397347,3.24181,0.0480222,1.69446,1.12619
2017-01-31,0.292354,1.07969,1.56335,0.00404524,3.2723,0.0504968,1.70895,1.13424
2017-02-28,0.298289,1.08725,1.55987,0.00403834,3.27487,0.0470605,1.715,1.13835
2017-03-31,0.277898,1.08863,1.5668,0.00404797,3.26361,0.0469806,1.69681,1.13965
2017-04-30,0.301952,1.09662,1.54995,0.00406512,3.28078,0.0466636,1.73083,1.14735
2017-05-31,0.303345,1.10243,1.55697,0.00408682,3.29659,0.046309,1.73962,1.15283
2017-06-30,0.299444,1.10219,1.57369,0.00419198,3.30568,0.0463639,1.73199,1.15275
2017-07-31,0.299923,1.10615,1.58728,0.00417251,3.32772,0.0484239,1.74045,1.15875
2017-08-31,0.300123,1.10895,1.58162,0.00417669,3.32271,0.0459105,1.74108,1.15904
2017-09-30,0.297048,1.1119,1.58712,0.00419063,3.31489,0.0458083,1.72777,1.1619
2017-10-31,0.2985,1.11638,1.59338,0.00419975,3.32854,0.0459686,1.73517,1.16655
2017-11-30,0.295552,1.12136,1.60035,0.00421801,3.33704,0.045598,1.73669,1.17117
2017-12-31,0.283369,1.11891,1.62513,0.00424141,3.34363,0.0454748,1.71851,1.16863
2018-01-31,0.287704,1.12149,1.63978,0.00426095,3.3606,0.0459857,1.72083,1.17174
2018-02-28,0.283234,1.12303,1.62391,0.00427459,3.34451,0.0459439,1.7206,1.17325
2018-03-31,0.275421,1.12458,1.628,0.00429112,3.33876,0.0459417,1.71076,1.17481
2018-04-30,0.257868,1.12628,1.69301,0.00431292,3.3936,0.0504585,1.70059,1.18105
2018-05-31,0.254865,1.12814,1.68157,0.00433921,3.37026,0.045545,1.68869,1.17802
2018-06-30,0.235495,1.11151,1.69337,0.00436187,3.34788,0.0455242,1.65451,1.1614
2018-07-31,0.230758,1.1139,1.68958,0.00439465,3.3411,0.0455783,1.65153,1.16387
2018-08-31,0.225968,1.11734,1.68671,0.00440287,3.33391,0.0451779,1.6472,1.16692
2018-09-30,0.204733,1.12115,1.68354,0.00450282,3.32875,0.0450416,1.64521,1.1707
2018-10-31,0.209004,1.12361,1.68457,0.00452445,3.3461,0.0450997,1.66153,1.17323
2018-11-30,0.209663,1.12661,1.67924,0.00463149,3.34368,0.04472,1.66444,1.17596
2018-12-31,0.195791,1.13656,1.66548,0.0046329,3.33047,0.0447604,1.66499,1.18595
2019-01-31,0.189063,1.14105,1.65074,0.00449989,3.30941,0.0425989,1.65867,1.18815
2019-02-28,0.190386,1.14544,1.66201,0.00463286,3.32106,0.0422286,1.65904,1.1923
2019-03-31,0.194113,1.15037,1.67109,0.00463307,3.33903,0.0421178,1.66794,1.19712
2019-04-30,0.196634,1.15606,1.68957,0.00466706,3.36413,0.0423312,1.67456,1.20305
2019-05-31,0.194112,1.16059,1.70072,0.00478319,3.37912,0.0413659,1.6784,1.20674
2019-06-30,0.20738,1.18708,1.67952,0.00473357,3.3968,0.0413021,1.71727,1.23311
2019-07-31,0.210051,1.19014,1.69729,0.00477269,3.42288,0.0411723,1.72559,1.23608
2019-08-31,0.212108,1.19359,1.69683,0.00480357,3.43173,0.0409848,1.73489,1.23938
2019-09-30,0.230245,1.19739,1.71786,0.00475891,3.4622,0.040934,1.74434,1.24309
2019-10-31,0.228815,1.20081,1.71538,0.00479077,3.45502,0.04075,1.73964,1.24635
2019-11-30,0.230994,1.20464,1.72777,0.00483046,3.47425,0.0406953,1.74648,1.25017
2019-12-31,0.242549,1.21311,1.72992,0.00485561,3.49747,0.0406518,1.76755,1.25862
2020-01-31,0.246287,1.21895,1.74945,0.00502129,3.52978,0.0406323,1.78033,1.2646
2020-02-29,0.244915,1.22385,1.76241,0.00495222,3.55046,0.0404907,1.78805,1.26929
2020-03-31,0.246511,1.22922,1.76349,0.00499802,3.55842,0.0405121,1.79493,1.27473
2020-04-30,0.205763,1.23429,1.50594,0.00502153,3.26474,0.0397364,1.7588,1.27905
2020-05-31,0.203558,1.23876,1.45001,0.00505889,3.20653,0.0399041,1.75653,1.28373
2020-06-30,0.157996,1.24266,1.40097,0.00514489,3.11341,0.0414346,1.71244,1.28924
2020-07-31,0.219019,1.24745,1.64665,0.00515267,3.42556,0.0413258,1.7789,1.29393
2020-08-31,0.222503,1.2521,1.63016,0.0051648,3.42081,0.0412203,1.79066,1.29848
2020-09-30,0.211845,1.26165,1.60866,0.00520061,3.41995,0.0431038,1.81129,1.30995
2020-10-31,0.214426,1.26843,1.59102,0.00533334,3.41213,0.0422381,1.82111,1.31601
2020-11-30,0.210701,1.27623,1.57903,0.00531383,3.4065,0.0434524,1.82747,1.32499
2020-12-31,0.215311,1.28501,1.57081,0.00534184,3.41681,0.0468696,1.84601,1.33723
2021-01-31,0.221283,1.28298,1.58572,0.00534861,3.42918,0.0460229,1.84346,1.33435
2021-02-28,0.227104,1.28106,1.64192,0.00538207,3.48954,0.0474247,1.84762,1.33387
2021-03-31,0.23197,1.27905,1.66391,0.00540782,3.52039,0.0482676,1.85647,1.33273
2021-04-30,0.300798,1.28247,1.78331,0.0055523,3.71771,0.0492341,1.9344,1.33726
