name,Total,Age2554FT,FT,Age2554PT,PT
2008-01-01,39.0387630498542,42.8180583633156,42.6405212458779,31.4957715781932,28.4686833298009
2008-02-01,39.1280644734298,43.1031549538532,42.7961858313987,31.7483892443038,28.8261525182441
2008-03-01,39.0720323029155,42.9877959029897,42.7785105757442,31.7866123011206,28.6865257401271
2008-04-01,39.0075464167448,42.9929726572632,42.7854752604483,31.5407444655728,28.5212846395913
2008-05-01,38.9522078895179,42.9799057016428,42.7762046448843,31.3336682686793,28.262205175441
2008-06-01,38.9514381876285,42.9716512367815,42.7871346156669,31.2625780288824,28.4301175906009
2008-07-01,38.9058562813191,42.8864517852874,42.7020803145075,31.7398609678212,28.7926697927817
2008-08-01,38.8741522580792,42.8753732293209,42.6661727801171,31.3696464078453,28.4699394065618
2008-09-01,38.8473289244362,42.7899394993463,42.6206743229637,31.5443064465333,28.5454581023234
2008-10-01,38.7824228553351,42.7497788875747,42.5662923700221,31.3031293379827,28.2804883923701
2008-11-01,38.7273485580326,42.7334392383769,42.5521726859012,31.2582753127901,28.3952003438307
2008-12-01,38.6284054529447,42.7613023290846,42.5680463500025,31.3565363928078,28.4544430735271
2009-01-01,38.6386815034689,42.7833295168307,42.6028234964231,31.447597338745,28.5056383675284
2009-02-01,38.5095540932779,42.7315678220808,42.5571583508238,31.1122632707215,28.1946717429791
2009-03-01,38.4478890067329,42.7927549608516,42.6210197974381,31.219639284066,28.3274711378833
2009-04-01,38.421277341309,42.7532134171929,42.562281894377,31.8844225802334,29.1599145089897
2009-05-01,38.401688469832,42.7013018652403,42.5604910919029,31.1222976237622,28.4192544097586
2009-06-01,38.3010000993386,42.6342331941295,42.4666163537676,31.0092419626823,28.2908618026353
2009-07-01,38.2379698488422,42.6279660631701,42.4739779902306,30.7609355694663,28.057822809015
2009-08-01,38.3464988504382,42.6727273428021,42.5297499550074,30.8478998507235,28.1348144851585
2009-09-01,38.3240754604258,43.3502793763594,43.1899905011021,35.2084808474376,32.7795557374999
2009-10-01,38.3279292245005,42.6891714303668,42.5581561433287,31.1118472171742,28.5572125237701
2009-11-01,38.3297336830161,42.6703751080309,42.5643073311271,30.8978243127721,28.3231545940472
2009-12-01,38.3391387832095,42.6677481742739,42.5832989274151,31.0698981846785,28.3703379772933
2010-01-01,38.2964157852462,42.6238506575525,42.5133608644313,30.5818852471185,27.838280303192
2010-02-01,38.319112591704,42.7886062926888,42.6499132466845,31.8671085011486,29.3507255131135
2010-03-01,38.2489169443305,42.6175544929873,42.5002882228926,30.3938547145336,27.8070328230489
2010-04-01,38.3525636680584,42.5881151142804,42.4988384946532,30.4986856997076,27.8286092979212
2010-05-01,38.3703714371879,42.6055065909593,42.4433539089346,30.7494504166787,28.0571267488924
2010-06-01,38.3703811507853,42.5383497171649,42.399029418057,30.5226320760722,27.8778759703376
2010-07-01,38.4003770948084,42.6789731734086,42.5371931935546,30.4848308688668,27.9574990697314
2010-08-01,38.3408574520217,42.634283050505,42.4907067329516,30.6306404242159,27.9784511489281
2010-09-01,38.3758879112639,42.6470846226134,42.5196465527327,30.5723355110709,27.9709610137905
2010-10-01,38.4128501159908,42.690778306818,42.5598009208596,30.453940272707,27.8216250449264
2010-11-01,38.3381258802118,42.6586864486019,42.5365912033051,30.6439877562547,27.9228673727218
2010-12-01,38.3370742998367,42.6594605721122,42.4970477839987,30.3764875388391,27.860175177069
2011-01-01,38.4147766790668,42.7171332365139,42.5813998045828,32.0495583518196,29.2141027956811
2011-02-01,38.3809673202633,42.686436051752,42.5360708903723,30.5525088621526,27.8806290895617
2011-03-01,38.2893142900827,42.6400307521369,42.4970279709974,30.1468827387002,27.6271655432614
2011-04-01,38.3753314749206,42.6805793377141,42.5314197619434,30.4063214440108,27.8300445988514
2011-05-01,38.3790905301156,42.6694025098631,42.5310559638758,30.3669233833039,27.846131669567
2011-06-01,38.4346137183526,42.7730729724182,42.6273205416242,30.4654299417614,27.8224537576198
2011-07-01,38.418186522544,42.7340532838585,42.5938817007257,30.2863220007025,27.6388282024618
2011-08-01,38.400044156717,42.7182082243869,42.4984781535323,30.5514122001692,27.9702950062773
2011-09-01,38.4000283793986,42.8137640878203,42.6122827302975,30.2388332762382,27.6241461158446
2011-10-01,38.3953522914124,42.7364325637584,42.5700574490771,30.5151164593914,27.8493768798325
2011-11-01,38.4642363915299,42.8177172509601,42.6783115220338,30.6327306087916,27.8617853399539
2011-12-01,38.4531727538228,42.7453382486295,42.5685315974465,30.4630852229548,27.7202337511155
2012-01-01,38.4089547515303,42.759367935872,42.5619518630029,30.3967357456941,27.7233335966174
2012-02-01,38.436549036774,42.7252227570002,42.5435361972786,30.3245533336018,27.6187688028611
2012-03-01,38.4607355870859,42.7319542840576,42.5693218222817,30.9918185127359,28.1269669650015
2012-04-01,38.4459908008237,42.7674310102798,42.6131181984859,31.2984694623643,28.358039961385
2012-05-01,38.4137548077232,42.8150926519338,42.6649221126476,30.3780270323695,27.5588972529668
2012-06-01,38.5019769134283,42.7913759825214,42.651680917087,30.6604382671966,27.9348808099696
2012-07-01,38.4684148454741,42.7631184992971,42.5986130756035,30.4677129355272,27.7253203770322
2012-08-01,38.4885947683149,42.762393583064,42.6264993634323,30.317306069958,27.5747119615196
2012-09-01,38.4407825911918,42.6652286584609,42.5338963347829,30.5854331737494,27.79948017282
2012-10-01,38.4525416503405,42.6915715082071,42.5396136897326,30.2808042150746,27.5378650838765
2012-11-01,38.4670419503849,42.5218465458958,42.4449398876816,29.7927067107116,26.8538375711481
2012-12-01,38.4862169474088,42.6921305015015,42.5537593637491,30.3504984064635,27.56275150252
2013-01-01,38.4947199288885,42.6392267959714,42.5272229784725,30.690646813519,27.8209219032149
2013-02-01,38.5327811322326,42.7303248397171,42.6099651326079,30.4828301694305,27.7273640453487
2013-03-01,38.5492983987463,42.7724201261684,42.6297907758304,30.6795373106279,27.9238476611696
2013-04-01,38.5486397767513,42.7690130588475,42.6019748307476,30.4020043663386,27.7504357138949
2013-05-01,38.5832139057527,42.7479290042846,42.6153684078612,30.4563701761399,27.8608289776063
2013-06-01,38.5132565340809,42.7684171651388,42.5939830952169,30.4067219704779,27.6923998039641
2013-07-01,38.5001279421337,42.7735760346693,42.5771748420162,30.584595259195,27.8115403279088
2013-08-01,38.5184328157858,42.7830074872027,42.5710891945039,30.4037014742351,27.6290755806025
2013-09-01,38.5258147645785,42.6747614556828,42.519863473268,30.1213904296739,27.7017224871891
2013-10-01,38.5226472246615,42.4971420127584,42.4063796328669,28.9011891270181,26.4552999160423
2013-11-01,38.5289754790134,42.4724772044077,42.3682949370992,29.0024857861839,26.2951309021319
2013-12-01,38.571235199996,42.6807827246152,42.5620692007908,31.3402915396783,28.5511198185577
2014-01-01,38.5582720765501,42.6626495448692,42.5739062644997,30.2200420006973,27.5243301394887
2014-02-01,38.5687486082419,42.8326130719751,42.6925672311871,31.7438150188647,29.1315245846908
2014-03-01,38.4976485869375,42.6959082253471,42.564648198364,30.2840072601594,27.564038646663
2014-04-01,38.6145027185453,42.6580417584409,42.5339047499048,30.7106748788742,27.9215665149392
2014-05-01,38.6669449421691,42.7026387665495,42.5615081206288,30.6045336981954,27.8693484903749
2014-06-01,38.5501325268064,42.7144984027524,42.5735175385471,30.5200632683371,27.6740580025558
2014-07-01,38.5801651168048,42.7283406317672,42.622546019504,30.7522802571442,27.9184991134976
2014-08-01,38.6483722289896,42.7785474133523,42.6550361188911,30.6312385303348,27.7355829882278
2014-09-01,38.6505189763361,42.7689573469488,42.628047341872,30.5722717388567,27.6094352397732
2014-10-01,38.6770705805085,42.8776659818305,42.7194200179032,30.6563429493147,27.7249593205766
2014-11-01,38.6942760839056,42.8813389426875,42.7218801980019,30.6574988409324,27.8378073336497
2014-12-01,38.7007471828761,42.8519999729782,42.6627784214617,30.7027750027687,27.963280440304
2015-01-01,38.7328558506923,42.8208364791128,42.6557479093818,30.7148310981306,27.915416065543
2015-02-01,38.7127932750627,42.8173559421634,42.6384192603026,30.645819086288,27.915989823426
2015-03-01,38.6815683978182,42.7025794832638,42.5708841020758,30.5670145637218,27.7112678819956
2015-04-01,38.6367812105529,42.7124114640558,42.5665365953394,30.5183760564612,27.7799785540278
2015-05-01,38.686223429363,42.7362877309154,42.5775461797378,30.7105855498276,27.7051835399017
2015-06-01,38.5985264476836,42.6500014093236,42.5310718712928,30.4146408210578,27.602165845053
2015-07-01,38.7044030765987,42.6473565442586,42.5218541330519,30.5342313968323,27.7391186674926
2015-08-01,38.7045905447531,42.6709766197454,42.5441986572966,30.5084801620321,27.7839678889288
2015-09-01,38.7656367821516,43.4671252947938,43.2753312444285,35.4675425749686,32.9480530051245
2015-10-01,38.7915780997881,42.8535631854945,42.6978531134911,30.9157352586189,28.0231358387772
2015-11-01,38.6929848940189,42.7336898591543,42.5776488700016,31.0654813381325,28.1254633653755
2015-12-01,38.684568510185,42.7264578372943,42.5669894235287,30.7042615737104,27.753356721526
2016-01-01,38.6478925841448,42.7029190050464,42.5477727595858,30.1079024018152,27.3126674943043
2016-02-01,38.6094633934251,42.6589285656969,42.5130264272564,30.5577302967505,27.6099646802902
2016-03-01,38.6650887240113,42.7012414219157,42.5518375971025,30.1415130456081,27.2571518721951
2016-04-01,38.6438425185742,42.6775014069326,42.5543912395079,30.4628822681552,27.4493241469
2016-05-01,38.6186653845344,42.6308103023256,42.5301652737693,30.5600107280951,27.7806258668676
2016-06-01,38.6669001421779,42.6736499540901,42.5535572323888,30.7886459520759,27.9534375435305
2016-07-01,38.6507446160467,42.641976489888,42.5367116591065,30.6448673044082,27.731155568983
2016-08-01,38.7057369094398,42.617113195997,42.4847334854463,30.9587618502839,28.0875530658073
2016-09-01,38.5477489310881,42.5266695444942,42.3966739687366,30.3345909427271,27.6249449247303
2016-10-01,38.5662640034286,42.5801468190361,42.4512855857178,30.8183147131947,27.9998152211786
2016-11-01,38.589707002479,42.6522835692481,42.5096095522077,31.2300441167796,28.0502262255927
2016-12-01,38.598379407115,42.5908928303468,42.4849273828244,30.8226272142435,27.8008148856826
2017-01-01,38.6466808103031,42.6578279294381,42.5165845213807,31.3291854378561,28.2937418259832
2017-02-01,38.6707477412201,42.6257366914778,42.5101822155305,30.7841887865771,27.8741451828157
2017-03-01,38.7182889236275,42.7739469307812,42.6184623279405,31.5340772519296,28.5379817421684
2017-04-01,38.7246219124165,42.6911605793975,42.5722748552148,32.8098157525702,29.5327369579121
