date,Black,Hispanic,Other,White
1989-01-01,40.648407,38.863216,72.902809,205.44412
1992-01-01,35.364624,37.848007,138.64691,184.85275
1995-01-01,44.335667,66.40554,186.95621,222.68489
1998-01-01,74.824181,77.306519,172.32553,308.09152
2001-01-01,70.287148,75.503296,188.93365,415.7406
2004-01-01,69.278076,65.71283,157.69882,394.15375
2007-01-01,78.644249,66.917343,161.9758,429.98349
2010-01-01,59.512226,53.315517,230.79564,417.73578
2013-01-01,53.584976,36.552719,197.24989,451.03183
2016-01-01,73.824776,97.827034,274.93118,565.63824
2019-01-01,79.758087,58.413876,350.46439,558.07751
2022-01-01,73.002655,65.477325,396.44513,661.28162
