date,APERMITS,ASTARTS,ACOMPLETIONS
1989-01-01,1466.0,1621.0,1561.0
1989-02-01,1383.0,1425.0,1597.0
1989-03-01,1214.0,1422.0,1442.0
1989-04-01,1376.0,1339.0,1542.0
1989-05-01,1381.0,1331.0,1449.0
1989-06-01,1322.0,1397.0,1346.0
1989-07-01,1283.0,1427.0,1386.0
1989-08-01,1334.0,1332.0,1429.0
1989-09-01,1314.0,1279.0,1338.0
1989-10-01,1365.0,1410.0,1333.0
1989-11-01,1344.0,1351.0,1475.0
1989-12-01,1422.0,1251.0,1304.0
1990-01-01,1748.0,1551.0,1508.0
1990-02-01,1329.0,1437.0,1352.0
1990-03-01,1246.0,1289.0,1345.0
1990-04-01,1136.0,1248.0,1332.0
1990-05-01,1067.0,1212.0,1351.0
1990-06-01,1108.0,1177.0,1263.0
1990-07-01,1078.0,1171.0,1295.0
1990-08-01,1069.0,1115.0,1307.0
1990-09-01,976.0,1110.0,1312.0
1990-10-01,925.0,1014.0,1282.0
1990-11-01,941.0,1145.0,1248.0
1990-12-01,861.0,969.0,1173.0
1991-01-01,786.0,798.0,1149.0
1991-02-01,853.0,965.0,1090.0
1991-03-01,911.0,921.0,1176.0
1991-04-01,916.0,1001.0,1093.0
1991-05-01,991.0,996.0,1070.0
1991-06-01,964.0,1036.0,1093.0
1991-07-01,973.0,1063.0,1076.0
1991-08-01,944.0,1049.0,1050.0
1991-09-01,974.0,1015.0,1216.0
1991-10-01,991.0,1079.0,1076.0
1991-11-01,984.0,1103.0,1013.0
1991-12-01,1061.0,1079.0,1002.0
1992-01-01,1077.0,1176.0,1061.0
1992-02-01,1146.0,1250.0,1098.0
1992-03-01,1082.0,1297.0,1128.0
1992-04-01,1054.0,1099.0,1083.0
1992-05-01,1056.0,1214.0,1187.0
1992-06-01,1057.0,1145.0,1189.0
1992-07-01,1089.0,1139.0,1251.0
1992-08-01,1075.0,1226.0,1140.0
1992-09-01,1114.0,1186.0,1123.0
1992-10-01,1132.0,1244.0,1139.0
1992-11-01,1118.0,1214.0,1224.0
1992-12-01,1176.0,1227.0,1199.0
1993-01-01,1177.0,1210.0,1135.0
1993-02-01,1148.0,1210.0,1236.0
1993-03-01,1056.0,1083.0,1105.0
1993-04-01,1104.0,1258.0,1216.0
1993-05-01,1112.0,1260.0,1111.0
1993-06-01,1130.0,1280.0,1193.0
1993-07-01,1174.0,1254.0,1090.0
1993-08-01,1230.0,1300.0,1264.0
1993-09-01,1251.0,1343.0,1172.0
1993-10-01,1287.0,1392.0,1246.0
1993-11-01,1357.0,1376.0,1235.0
1993-12-01,1461.0,1533.0,1289.0
1994-01-01,1390.0,1272.0,1228.0
1994-02-01,1269.0,1337.0,1353.0
1994-03-01,1342.0,1564.0,1257.0
1994-04-01,1392.0,1465.0,1374.0
1994-05-01,1396.0,1526.0,1430.0
1994-06-01,1357.0,1409.0,1336.0
1994-07-01,1335.0,1439.0,1281.0
1994-08-01,1377.0,1450.0,1348.0
1994-09-01,1412.0,1474.0,1414.0
1994-10-01,1397.0,1450.0,1378.0
1994-11-01,1340.0,1511.0,1365.0
1994-12-01,1396.0,1455.0,1386.0
1995-01-01,1282.0,1407.0,1423.0
1995-02-01,1254.0,1316.0,1294.0
1995-03-01,1226.0,1249.0,1413.0
1995-04-01,1259.0,1267.0,1342.0
1995-05-01,1271.0,1314.0,1326.0
1995-06-01,1305.0,1281.0,1242.0
