date,CAPITAL,LABOR,label
2022-03-01,-1.7935984724199328,-1.6545493557985291,
2022-04-01,-1.1045329310111485,-1.9024681413709277,
2022-05-01,-0.26345500672050326,-2.1467687980463612,
2022-06-01,0.31436745582342773,-2.049735102910377,
2022-07-01,0.5843294864644744,-1.155475579194143,Jul
2022-08-01,0.5640754057340436,0.4874636147517153,
2022-09-01,0.5021776151249435,2.9688969103442764,
2022-10-01,0.5323061408201823,2.6441693019956247,
2022-11-01,0.5974982847045229,1.2245478499532947,
2022-12-01,0.7486260727767258,-1.3056010308764687,
2023-01-01,0.6658647135623363,-0.9383968351159844,Jan\\2023
2023-02-01,0.5674076923575244,0.4474522947378379,
2023-03-01,0.49629254295397995,2.69133903767218,
2023-04-01,0.4590016934860719,2.9503111932151826,
2023-05-01,0.4244586104574344,2.786813212181305,
2023-06-01,-0.027710722325302584,2.130907581452801,
2023-07-01,-0.20530835275676118,2.1873749333461534,Jul
2023-08-01,-0.25031206607623036,1.9626291725050926,
2023-09-01,0.18605422303705765,1.519494964657575,
