date,AM
1989-01-15,404.4452
1989-02-15,387.9725
1989-03-15,390.2738
1989-04-15,384.72
1989-05-15,371.35
1989-06-15,367.7273
1989-07-15,375.2095
1989-08-15,365.5477
1989-09-15,361.7976
1989-10-15,366.8
1989-11-15,394.3614
1989-12-15,409.6553
1990-01-15,410.1182
1990-02-15,416.5425
1990-03-15,393.6614
1990-04-15,374.9289
1990-05-15,368.8548
1990-06-15,352.6571
1990-07-15,361.8205
1990-08-15,394.8614
1990-09-15,389.56
1990-10-15,381.3326
1990-11-15,381.8659
1990-12-15,378.1605
1991-01-15,384.5909
1991-02-15,363.7475
1991-03-15,363.39
1991-04-15,358.0548
1991-05-15,357.1167
1991-06-15,366.36
1991-07-15,368.013
1991-08-15,356.7214
1991-09-15,348.4595
1991-10-15,358.8261
1991-11-15,359.9595
1991-12-15,361.875
1992-01-15,354.4364
1992-02-15,353.8525
1992-03-15,344.6409
1992-04-15,338.7275
1992-05-15,337.0395
1992-06-15,340.7841
1992-07-15,352.4522
1992-08-15,343.6025
1992-09-15,345.3
1992-10-15,344.2773
1992-11-15,334.9238
1992-12-15,334.6571
1993-01-15,328.9925
1993-02-15,329.31
1993-03-15,329.9739
1993-04-15,341.9475
1993-05-15,367.0447
1993-06-15,371.9136
1993-07-15,392.0341
1993-08-15,379.7952
1993-09-15,355.5614
1993-10-15,364.0048
1993-11-15,373.9386
1993-12-15,383.2429
1994-01-15,387.11
1994-02-15,381.6575
1994-03-15,384.0
1994-04-15,377.9079
1994-05-15,381.3425
1994-06-15,385.7136
1994-07-15,385.45
1994-08-15,380.2068
1994-09-15,391.3477
1994-10-15,390.1643
1994-11-15,384.3773
1994-12-15,379.48
1995-01-15,378.7381
1995-02-15,376.745
1995-03-15,381.8196
1995-04-15,391.3389
1995-05-15,385.231
1995-06-15,387.6182
1995-07-15,386.1381
1995-08-15,383.5023
1995-09-15,382.931
1995-10-15,383.2023
1995-11-15,385.2091
1995-12-15,387.4447
1996-01-15,398.6955
1996-02-15,404.919
1996-03-15,396.5119
1996-04-15,392.87
1996-05-15,391.9905
1996-06-15,385.245
1996-07-15,383.4565
1996-08-15,387.5095
1996-09-15,383.2905
1996-10-15,380.9087
1996-11-15,377.869
1996-12-15,369.3375
1997-01-15,355.025
1997-02-15,346.4
1997-03-15,352.3105
1997-04-15,344.7068
1997-05-15,344.1
1997-06-15,340.8048
1997-07-15,323.7804
1997-08-15,323.9975
1997-09-15,322.6159
1997-10-15,324.8543
1997-11-15,306.345
1997-12-15,288.7762
1998-01-15,289.2643
1998-02-15,297.7425
1998-03-15,295.8705
1998-04-15,308.5575
1998-05-15,298.9711
1998-06-15,292.2227
1998-07-15,292.8739
1998-08-15,284.2275
1998-09-15,288.6614
1998-10-15,296.5955
1998-11-15,294.2429
1998-12-15,291.3571
1999-01-15,287.3325
1999-02-15,287.495
1999-03-15,286.2435
1999-04-15,282.62
1999-05-15,276.9316
1999-06-15,261.4023
1999-07-15,256.1977
1999-08-15,256.9357
1999-09-15,264.4705
1999-10-15,311.5619
1999-11-15,293.65
1999-12-15,283.7425
2000-01-15,284.59
2000-02-15,300.8548
2000-03-15,286.7043
2000-04-15,279.9611
2000-05-15,275.2929
2000-06-15,285.3682
2000-07-15,282.1524
2000-08-15,274.5227
2000-09-15,273.6762
2000-10-15,270.4045
2000-11-15,265.9886
2000-12-15,271.8921
2001-01-15,265.9341
2001-02-15,262.0175
2001-03-15,263.2727
2001-04-15,260.75
2001-05-15,272.0571
2001-06-15,270.7381
2001-07-15,267.7068
2001-08-15,272.6568
2001-09-15,282.4775
2001-10-15,283.3217
2001-11-15,276.2477
2001-12-15,275.9921
2002-01-15,281.7636
2002-02-15,295.6825
2002-03-15,294.3525
2002-04-15,302.8619
2002-05-15,314.4795
2002-06-15,321.5361
2002-07-15,313.5674
2002-08-15,310.0452
2002-09-15,318.8
2002-10-15,316.7478
2002-11-15,319.2548
2002-12-15,333.3
2003-01-15,356.8636
2003-02-15,359.575
2003-03-15,341.5643
2003-04-15,328.2075
2003-05-15,355.405
2003-06-15,356.9119
2003-07-15,350.7652
2003-08-15,358.9925
2003-09-15,378.8591
2003-10-15,379.0935
2003-11-15,390.2
2003-12-15,407.6738
2004-01-15,414.4952
2004-02-15,404.73
2004-03-15,405.9761
2004-04-15,404.85
2004-05-15,383.9526
2004-06-15,391.7795
2004-07-15,398.4409
2004-08-15,400.1333
2004-09-15,405.4023
2004-10-15,420.2095
2004-11-15,439.0591
2004-12-15,442.9738
2005-01-15,424.08
2005-02-15,423.43
2005-03-15,434.3548
2005-04-15,429.1405
2005-05-15,422.9025
2005-06-15,430.3023
2005-07-15,424.7452
2005-08-15,437.7727
2005-09-15,455.9364
2005-10-15,470.1071
2005-11-15,476.6682
2005-12-15,509.4225
2006-01-15,549.4333
2006-02-15,555.5175
2006-03-15,557.2152
2006-04-15,611.8528
2006-05-15,676.769
2006-06-15,597.8977
2006-07-15,633.0929
2006-08-15,631.5568
2006-09-15,600.15
2006-10-15,586.6477
2006-11-15,626.825
2006-12-15,629.5132
2007-01-15,630.3523
2007-02-15,665.1025
2007-03-15,655.8909
2007-04-15,680.0079
2007-05-15,668.3095
2007-06-15,655.7143
2007-07-15,665.2659
2007-08-15,664.5295
2007-09-15,710.645
2007-10-15,754.4804
2007-11-15,808.3114
2007-12-15,803.6184
2008-01-15,887.7841
2008-02-15,924.2833
2008-03-15,971.0553
2008-04-15,911.6
2008-05-15,889.125
2008-06-15,889.5357
2008-07-15,941.1674
2008-08-15,840.3875
2008-09-15,824.9205
2008-10-15,812.8152
2008-11-15,757.85
2008-12-15,819.9405
2009-01-15,857.7262
2009-02-15,939.7625
2009-03-15,925.9886
2009-04-15,892.6625
2009-05-15,926.8553
2009-06-15,947.8068
2009-07-15,934.2717
2009-08-15,949.5
2009-09-15,996.4432
2009-10-15,1043.5114
2009-11-15,1126.119
2009-12-15,1135.0119
2010-01-15,1119.575
2010-02-15,1095.8
2010-03-15,1115.5543
2010-04-15,1148.475
2010-05-15,1204.3211
2010-06-15,1232.3818
2010-07-15,1196.0
2010-08-15,1213.4643
2010-09-15,1271.4614
2010-10-15,1343.1905
2010-11-15,1371.7841
2010-12-15,1393.5119
2011-01-15,1360.475
2011-02-15,1371.3125
2011-03-15,1422.8478
2011-04-15,1474.4306
2011-05-15,1512.1875
2011-06-15,1528.3795
2011-07-15,1568.5262
2011-08-15,1759.5
2011-09-15,1780.6477
2011-10-15,1667.8929
2011-11-15,1735.9773
2011-12-15,1652.725
2012-01-15,1656.0952
2012-02-15,1743.0952
2012-03-15,1675.0568
2012-04-15,1648.5395
2012-05-15,1585.1136
2012-06-15,1595.6316
2012-07-15,1592.7841
2012-08-15,1625.6818
2012-09-15,1741.925
2012-10-15,1746.3478
2012-11-15,1724.3523
2012-12-15,1687.3421
2013-01-15,1671.8864
2013-02-15,1630.6875
2013-03-15,1591.0125
2013-04-15,1485.9048
2013-05-15,1416.1429
2013-06-15,1342.7
2013-07-15,1284.3478
2013-08-15,1345.0476
2013-09-15,1348.4643
2013-10-15,1314.4022
2013-11-15,1277.4167
2013-12-15,1221.5875
2014-01-15,1243.0682
2014-02-15,1298.7125
2014-03-15,1336.5595
2014-04-15,1299.175
2014-05-15,1288.9125
2014-06-15,1277.8571
2014-07-15,1312.9891
2014-08-15,1297.005
2014-09-15,1241.3295
2014-10-15,1223.5652
2014-11-15,1176.4125
2014-12-15,1200.4405
2015-01-15,1249.3333
2015-02-15,1231.1
2015-03-15,1180.6364
2015-04-15,1198.2525
2015-05-15,1197.6842
2015-06-15,1182.2477
2015-07-15,1131.5804
2015-08-15,1117.525
2015-09-15,1124.9045
2015-10-15,1157.1227
2015-11-15,1088.3881
2015-12-15,1068.3167
2016-01-15,1095.655
2016-02-15,1194.8929
2016-03-15,1246.3119
2016-04-15,1241.4524
2016-05-15,1259.755
2016-06-15,1273.5795
2016-07-15,1337.4286
2016-08-15,1340.8614
2016-09-15,1326.6182
2016-10-15,1268.9286
2016-11-15,1240.2932
2016-12-15,1152.165
2017-01-15,1192.6476
2017-02-15,1233.39
2017-03-15,1231.063
2017-04-15,1267.15
2017-05-15,1245.25
2017-06-15,1261.2773
2017-07-15,1235.1
2017-08-15,1281.7205
2017-09-15,1317.0452
2017-10-15,1280.6773
2017-11-15,1283.1886
2017-12-15,1265.6737
2018-01-15,1332.8091
2018-02-15,1333.775
2018-03-15,1325.5619
2018-04-15,1334.3775
2018-05-15,1303.6119
2018-06-15,1282.1262
2018-07-15,1238.0636
2018-08-15,1201.8591
2018-09-15,1199.1975
2018-10-15,1214.7261
2018-11-15,1221.275
2018-12-15,1249.8868
2019-01-15,1291.6295
2019-02-15,1319.755
2019-03-15,1302.2857
2019-04-15,1287.65
2019-05-15,1283.1048
2019-06-15,1358.4875
2019-07-15,1414.6109
2019-08-15,1497.1024
2019-09-15,1510.3357
2019-10-15,1494.7652
2019-11-15,1471.9214
2019-12-15,1480.025
2020-01-15,1560.6682
2020-02-15,1598.8175
2020-03-15,1593.7636
2020-04-15,1680.03
2020-05-15,1715.6974
2020-06-15,1734.0318
2020-07-15,1840.8065
2020-08-15,1971.17
2020-09-15,1923.4773
2020-10-15,1902.525
2020-11-15,1869.5024
2020-12-15,1853.7976
2021-01-15,1869.675
2021-02-15,1814.005
2021-03-15,1721.5565
2021-04-15,1758.8
2021-05-15,1847.5605
2021-06-15,1836.0977
2021-07-15,1805.8727
2021-08-15,1784.0857
2021-09-15,1780.95
2021-10-15,1774.5
2021-11-15,1820.2932
2021-12-15,1788.6333
2022-01-15,1816.31
2022-02-15,1857.7175
2022-03-15,1947.4174
2022-04-15,1935.0395
2022-05-15,1851.5405
2022-06-15,1835.325
2022-07-15,1738.8405
2022-08-15,1765.625
2022-09-15,1685.3833
2022-10-15,1665.6071
2022-11-15,1725.3977
2022-12-15,1794.2375
2023-01-15,1897.7048
2023-02-15,1858.1075
2023-03-15,1908.587
2023-04-15,1998.8417
2023-05-15,1992.7875
2023-06-15,1943.6136
2023-07-15,1949.5667
2023-08-15,1921.2182
2023-09-15,1918.431
2023-10-15,1912.9227
2023-11-15,1983.7455
2023-12-15,2033.3105
2024-01-15,2035.2227
2024-02-15,2025.6595
2024-03-15,2158.4575
2024-04-15,2336.2881
2024-05-15,2350.5524
2024-06-15,2325.3375
2024-07-15,2390.4913
2024-08-15,2468.2381
2024-09-15,2568.1238
2024-10-15,2690.05
2024-11-15,2656.0857
2024-12-15,2643.8275
2025-01-15,2707.5841
2025-02-15,2896.675
2025-03-15,2981.7357
2025-04-15,3212.125
2025-05-15,3280.505
2025-06-15,3351.6976
2025-07-15,3342.4043
2025-08-15,3358.1775
2025-09-15,3658.0864
2025-10-15,4058.2783
2025-11-15,4084.615
2025-12-15,4299.969
2026-01-15,4747.0
2026-02-15,5011.8325
2026-03-13,5082.85
