date,BIRTHS,DEATHS,TOTAL,NATURALINC,NETMIG
1988-07-01,3809000,2123000,2210064,1686000,524064
1989-07-01,3910000,2168000,2320248,1742000,578248
1990-07-01,4041000,2150000,2645166,1891000,754166
1991-07-01,4158000,2148000,2688696,2010000,678696
1991-07-01,4133265,2138906,2693091,1994359,698732
1992-07-01,4105689,2180115,2717909,1925574,792335
1993-07-01,4027125,2226027,2627664,1801098,826566
1994-07-01,3971136,2282854,2451546,1688282,763264
1995-07-01,3926652,2284363,2426173,1642289,783884
1996-07-01,3881967,2317918,2426843,1564049,862794
1997-07-01,3892431,2321933,2501319,1570498,930821
1998-07-01,3909345,2330759,2462858,1578586,884272
1999-07-01,3949171,2359088,2452928,1590083,862845
2000-07-01,3966059,2386995,2457183,1579064,878119
2001-07-01,4047314.0,2419131.0,2801935.0,1628183.0,1173752.0
2002-07-01,4006985.0,2430225.0,2628024.0,1576760.0,1051264.0
2003-07-01,4052799.0,2422431.0,2425728.0,1630368.0,795360.0
2004-07-01,4112637.0,2449071.0,2622689.0,1663566.0,959123.0
2005-07-01,4121160.0,2432481.0,2609905.0,1688679.0,921226.0
2006-07-01,4178113.0,2418569.0,2739361.0,1759544.0,979817.0
2007-07-01,4307551.0,2427615.0,2719771.0,1879936.0,839835.0
2008-07-01,4309900.0,2438645.0,2694990.0,1871255.0,823735.0
2009-07-01,4192593.0,2439234.0,2478889.0,1753359.0,725530.0
2010-07-01,4150273.0,2491016.0,2394525.0,1659257.0,735268.0
2011-07-01,3973485.0,2512442.0,2256338.0,1461043.0,795295.0
2012-07-01,3936976.0,2501531.0,2294181.0,1435445.0,858736.0
2013-07-01,3940576.0,2608019.0,2182285.0,1332557.0,849728.0
2014-07-01,3963195.0,2582448.0,2326382.0,1380747.0,945635.0
2015-07-01,3992376.0,2699826.0,2352665.0,1292550.0,1060115.0
2016-07-01,3970959.0,2703215.0,2332761.0,1267744.0,1065017.0
2017-07-01,3890144.0,2788163.0,2050373.0,1101981.0,948392.0
2018-07-01,3835477.0,2839277.0,1716071.0,996200.0,719871.0
2019-07-01,3770397.0,2847282.0,1491754.0,923115.0,568639.0
2020-07-01,3748000.0,3070859.0,1154170.0,677141.0,477029.0
2021-07-01,3581986,3433943,392665.0,148043.0,244622
2022-07-01,3688179,3443099,1256003,245080,1010923
2023-07-01,3653356,3148861,1643484,504495,1138989
