date,AGE16PLUS,EMP,ALL
1990-01-01,38.4139,35.5054,31.2689
1990-02-01,38.4457,35.5645,31.2886
1990-03-01,38.4488,35.5593,31.2911
1990-04-01,38.4667,35.5678,31.3205
1990-05-01,38.4825,35.586,31.3331
1990-06-01,38.5126,35.2423,31.3437
1990-07-01,38.5396,35.082,31.3587
1990-08-01,38.5619,35.28,31.3619
1990-09-01,38.6123,35.7814,31.4076
1990-10-01,38.6378,35.8349,31.45
1990-11-01,38.6701,35.869,31.4913
1990-12-01,38.6862,35.8687,31.5317
1991-01-01,38.6988,35.9516,31.5589
1991-02-01,38.7221,35.9525,31.5876
1991-03-01,38.7354,35.9838,31.5708
1991-04-01,38.7598,36.0219,31.5596
1991-05-01,38.7834,36.0441,31.5957
1991-06-01,38.7923,35.7922,31.5952
1991-07-01,38.81,35.6187,31.6538
1991-08-01,38.8333,35.7005,31.6672
1991-09-01,38.8566,36.1431,31.667
1991-10-01,38.8904,36.1148,31.6816
1991-11-01,38.9182,36.1473,31.7006
1991-12-01,38.9451,36.184,31.7344
1992-01-01,38.9679,36.3013,31.7626
1992-02-01,38.9991,36.3222,31.7919
1992-03-01,39.0213,36.3926,31.8188
1992-04-01,39.0485,36.3801,31.8107
1992-05-01,39.0625,36.3313,31.8702
1992-06-01,39.0733,36.122,31.9358
1992-07-01,39.0994,35.8973,31.9559
1992-08-01,39.1327,35.9781,31.9721
1992-09-01,39.1715,36.45,32.0095
1992-10-01,39.2077,36.4889,32.0065
1992-11-01,39.2465,36.5172,31.9861
1992-12-01,39.2504,36.5029,32.0324
1993-01-01,39.2564,36.6136,32.0047
1993-02-01,39.2749,36.6959,32.035
1993-03-01,39.297,36.6385,32.1173
1993-04-01,39.3218,36.6343,32.1431
1993-05-01,39.328,36.612,32.1818
1993-06-01,39.3432,36.3502,32.1949
1993-07-01,39.3603,36.045,32.1885
1993-08-01,39.3886,36.2364,32.2431
1993-09-01,39.4464,36.6844,32.2747
1993-10-01,39.4671,36.7192,32.2905
1993-11-01,39.473,36.8115,32.3038
1993-12-01,39.4991,36.7797,32.3333
1994-01-01,39.5517,37.0111,32.3739
1994-02-01,39.5592,36.9394,32.4207
1994-03-01,39.5766,36.9295,32.4132
1994-04-01,39.5922,36.9608,32.4383
1994-05-01,39.5921,36.9249,32.4251
1994-06-01,39.6274,36.5975,32.4248
1994-07-01,39.6312,36.4208,32.4866
1994-08-01,39.6681,36.5568,32.5308
1994-09-01,39.675,36.9832,32.5376
1994-10-01,39.6937,36.993,32.5919
1994-11-01,39.7165,37.0104,32.6001
1994-12-01,39.761,37.0032,32.6319
1995-01-01,39.8161,37.1843,32.6768
1995-02-01,39.8633,37.1471,32.7093
1995-03-01,39.8692,37.1225,32.7213
1995-04-01,39.8572,37.1168,32.7565
1995-05-01,39.8928,37.0877,32.7793
1995-06-01,39.8885,36.7436,32.7805
1995-07-01,39.9326,36.632,32.7575
1995-08-01,39.9546,36.7571,32.7697
1995-09-01,39.9808,37.2602,32.7939
1995-10-01,40.0062,37.3451,32.8325
1995-11-01,40.044,37.3145,32.899
1995-12-01,40.0674,37.3666,32.9608
1996-01-01,40.0979,37.4528,32.9474
1996-02-01,40.0996,37.4588,32.9576
1996-03-01,40.1293,37.4929,33.0058
1996-04-01,40.1516,37.4699,33.0234
1996-05-01,40.1868,37.4637,33.0588
1996-06-01,40.2101,37.2243,33.0631
1996-07-01,40.2416,37.0241,33.0708
1996-08-01,40.2648,37.248,33.094
1996-09-01,40.2671,37.4877,33.1236
1996-10-01,40.3015,37.5575,33.1817
1996-11-01,40.3197,37.6141,33.189
1996-12-01,40.3176,37.6207,33.2169
1997-01-01,40.3408,37.7766,33.2918
1997-02-01,40.3524,37.756,33.288
1997-03-01,40.3773,37.7878,33.337
1997-04-01,40.414,37.7425,33.3393
1997-05-01,40.4126,37.7363,33.3795
1997-06-01,40.4313,37.4633,33.4222
1997-07-01,40.4756,37.3134,33.4299
1997-08-01,40.4868,37.571,33.475
1997-09-01,40.5253,37.8699,33.4845
1997-10-01,40.5426,37.8808,33.5148
1997-11-01,40.61,37.9167,33.5306
1997-12-01,40.6399,37.9476,33.5535
1998-01-01,40.7102,38.067,33.596
1998-02-01,40.7449,38.0851,33.6136
1998-03-01,40.7932,38.0826,33.6358
1998-04-01,40.8097,38.0537,33.6419
1998-05-01,40.7795,38.0756,33.671
1998-06-01,40.7714,37.8091,33.6868
1998-07-01,40.8007,37.683,33.7103
1998-08-01,40.8288,37.8711,33.7402
1998-09-01,40.8637,38.22,33.7275
1998-10-01,40.9311,38.2086,33.759
1998-11-01,40.9649,38.2387,33.7823
1998-12-01,40.9423,38.2017,33.782
1999-01-01,41.0136,38.2779,33.8386
1999-02-01,41.016,38.2996,33.8472
1999-03-01,41.0029,38.331,33.8645
1999-04-01,41.0164,38.3798,33.8988
1999-05-01,41.0389,38.294,33.9223
1999-06-01,41.0386,38.1114,33.9738
1999-07-01,41.0817,37.9431,34.0054
1999-08-01,41.1461,38.2001,34.0179
1999-09-01,41.1163,38.4506,34.029
1999-10-01,41.1981,38.4678,34.0565
1999-11-01,41.2142,38.4729,34.0495
1999-12-01,41.2317,38.516,34.0623
2000-01-01,41.3961,38.5908,34.1646
2000-02-01,41.424,38.6304,34.1758
2000-03-01,41.4404,38.6579,34.1866
2000-04-01,41.4555,38.5323,34.2195
2000-05-01,41.4796,38.5991,34.2721
2000-06-01,41.4775,38.3151,34.2758
2000-07-01,41.5128,38.3318,34.3343
2000-08-01,41.5487,38.4728,34.3331
2000-09-01,41.5676,38.7282,34.358
2000-10-01,41.56,38.7523,34.3869
2000-11-01,41.5954,38.6991,34.3495
2000-12-01,41.6214,38.729,34.3746
2001-01-01,41.6454,38.9,34.4008
2001-02-01,41.6862,38.8528,34.4461
2001-03-01,41.7226,38.9229,34.4451
2001-04-01,41.7252,38.9731,34.452
2001-05-01,41.7403,39.0134,34.4782
2001-06-01,41.7343,38.7778,34.4594
2001-07-01,41.7135,38.6614,34.5005
2001-08-01,41.7462,38.9128,34.5542
2001-09-01,41.7779,39.0935,34.5317
2001-10-01,41.805,39.1119,34.5498
2001-11-01,41.8359,39.1436,34.5282
2001-12-01,41.8497,39.1934,34.5327
2002-01-01,41.8643,39.3277,34.582
2002-02-01,41.9197,39.3498,34.6364
2002-03-01,41.9545,39.3199,34.6641
2002-04-01,41.9563,39.3359,34.6544
2002-05-01,41.9945,39.3283,34.6513
2002-06-01,41.9937,39.1107,34.6157
2002-07-01,41.9693,39.0413,34.6359
2002-08-01,42.0257,39.2269,34.6791
2002-09-01,42.0466,39.4553,34.6777
2002-10-01,42.042,39.4695,34.6999
2002-11-01,42.0652,39.5253,34.7057
2002-12-01,42.081,39.4992,34.7118
2003-01-01,42.0792,39.631,34.7182
2003-02-01,42.1306,39.6252,34.7256
2003-03-01,42.1853,39.7229,34.7465
2003-04-01,42.17,39.6796,34.7546
2003-05-01,42.1799,39.7082,34.7721
2003-06-01,42.2349,39.479,34.7758
2003-07-01,42.2355,39.3752,34.7826
2003-08-01,42.2232,39.5466,34.7985
2003-09-01,42.258,39.7568,34.7961
2003-10-01,42.2985,39.8592,34.841
2003-11-01,42.3227,39.8479,34.8542
2003-12-01,42.3411,39.8936,34.859
2004-01-01,42.3921,39.9249,34.8341
2004-02-01,42.3966,39.975,34.8322
2004-03-01,42.4142,39.9643,34.8491
2004-04-01,42.4194,39.8574,34.8562
2004-05-01,42.4376,39.8626,34.8848
2004-06-01,42.4707,39.639,34.8789
2004-07-01,42.4685,39.5572,34.9127
2004-08-01,42.4833,39.7031,34.9484
2004-09-01,42.5033,39.9153,34.9664
2004-10-01,42.5176,39.9089,35.0117
2004-11-01,42.5521,39.9116,35.0159
2004-12-01,42.5688,39.9349,35.0466
2005-01-01,42.615,40.032,35.0557
2005-02-01,42.664,40.1461,35.0645
2005-03-01,42.7036,40.1524,35.0767
2005-04-01,42.7256,40.1815,35.0931
2005-05-01,42.7346,40.1234,35.1189
2005-06-01,42.7291,39.907,35.1277
2005-07-01,42.7184,39.7777,35.0872
2005-08-01,42.7276,39.9854,35.1057
2005-09-01,42.7759,40.1909,35.1206
2005-10-01,42.7889,40.1714,35.1446
2005-11-01,42.7938,40.1527,35.1856
2005-12-01,42.8292,40.1743,35.2188
2006-01-01,42.8578,40.3081,35.2681
2006-02-01,42.8612,40.2888,35.2881
2006-03-01,42.8966,40.3241,35.2889
2006-04-01,42.9039,40.3215,35.2975
2006-05-01,42.922,40.2622,35.3194
2006-06-01,42.9336,40.0157,35.3315
2006-07-01,42.9592,39.9324,35.3349
2006-08-01,43.0009,40.0813,35.3681
2006-09-01,43.0322,40.3869,35.3572
2006-10-01,43.0764,40.3907,35.3799
2006-11-01,43.0562,40.3573,35.4206
2006-12-01,43.0744,40.3559,35.4325
2007-01-01,43.0655,40.3292,35.4175
2007-02-01,43.0937,40.4317,35.4449
2007-03-01,43.131,40.4687,35.4509
2007-04-01,43.1439,40.5021,35.4803
2007-05-01,43.1684,40.546,35.5037
2007-06-01,43.178,40.2331,35.5081
2007-07-01,43.1786,40.1342,35.5085
2007-08-01,43.2164,40.3587,35.5567
2007-09-01,43.246,40.5679,35.581
2007-10-01,43.2546,40.5417,35.5909
2007-11-01,43.2797,40.5195,35.5815
2007-12-01,43.3526,40.6141,35.634
2008-01-01,43.3847,40.7334,35.6397
2008-02-01,43.419,40.7741,35.6764
2008-03-01,43.4252,40.7587,35.6862
2008-04-01,43.4342,40.6799,35.7112
2008-05-01,43.4614,40.6705,35.7463
2008-06-01,43.4714,40.5162,35.7397
2008-07-01,43.499,40.411,35.7221
2008-08-01,43.5108,40.5863,35.7003
2008-09-01,43.5279,40.8003,35.7024
2008-10-01,43.5443,40.863,35.7016
2008-11-01,43.5602,40.9322,35.7256
2008-12-01,43.583,40.9553,35.747
2009-01-01,43.6911,41.2418,35.8642
2009-02-01,43.7176,41.2153,35.9134
2009-03-01,43.7306,41.1952,35.9037
2009-04-01,43.7459,41.1497,35.8924
2009-05-01,43.7717,41.2273,35.9403
2009-06-01,43.7885,40.9283,35.9042
2009-07-01,43.808,40.7375,35.904
2009-08-01,43.8314,40.9595,35.8915
2009-09-01,43.8571,41.2529,35.8562
2009-10-01,43.8819,41.3614,35.9043
2009-11-01,43.9046,41.3613,35.9066
2009-12-01,43.9288,41.3603,35.9357
2010-01-01,43.9022,41.4259,35.7691
2010-02-01,43.9179,41.3518,35.7745
2010-03-01,43.9341,41.3296,35.7717
2010-04-01,43.952,41.3371,35.7825
2010-05-01,43.9667,41.287,35.828
2010-06-01,43.9816,41.1064,35.863
2010-07-01,43.9969,40.922,35.8551
2010-08-01,44.0153,40.9858,35.8527
2010-09-01,44.0336,41.3156,35.8069
2010-10-01,44.0535,41.2664,35.8036
2010-11-01,44.0715,41.2591,35.7766
2010-12-01,44.0872,41.3039,35.8188
2011-01-01,44.1179,41.3532,35.8189
2011-02-01,44.1299,41.3327,35.8697
2011-03-01,44.1436,41.2462,35.8916
2011-04-01,44.153,41.3373,35.8612
2011-05-01,44.1624,41.2961,35.8805
2011-06-01,44.1677,41.0923,35.8935
2011-07-01,44.1815,41.0368,35.8811
2011-08-01,44.1933,41.146,35.9168
2011-09-01,44.212,41.4074,35.9128
2011-10-01,44.2342,41.3396,35.9009
2011-11-01,44.2453,41.3025,35.8896
2011-12-01,44.2611,41.3571,35.8795
2012-01-01,44.4736,41.5624,36.349
2012-02-01,44.4887,41.5746,36.3901
2012-03-01,44.4898,41.5341,36.3933
2012-04-01,44.506,41.5172,36.3951
2012-05-01,44.5137,41.5442,36.3723
2012-06-01,44.5372,41.3276,36.4046
2012-07-01,44.5551,41.2203,36.4098
2012-08-01,44.5835,41.4255,36.4392
2012-09-01,44.6237,41.5689,36.4168
2012-10-01,44.6299,41.5333,36.4389
2012-11-01,44.6223,41.5316,36.4578
2012-12-01,44.6515,41.5383,36.4725
2013-01-01,44.6415,41.6401,36.4983
2013-02-01,44.6232,41.6991,36.515
2013-03-01,44.6522,41.6537,36.4743
2013-04-01,44.6537,41.6173,36.5261
2013-05-01,44.6413,41.6457,36.4898
2013-06-01,44.6748,41.3797,36.4731
2013-07-01,44.6721,41.262,36.5218
2013-08-01,44.6844,41.4983,36.4905
2013-09-01,44.7294,41.5904,36.5002
2013-10-01,44.7463,41.543,36.5388
2013-11-01,44.7935,41.4989,36.5563
2013-12-01,44.7982,41.4618,36.5851
2014-01-01,44.8024,41.577,36.6679
2014-02-01,44.8128,41.6468,36.6543
2014-03-01,44.778,41.5676,36.677
2014-04-01,44.7845,41.6,36.7052
2014-05-01,44.8106,41.6086,36.695
2014-06-01,44.8214,41.3463,36.6831
2014-07-01,44.8499,41.2159,36.6913
2014-08-01,44.8859,41.3836,36.6806
2014-09-01,44.8921,41.5288,36.6914
2014-10-01,44.9352,41.4512,36.6618
2014-11-01,44.9526,41.4294,36.6866
2014-12-01,45.0053,41.4687,36.712
2015-01-01,44.9682,41.535,36.7136
2015-02-01,44.9715,41.5083,36.7695
2015-03-01,44.9691,41.5539,36.7732
2015-04-01,44.9699,41.5514,36.7871
2015-05-01,44.9814,41.4135,36.796
2015-06-01,45.0203,41.1124,36.7873
2015-07-01,44.9996,41.0555,36.7778
2015-08-01,45.0365,41.17,36.8063
2015-09-01,45.0305,41.4472,36.8052
2015-10-01,45.0604,41.5206,36.8417
2015-11-01,45.0581,41.5275,36.8824
2015-12-01,45.1131,41.4409,36.9069
2016-01-01,45.0262,41.472,36.9075
2016-02-01,45.0359,41.3471,36.8951
2016-03-01,45.0505,41.3476,36.8638
2016-04-01,45.0884,41.419,36.8541
2016-05-01,45.1291,41.2763,36.8629
2016-06-01,45.176,41.0858,36.8627
2016-07-01,45.1884,40.9382,36.824
2016-08-01,45.1535,40.9667,36.8911
2016-09-01,45.1815,41.1999,36.8875
2016-10-01,45.2109,41.2552,36.9246
2016-11-01,45.2133,41.1908,36.9356
2016-12-01,45.2676,41.0817,36.9646
2017-01-01,45.264,41.2408,36.965
2017-02-01,45.2572,41.2085,37.0203
2017-03-01,45.2888,41.1801,37.0483
2017-04-01,45.2967,41.2008,37.0136
2017-05-01,45.3106,41.1641,37.0125
2017-06-01,45.3232,40.8428,36.9832
2017-07-01,45.3382,40.7928,36.9956
2017-08-01,45.3478,40.9673,37.0007
2017-09-01,45.3318,41.1452,37.0195
2017-10-01,45.3632,41.1672,37.0457
2017-11-01,45.4112,41.1875,37.0527
2017-12-01,45.3865,41.1477,37.0974
2018-01-01,45.3996,41.0646,37.1488
2018-02-01,45.4267,41.0986,37.1816
2018-03-01,45.4419,41.0028,37.2125
2018-04-01,45.4268,41.0564,37.2055
2018-05-01,45.4168,41.1249,37.2067
2018-06-01,45.4503,40.7772,37.2093
2018-07-01,45.4919,40.6381,37.2005
2018-08-01,45.4994,40.9412,37.2073
2018-09-01,45.4921,41.1057,37.2303
2018-10-01,45.4863,40.9919,37.2661
2018-11-01,45.4794,41.054,37.3015
2018-12-01,45.4773,41.03,37.3422
2019-01-01,45.5555,41.0428,37.3496
2019-02-01,45.5421,41.1618,37.3659
2019-03-01,45.4973,41.0375,37.367
2019-04-01,45.5304,41.1248,37.3528
2019-05-01,45.5489,41.0063,37.3606
2019-06-01,45.5604,40.6856,37.3469
2019-07-01,45.5751,40.6969,37.3775
2019-08-01,45.5665,40.7858,37.4082
2019-09-01,45.5243,40.9379,37.4218
2019-10-01,45.5259,40.9033,37.4546
2019-11-01,45.5686,40.9999,37.4486
2019-12-01,45.5766,40.9765,37.4789
2020-01-01,45.6578,40.9978,37.5561
2020-02-01,45.6578,40.9908,37.5617
2020-03-01,45.6307,41.1255,37.5751
2020-04-01,45.6858,41.7236,37.6163
2020-05-01,45.7577,41.5508,37.6132
2020-06-01,45.77,41.228,37.6452
2020-07-01,45.7649,41.1187,37.6474
2020-08-01,45.7163,41.1207,37.6873
2020-09-01,45.665,41.0886,37.6313
2020-10-01,45.6923,40.9983,37.6573
2020-11-01,45.6899,41.0527,37.6622
2020-12-01,45.7152,40.9867,37.7074
2021-01-01,45.7249,41.0242,37.7687
2021-02-01,45.7517,40.9727,37.8094
2021-03-01,45.7323,40.9765,37.778
2021-04-01,45.7527,40.8804,37.7878
2021-05-01,45.7498,40.8536,37.8171
2021-06-01,45.7621,40.695,37.8534
2021-07-01,45.7278,40.577,37.8979
2021-08-01,45.756,40.7749,37.9399
2021-09-01,45.7793,40.9597,37.932
2021-10-01,45.8141,40.7564,37.9735
2021-11-01,45.7995,40.7714,38.0311
2021-12-01,45.7945,40.8213,38.0437
2022-01-01,45.6721,41.0071,37.9661
