date,SS,Medicare,Medicaid
1989-01-01,4.10715,1.70352,1.04268
1989-02-01,4.09368,1.71472,1.0494
1989-03-01,4.17923,1.7236,1.05471
1989-04-01,4.09819,1.72934,1.06258
1989-05-01,4.04393,1.73653,1.06519
1989-06-01,4.05277,1.74341,1.07568
1989-07-01,4.01993,1.75188,1.08296
1989-08-01,4.02193,1.75943,1.09165
1989-09-01,4.01611,1.76649,1.10279
1989-10-01,3.98022,1.77711,1.11521
1989-11-01,4.03396,1.78557,1.12462
1989-12-01,3.97777,1.79293,1.13397
1990-01-01,4.15777,1.78931,1.13262
1990-02-01,4.12054,1.78841,1.14014
1990-03-01,4.12267,1.78773,1.15225
1990-04-01,4.12734,1.79233,1.16852
1990-05-01,4.08665,1.79608,1.18403
1990-06-01,4.11763,1.79979,1.20543
1990-07-01,4.07387,1.80651,1.22662
1990-08-01,4.05019,1.81338,1.24988
1990-09-01,4.11803,1.82021,1.2718
1990-10-01,4.07788,1.83464,1.30307
1990-11-01,4.09581,1.84768,1.33677
1990-12-01,4.16012,1.86013,1.3913
1991-01-01,4.31889,1.86458,1.36841
1991-02-01,4.33073,1.87378,1.38343
1991-03-01,4.36063,1.88435,1.41391
1991-04-01,4.33174,1.89088,1.48948
1991-05-01,4.33955,1.89735,1.52768
1991-06-01,4.30165,1.90453,1.56178
1991-07-01,4.28576,1.91373,1.54768
1991-08-01,4.30457,1.92343,1.58962
1991-09-01,4.27835,1.93383,1.64069
1991-10-01,4.25838,1.94511,1.77972
1991-11-01,4.25985,1.96035,1.81047
1991-12-01,4.29963,1.97742,1.81383
1992-01-01,4.41173,1.99759,1.71671
1992-02-01,4.39243,2.01054,1.7023
1992-03-01,4.39767,2.02147,1.71181
1992-04-01,4.38988,2.02795,1.77009
1992-05-01,4.39188,2.03547,1.79491
1992-06-01,4.35361,2.04254,1.81481
1992-07-01,4.35325,2.05059,1.83763
1992-08-01,4.32517,2.05782,1.84976
1992-09-01,4.30704,2.0648,1.84734
1992-10-01,4.31002,2.07107,1.82016
1992-11-01,4.24704,2.07384,1.81533
1992-12-01,4.26667,2.07442,1.81864
1993-01-01,4.42567,2.13785,1.84685
1993-02-01,4.38673,2.135,1.85383
1993-03-01,4.39596,2.13432,1.85846
1993-04-01,4.40873,2.1327,1.82346
1993-05-01,4.37506,2.13321,1.83367
1993-06-01,4.3561,2.13602,1.86337
1993-07-01,4.36795,2.14156,1.944
1993-08-01,4.34506,2.14935,1.97821
1993-09-01,4.34763,2.15952,1.99073
1993-10-01,4.32303,2.16559,1.96616
1993-11-01,4.29099,2.17399,1.95017
1993-12-01,4.32266,2.18451,1.93917
1994-01-01,4.35818,2.20054,1.93765
1994-02-01,4.36015,2.21575,1.92903
1994-03-01,4.36328,2.23046,1.92202
1994-04-01,4.35606,2.2413,1.91429
1994-05-01,4.33026,2.25151,1.90399
1994-06-01,4.29898,2.26093,1.89084
1994-07-01,4.29725,2.27465,1.84891
1994-08-01,4.28403,2.28776,1.86284
1994-09-01,4.27468,2.29996,1.88125
1994-10-01,4.26076,2.30755,1.96867
1994-11-01,4.22629,2.31441,1.99863
1994-12-01,4.26382,2.32039,2.01473
1995-01-01,4.31704,2.33176,2.02685
1995-02-01,4.33203,2.34257,2.03393
1995-03-01,4.3423,2.35317,2.03746
1995-04-01,4.33023,2.36424,2.0177
1995-05-01,4.33997,2.37479,2.01629
1995-06-01,4.32355,2.38481,2.01472
1995-07-01,4.30564,2.39006,2.0251
1995-08-01,4.28726,2.39464,2.00761
1995-09-01,4.29622,2.39887,1.95561
1995-10-01,4.2611,2.40391,1.8365
1995-11-01,4.23678,2.4086,1.8023
1995-12-01,4.27966,2.41263,1.81252
1996-01-01,4.30488,2.41582,1.88582
1996-02-01,4.32223,2.41929,1.92729
1996-03-01,4.35424,2.42304,1.97924
1996-04-01,4.3049,2.42022,2.06824
1996-05-01,4.27699,2.41788,2.08818
1996-06-01,4.25663,2.41603,2.07782
1996-07-01,4.24613,2.42107,1.98664
1996-08-01,4.23676,2.42651,1.95902
1996-09-01,4.2096,2.43235,1.93679
1996-10-01,4.19461,2.43562,1.91828
1996-11-01,4.20505,2.43914,1.90581
1996-12-01,4.19169,2.44322,1.90262
1997-01-01,4.29025,2.44975,1.94076
1997-02-01,4.21149,2.4545,1.93839
1997-03-01,4.24717,2.45721,1.93546
1997-04-01,4.22047,2.45285,1.88955
1997-05-01,4.20826,2.44655,1.87977
1997-06-01,4.181,2.43822,1.87744
1997-07-01,4.16234,2.42918,1.89004
1997-08-01,4.16004,2.4183,1.9004
1997-09-01,4.12812,2.40573,1.9094
1997-10-01,4.11816,2.39484,1.926
1997-11-01,4.09426,2.38212,1.92639
1997-12-01,4.12393,2.36758,1.9209
1998-01-01,4.14654,2.35161,1.8979
1998-02-01,4.14615,2.33657,1.8911
1998-03-01,4.15944,2.32259,1.89126
1998-04-01,4.12961,2.30957,1.90484
1998-05-01,4.12204,2.29772,1.90369
1998-06-01,4.11091,2.28677,1.89866
1998-07-01,4.104,2.27277,1.85558
1998-08-01,4.08011,2.25986,1.84909
1998-09-01,4.07661,2.24815,1.8557
1998-10-01,4.03167,2.2356,1.88994
1998-11-01,4.00768,2.22425,1.89997
1998-12-01,4.01692,2.21395,1.90807
1999-01-01,4.03501,2.20901,1.93451
1999-02-01,4.01389,2.20425,1.93294
1999-03-01,4.01731,2.19965,1.93024
1999-04-01,4.00743,2.19546,1.88422
1999-05-01,3.99117,2.19156,1.88372
1999-06-01,3.98324,2.18769,1.89481
