date,Ten-year,label
2024-05-01,4.48227,
2024-06-01,4.30526,
2024-07-01,4.24864,Jul\\2024
2024-08-01,3.87091,
2024-09-01,3.7235,
2024-10-01,4.09545,Oct
2024-11-01,4.35579,
2024-12-01,4.39143,
2025-01-01,4.62905,Jan\\2025
2025-02-01,4.45105,
2025-03-01,4.28048,
2025-04-01,4.27905,Apr
2025-05-01,4.42381,
2025-06-01,4.3835,
2025-07-01,4.39182,Jul
2025-08-01,4.26476,
2025-09-01,4.12048,
2025-10-01,4.06182,Oct
2025-11-01,4.09389,
2025-12-01,4.12333,
