date,ccsa
2022-04-23,1419
2022-04-30,1379
2022-05-07,1362
2022-05-14,1372
2022-05-21,1349
2022-05-28,1354
2022-06-04,1339
2022-06-11,1350
2022-06-18,1355
2022-06-25,1397
2022-07-02,1357
2022-07-09,1365
2022-07-16,1387
2022-07-23,1416
2022-07-30,1426
2022-08-06,1421
2022-08-13,1409
2022-08-20,1418
2022-08-27,1417
2022-09-03,1396
2022-09-10,1398
2022-09-17,1387
2022-09-24,1395
2022-10-01,1394
2022-10-08,1408
2022-10-15,1407
2022-10-22,1432
2022-10-29,1432
2022-11-05,1412
2022-11-12,1456
2022-11-19,1470
2022-11-26,1514
2022-12-03,1542
2022-12-10,1554
2022-12-17,1571
2022-12-24,1597
2022-12-31,1590
2023-01-07,1588
2023-01-14,1608
2023-01-21,1602
2023-01-28,1636
2023-02-04,1644
2023-02-11,1647
2023-02-18,1641
2023-02-25,1665
2023-03-04,1665
2023-03-11,1680
2023-03-18,1697
2023-03-25,1704
2023-04-01,1696
2023-04-08,1737
2023-04-15,1722
2023-04-22,1705
2023-04-29,1706
2023-05-06,1710
2023-05-13,1710
2023-05-20,1729
2023-05-27,1712
2023-06-03,1744
2023-06-10,1753
2023-06-17,1750
2023-06-24,1767
2023-07-01,1770
2023-07-08,1786
2023-07-15,1765
2023-07-22,1776
2023-07-29,1773
2023-08-05,1803
2023-08-12,1797
2023-08-19,1819
2023-08-26,1802
2023-09-02,1810
2023-09-09,1793
2023-09-16,1795
2023-09-23,1789
2023-09-30,1800
2023-10-07,1808
2023-10-14,1810
2023-10-21,1816
2023-10-28,1823
2023-11-04,1807
2023-11-11,1795
2023-11-18,1813
2023-11-25,1818
2023-12-02,1818
2023-12-09,1803
2023-12-16,1817
2023-12-23,1815
2023-12-30,1759
2024-01-06,1728
2024-01-13,1761
2024-01-20,1829
2024-01-27,1813
2024-02-03,1803
2024-02-10,1787
2024-02-17,1805
2024-02-24,1794
2024-03-02,1803
2024-03-09,1795
2024-03-16,1810
2024-03-23,1789
2024-03-30,1810
2024-04-06,1797
2024-04-13,1774
2024-04-20,1768
2024-04-27,1781
2024-05-04,1786
2024-05-11,1787
2024-05-18,1790
2024-05-25,1791
2024-06-01,1813
2024-06-08,1821
2024-06-15,1832
2024-06-22,1856
2024-06-29,1847
2024-07-06,1860
2024-07-13,1851
