date,Materials,Industrials,Consumer \\[-1ex] Discretionary,Consumer \\[-1ex] Staples,Health Care,Financials,Information \\[-1ex] Technology,Communication \\[-1ex] Services,Utilities,Real Estate,Energy,\textbf{S\&P 500}
1993-05-04,90.040001,94.949997,99.760002,88.18,90.959999,106.129997,76.226318,105.379997,123.5,,101.830002,444.049988
1993-05-05,89.93,95.599998,99.5,88.82,91.760002,105.0,76.886284,105.190002,123.610001,,101.599998,444.519989
1993-05-06,89.5,96.019997,99.190002,88.400002,90.550003,104.629997,76.416306,105.059998,123.309998,,101.709999,443.26001
1993-05-07,89.239998,95.919998,99.129997,89.019997,90.120003,103.550003,77.086273,104.510002,122.980003,,100.879997,442.309998
1993-05-10,88.970001,95.910004,99.660004,89.510002,90.230003,103.940002,77.026276,104.839996,122.699997,,100.120003,442.799988
1993-05-11,89.43,95.940002,99.93,89.940002,90.489998,105.339996,76.536301,105.120003,122.800003,,100.480003,444.359985
1993-05-12,90.349998,96.419998,100.779999,89.32,89.620003,105.010002,75.796341,104.779999,122.599998,,101.650002,444.799988
1993-05-13,90.330002,95.760002,99.300003,88.309998,88.040001,102.690002,75.056366,102.559998,120.120003,,101.480003,439.230011
1993-05-14,89.919998,95.82,99.260002,88.639999,89.400002,101.300003,75.926323,103.470001,119.779999,,101.010002,439.559998
1993-05-17,89.650002,95.580002,99.620003,88.989998,90.809998,100.800003,76.626289,103.32,119.199997,,101.419998,440.369995
1993-05-18,90.010002,95.059998,99.540001,88.510002,90.389999,100.970001,78.39621,104.260002,118.440002,,101.110001,440.320007
1993-05-19,91.150002,96.199997,101.470001,90.279999,91.540001,103.220001,80.346115,107.059998,119.870003,,101.400002,447.570007
1993-05-20,91.699997,96.599998,102.870003,90.849998,92.330002,103.790001,80.736099,107.57,119.800003,,102.099998,450.589996
1993-05-21,91.239998,95.989998,101.330002,90.080002,91.330002,102.199997,79.216171,106.139999,119.330002,,101.379997,445.839996
1993-05-24,91.580002,96.480003,102.550003,89.68,91.519997,102.360001,80.46611,107.029999,119.669998,,101.75,448.0
1993-05-25,92.349998,96.599998,102.449997,90.0,90.910004,102.779999,79.896141,107.93,120.209999,,102.089996,448.850006
1993-05-26,92.580002,97.309998,103.190002,90.470001,92.050003,105.349998,82.386017,108.870003,121.720001,,102.230003,453.440002
1993-05-27,93.0,97.610001,102.980003,89.809998,90.400002,104.879997,82.036034,108.470001,121.699997,,103.07,452.410004
1993-05-28,92.169998,96.779999,102.419998,89.480003,90.870003,104.050003,80.636101,108.379997,121.669998,,102.790001,450.190002
1993-06-01,92.519997,97.910004,103.290001,89.82,91.279999,104.870003,81.916039,109.370003,122.730003,,103.629997,453.829987
1993-06-02,92.540001,98.279999,103.559998,89.410004,90.360001,104.739998,82.776001,109.599998,122.769997,,103.489998,453.850006
1993-06-03,92.419998,97.959999,103.199997,88.660004,89.589996,104.339996,82.945984,109.660004,122.779999,,103.589996,452.48999
1993-06-04,91.989998,97.699997,102.669998,88.07,88.18,103.040001,82.695999,109.790001,122.389999,,103.5,450.059998
1993-06-07,92.07,97.660004,101.699997,87.599998,88.029999,100.489998,81.216072,110.080002,122.779999,,103.809998,447.690002
1993-06-08,90.870003,96.730003,100.489998,86.93,87.510002,100.209999,80.476112,109.68,122.139999,,104.18,444.709991
1993-06-09,90.419998,96.860001,100.660004,86.610001,87.93,101.300003,80.22612,110.080002,122.169998,,105.150002,445.779999
