date,Real Rate 1-month,Real Rate 1-year,Real Rate 10-year
1989-01-01,2.22,3.25,4.86
1989-02-01,2.84,3.41,4.73
1989-03-01,2.91,3.47,4.97
1989-04-01,3.71,4.06,4.87
1989-05-01,4.52,4.51,4.63
1989-06-01,4.45,4.45,4.41
1989-07-01,3.9,3.9,4
1989-08-01,4.03,3.73,3.74
1989-09-01,4.3,3.97,4.28
1989-10-01,4.22,3.94,4.3
1989-11-01,3.86,3.86,4.03
1989-12-01,4.29,3.92,4.03
1990-01-01,4.09,3.82,4.13
1990-02-01,3.1,3.37,4.37
1990-03-01,5.24,4.43,4.55
1990-04-01,5.21,4.53,4.55
1990-05-01,4.39,4.31,4.81
1990-06-01,3.36,3.72,4.38
1990-07-01,4.71,4.29,4.34
1990-08-01,3.95,3.9,4.17
1990-09-01,2,2.85,4.4
1990-10-01,1.61,2.58,4.2
1990-11-01,0.35,2.06,4.06
1990-12-01,0.78,2.09,3.89
1991-01-01,1.38,2.69,3.92
1991-02-01,2.47,3.01,3.91
1991-03-01,2.23,2.83,4.18
1991-04-01,3.46,3.42,4.11
1991-05-01,2.43,3.15,4.05
1991-06-01,2.29,2.96,4.19
1991-07-01,2.38,2.86,4.22
1991-08-01,2.14,2.7,4.14
1991-09-01,2.3,2.63,3.88
1991-10-01,1.6,2.16,3.64
1991-11-01,1.41,2.07,3.57
1991-12-01,0.8,1.64,3.41
1992-01-01,0.68,1.5,3.2
1992-02-01,0.43,1.45,3.63
1992-03-01,0.42,1.37,3.66
1992-04-01,1.11,1.75,3.79
1992-05-01,0.12,1.49,3.75
1992-06-01,0.05,1.25,3.57
1992-07-01,0.21,1.25,3.35
1992-08-01,0.06,1.07,3.12
1992-09-01,0.14,0.98,2.96
1992-10-01,-0.19,0.74,2.73
1992-11-01,-0.07,0.91,3.32
1992-12-01,0.27,1.1,3.51
1993-01-01,0.02,0.9,3.27
1993-02-01,-0.07,0.8,3
1993-03-01,-0.15,0.55,2.67
1993-04-01,-0.09,0.71,2.77
1993-05-01,-0.27,0.6,2.66
1993-06-01,0.89,1.26,2.76
1993-07-01,0.13,0.84,2.59
1993-08-01,0.34,0.91,2.7
1993-09-01,0.25,0.77,2.45
1993-10-01,-0.17,0.53,2.4
1993-11-01,0.19,0.73,2.56
1993-12-01,0.46,0.95,2.72
1994-01-01,0.41,0.89,2.77
1994-02-01,-0.21,0.78,2.62
1994-03-01,-0.89,0.34,2.97
1994-04-01,0.57,1.3,3.66
1994-05-01,1.02,1.55,3.62
1994-06-01,0.33,1.25,3.59
1994-07-01,0.42,1.48,3.79
1994-08-01,1.56,2,3.58
1994-09-01,1.67,2.03,3.64
1994-10-01,1.57,2.03,3.96
1994-11-01,1.24,2.04,4.1
1994-12-01,1.26,2.01,4.12
1995-01-01,1.66,2.33,4.24
1995-02-01,1.62,2.26,4.05
1995-03-01,1.75,2.16,3.72
1995-04-01,2.21,2.36,3.65
1995-05-01,3.18,3.71,3.42
1995-06-01,2.94,3.11,2.9
1995-07-01,2.1,2.44,2.94
1995-08-01,2.43,2.52,3.15
1995-09-01,2.07,2.2,3.02
1995-10-01,2.82,2.53,3.01
1995-11-01,2.32,2.33,2.88
1995-12-01,3.95,3.05,2.72
1996-01-01,2.71,2.42,2.65
1996-02-01,2.26,2.14,2.6
1996-03-01,3.49,2.6,2.9
1996-04-01,3.01,2.59,3.11
1996-05-01,1.92,2.31,3.31
1996-06-01,2.15,2.38,3.49
1996-07-01,2.92,2.68,3.37
1996-08-01,2.45,2.45,3.33
1996-09-01,2.92,2.67,3.52
1996-10-01,2.38,2.36,3.32
1996-11-01,1.99,2.15,3.14
1996-12-01,2.81,2.45,2.95
1997-01-01,1.92,2.15,3.25
1997-02-01,1.65,1.95,3.21
1997-03-01,2.42,2.43,3.31
1997-04-01,2.71,2.58,3.55
1997-05-01,2.89,2.6,3.44
1997-06-01,1.72,2.77,3.28
1997-07-01,2.73,2.93,3.2
1997-08-01,2.59,2.65,3.09
1997-09-01,3.19,2.85,3.15
1997-10-01,2.13,2.33,3.02
1997-11-01,2.08,2.17,2.97
1997-12-01,3.29,2.84,2.92
1998-01-01,3.14,2.66,2.84
1998-02-01,3.07,2.53,2.78
1998-03-01,3.24,2.7,2.85
1998-04-01,3.39,2.71,2.85
1998-05-01,2.96,2.6,2.89
1998-06-01,3.75,2.87,2.87
1998-07-01,2.65,2.27,2.77
1998-08-01,2.89,2.35,2.78
1998-09-01,2.94,2.24,2.5
1998-10-01,1.99,2.12,1.94
1998-11-01,2.13,2.02,2.22
1998-12-01,3.11,2.36,2.23
1999-01-01,2.39,1.98,2.31
1999-02-01,2.39,1.91,2.37
1999-03-01,2.77,2.43,2.71
1999-04-01,3.2,2.5,2.68
1999-05-01,2.46,2.16,2.7
1999-06-01,4.94,3.45,3.12
1999-07-01,2.83,2.55,3.01
1999-08-01,3.06,2.63,3.1
1999-09-01,3.29,2.72,3.17
1999-10-01,2.39,2.26,3.14
1999-11-01,2.29,2.17,3.15
1999-12-01,1.64,1.84,3.19
2000-01-01,2.91,2.65,3.41
2000-02-01,2.85,2.64,3.51
2000-03-01,2.97,2.66,3.44
2000-04-01,3.26,2.9,3.2
2000-05-01,3.08,2.79,3.36
2000-06-01,0.07,1.98,3.13
2000-07-01,3.46,3.35,3.06
2000-08-01,3.63,3.24,3.05
2000-09-01,3.47,3,2.89
2000-10-01,3.74,3.05,2.88
2000-11-01,3.27,2.76,2.83
2000-12-01,2.68,2.32,2.64
2001-01-01,4.49,3.13,2.25
2001-02-01,2.22,2.83,2.27
2001-03-01,4.67,3.62,2.27
2001-04-01,2.6,2.4,2.22
2001-05-01,1.59,1.86,2.43
2001-06-01,0.92,1.45,2.53
2001-07-01,1.7,1.69,2.53
2001-08-01,1.8,1.59,2.33
2001-09-01,-0.34,0.25,2.18
2001-10-01,1.22,1.03,1.99
2001-11-01,1.41,1.06,1.81
2001-12-01,-0.97,-0.2,2.04
2002-01-01,0.61,0.79,2.52
2002-02-01,0.75,0.86,2.4
2002-03-01,1.25,1.08,2.42
2002-04-01,-0.06,0.53,2.7
2002-05-01,-0.68,0.11,2.35
2002-06-01,0.07,0.44,2.32
2002-07-01,-0.25,0.26,2.14
2002-08-01,-0.11,0.18,1.74
2002-09-01,-0.26,-0.02,1.45
2002-10-01,-0.48,-0.2,1.27
2002-11-01,-0.71,-0.28,1.4
