date,ALL_S,FILL,ALL,PNS,label,REAL
2022-01-01,0.609498,0,0.668364,0.44843,Jan\\2022,0.0588663
2022-02-01,0.711609,0,0,0.372024,,-0.711609
2022-03-01,1.00559,0,0.632311,0.518903,,-0.373275
2022-04-01,0.396213,0,0.345586,0.553097,Apr,-0.0506266
2022-05-01,0.920616,0,0.375704,0.440044,,-0.544912
2022-06-01,1.18791,0,0.374298,0.511135,,-0.813611
2022-07-01,-0.0339296,0,0.466128,0.399564,Jul,0.500058
2022-08-01,0.234872,0,0.30931,0.397974,,0.0744378
2022-09-01,0.412773,0,0.308356,0.36036,,-0.104416
2022-10-01,0.4883,0,0.399631,0.394973,Oct,-0.0886689
2022-11-01,0.205043,0,0.428659,0.46495,,0.223616
2022-12-01,0.13128,0,0.365854,0.427198,,0.234573
2023-01-01,0.517074,0,0.303767,0.283587,Jan\\2023,-0.213307
2023-02-01,0.370006,0,0.272562,0.424178,,-0.0974435
2023-03-01,0.053042,0,0.271821,0.387188,,0.218779
2023-04-01,0.367783,0,0.421687,0.315568,Apr,0.0539033
2023-05-01,0.124126,0,0.329934,0.384481,,0.205808
2023-06-01,0.180353,0,0.44843,0.348189,,0.268077
2023-07-01,0.166864,0,0.416667,0.416378,Jul,0.249803
2023-08-01,,0,0.237107,0.207326,,
