group,Total,Composition,Value
Bachelor's degree or more,1.475130143737724,0.0,1.475130143737724
High school degree or less,3.072063764711741,0.0,3.072063764711741
Some college or associate degree,1.687862372029647,0.0,1.687862372029647
Any education level,2.2085831925325428,2.21586781066464,-0.0072846181320973535
