date,Ten-year,Five-year
2003-01-01,2.29429,1.65429
2003-02-01,1.99,1.24368
2003-03-01,1.94429,1.08857
2003-04-01,2.18381,1.36
2003-05-01,1.9081,1.17905
2003-06-01,1.7219,0.907143
2003-07-01,2.10955,1.30409
2003-08-01,2.32048,1.48333
2003-09-01,2.18619,1.29143
2003-10-01,2.07636,1.20773
2003-11-01,1.96389,1.27
2003-12-01,1.98364,1.22909
2004-01-01,1.8875,1.086
2004-02-01,1.76211,0.857895
2004-03-01,1.46522,0.515217
2004-04-01,1.90286,1.01571
2004-05-01,2.09,1.338
2004-06-01,2.14619,1.40714
2004-07-01,2.02429,1.29095
2004-08-01,1.85955,1.12318
2004-09-01,1.79905,1.10286
2004-10-01,1.729,0.9745
2004-11-01,1.676,0.9035
2004-12-01,1.66864,0.923636
2005-01-01,1.7235,1.129
2005-02-01,1.63105,1.08316
2005-03-01,1.78727,1.28864
2005-04-01,1.70571,1.22857
2005-05-01,1.65333,1.2781
2005-06-01,1.67455,1.39091
2005-07-01,1.8765,1.6695
2005-08-01,1.88913,1.71
2005-09-01,1.69905,1.39524
2005-10-01,1.9425,1.6955
2005-11-01,2.0635,1.9735
2005-12-01,2.12333,2.08524
2006-01-01,2.006,1.9325
2006-02-01,2.04895,1.98
2006-03-01,2.19739,2.09174
2006-04-01,2.40895,2.26
2006-05-01,2.44591,2.30364
2006-06-01,2.52955,2.45182
2006-07-01,2.507,2.4555
2006-08-01,2.29087,2.26739
2006-09-01,2.3195,2.377
2006-10-01,2.41143,2.51048
2006-11-01,2.2919,2.4081
2006-12-01,2.2505,2.283
2007-01-01,2.43667,2.47238
2007-02-01,2.36053,2.34105
2007-03-01,2.17682,2.03909
2007-04-01,2.25571,2.11619
2007-05-01,2.37364,2.28955
2007-06-01,2.69095,2.65381
2007-07-01,2.63667,2.59571
2007-08-01,2.43826,2.38826
2007-09-01,2.25737,2.14263
2007-10-01,2.20227,2.00682
2007-11-01,1.768,1.3525
2007-12-01,1.789,1.272
2008-01-01,1.46905,0.857619
2008-02-01,1.405,0.648
2008-03-01,1.091,0.2275
2008-04-01,1.36227,0.615455
2008-05-01,1.46,0.792857
2008-06-01,1.62857,0.969048
2008-07-01,1.56909,0.840455
2008-08-01,1.67619,1.1481
2008-09-01,1.85,1.55333
2008-10-01,2.75227,2.75409
2008-11-01,2.88833,3.69056
2008-12-01,2.17,1.76182
2009-01-01,1.912,1.585
2009-02-01,1.75211,1.28947
2009-03-01,1.70909,1.22727
2009-04-01,1.56762,1.11048
2009-05-01,1.717,1.071
2009-06-01,1.86227,1.18
2009-07-01,1.82273,1.17864
2009-08-01,1.77381,1.28952
2009-09-01,1.6419,1.02571
2009-10-01,1.48333,0.832381
2009-11-01,1.27526,0.484211
2009-12-01,1.36455,0.431818
2010-01-01,1.37474,0.417895
2010-02-01,1.41895,0.415789
2010-03-01,1.50826,0.561304
2010-04-01,1.50091,0.620455
2010-05-01,1.307,0.4095
2010-06-01,1.25682,0.344545
2010-07-01,1.24095,0.340476
2010-08-01,1.02182,0.129091
2010-09-01,0.909048,0.131429
2010-10-01,0.525,-0.3245
2010-11-01,0.666,-0.2055
2010-12-01,1.04409,0.205
2011-01-01,1.0605,0.064
2011-02-01,1.23789,0.246842
2011-03-01,0.963913,-0.0882609
2011-04-01,0.8635,-0.1425
2011-05-01,0.778571,-0.335238
2011-06-01,0.755455,-0.375455
2011-07-01,0.6235,-0.491
2011-08-01,0.135217,-0.747826
2011-09-01,0.077619,-0.715238
2011-10-01,0.186,-0.6345
2011-11-01,0.0015,-0.853
2011-12-01,-0.0314286,-0.778095
2012-01-01,-0.108,-0.922
2012-02-01,-0.2545,-1.1145
2012-03-01,-0.141364,-1.02864
2012-04-01,-0.21381,-1.05762
2012-05-01,-0.341364,-1.12318
2012-06-01,-0.500476,-1.04762
2012-07-01,-0.601905,-1.14762
2012-08-01,-0.585652,-1.19217
2012-09-01,-0.713158,-1.47053
2012-10-01,-0.748571,-1.46571
2012-11-01,-0.7725,-1.383
2012-12-01,-0.7575,-1.3995
2013-01-01,-0.608571,-1.38571
2013-02-01,-0.570526,-1.38737
2013-03-01,-0.585,-1.4275
2013-04-01,-0.652273,-1.38
2013-05-01,-0.355,-1.14091
2013-06-01,0.2515,-0.5895
2013-07-01,0.46,-0.454545
2013-08-01,0.552727,-0.332727
2013-09-01,0.664,-0.1715
2013-10-01,0.428636,-0.410455
2013-11-01,0.547895,-0.382105
2013-12-01,0.738571,-0.0933333
2014-01-01,0.631905,-0.0914286
2014-02-01,0.552105,-0.258421
2014-03-01,0.555714,-0.137619
2014-04-01,0.542857,-0.107619
2014-05-01,0.368095,-0.342857
2014-06-01,0.369524,-0.291429
2014-07-01,0.279545,-0.271364
2014-08-01,0.22381,-0.21
2014-09-01,0.460952,0.0971429
2014-10-01,0.384091,0.0645455
2014-11-01,0.445556,0.142778
2014-12-01,0.510455,0.365455
2015-01-01,0.2745,0.166
2015-02-01,0.26,0.110526
2015-03-01,0.280909,0.0418182
2015-04-01,0.0768182,-0.263182
2015-05-01,0.332,-0.101
2015-06-01,0.497727,0.0509091
2015-07-01,0.503636,0.136818
2015-08-01,0.555714,0.311905
2015-09-01,0.65,0.334762
2015-10-01,0.571429,0.211429
2015-11-01,0.692632,0.404737
2015-12-01,0.727727,0.46
2016-01-01,0.665263,0.327895
2016-02-01,0.472,0.1385
2016-03-01,0.337273,-0.0331818
2016-04-01,0.190476,-0.22381
2016-05-01,0.211905,-0.22
2016-06-01,0.174091,-0.269545
2016-07-01,0.0385,-0.317
2016-08-01,0.0882609,-0.170435
2016-09-01,0.115714,-0.171429
2016-10-01,0.0975,-0.2605
2016-11-01,0.32,-0.0655
2016-12-01,0.55619,0.148095
2017-01-01,0.421,0.031
2017-02-01,0.4,0.0147368
2017-03-01,0.485652,0.176957
2017-04-01,0.391053,0.0757895
2017-05-01,0.466818,0.0904545
2017-06-01,0.458182,0.141364
2017-07-01,0.546,0.2305
2017-08-01,0.433478,0.161739
2017-09-01,0.368,0.1155
2017-10-01,0.498095,0.249524
2017-11-01,0.495714,0.297143
2017-12-01,0.503,0.416
