date,A261RC,A4002C,A4102C,A038RC,W271RC,indirect,W056RC,A107RC,A262RC,NDI,label
2023-04-01,2.11,2.06,1.62,0.45,-0.39,0.03,-0.01,-0.04,0.41,1.7,Q2 \\ 2023
2023-07-01,2.69,1.7,1.34,0.36,0.81,-0.08,-0.06,0.02,0.27,2.43,Q3
2023-10-01,5.12,1.69,1.27,0.42,2.65,0.23,0.15,-0.08,0.55,4.56,Q4
2024-01-01,2.95,3.34,2.94,0.4,-0.74,0.19,0.14,-0.05,0.15,2.8,Q1 \\ 2024
2024-04-01,2.02,0.41,0.22,0.19,0.97,0.11,0.06,-0.04,0.52,1.49,Q2
2024-07-01,1.36,0.28,0.05,0.24,0.18,0.19,0.17,-0.03,0.7,0.66,Q3
2024-10-01,5.18,2.12,1.83,0.29,2.36,0.22,0.24,0.01,0.48,4.7,Q4
2025-01-01,0.22,0.8,0.59,0.22,-0.67,0.06,0.19,0.13,0.03,0.19,Q1 \\ 2025
2025-04-01,4.77,1.56,1.21,0.35,0.55,2.38,2.54,0.16,0.28,4.49,Q2
