name,Year Ago Male,Latest Male,Year Ago Female,Latest Female,Year Ago Total,Latest Total
18--64,2.8273072093725204,6.552394479513168,2.614797092974186,6.039419025182724,2.7193889021873474,6.292016804218292
25--54,2.497619576752186,6.377075612545013,2.4918440729379654,5.8994486927986145,2.4946941062808037,6.135275214910507
16--24,5.417494103312492,8.629658073186874,4.303388297557831,7.915404438972473,4.863344505429268,8.273974061012268
25--34,3.1367048621177673,7.8657835721969604,2.9259130358695984,6.8535976111888885,3.031087853014469,7.35895112156868
35--44,2.1113496273756027,5.783490464091301,2.348790317773819,5.28893768787384,2.2320061922073364,5.532412603497505
45--54,2.1668564528226852,5.286817625164986,2.1628445014357567,5.477258190512657,2.1648062393069267,5.384130030870438
55--64,1.6023008152842522,4.666274040937424,1.7534125596284866,4.527067020535469,1.6806619241833687,4.594149813055992
65--74,0.9707513265311718,2.2136490792036057,0.6711451336741447,1.9044453278183937,0.810672715306282,2.048790082335472
