date,SLGAssets,SLGWealth,SLGLiab,SLGHousing,FedAssets,FedWealth,FedLiab,FedLiabROW,FedLiabDomCurr,FedLiabPrivDom,FedHousing,GGAssets,GGWealth,GGLiab
1994-01-01,56.66752674245452,25.695270089093736,30.972256653360787,1.5021954418231807,30.968841646556072,-39.49812329214526,70.46696493870132,8.924003028815912,70.36970048563364,61.54296190988542,0.8021049933301966,87.63636838901058,-13.802853203051527,101.43922159206211
1994-04-01,56.13823286022731,25.464034361580097,30.674198498647222,1.4932390000677527,30.38534518957059,-39.1728719371,69.55821712667058,8.748461935128125,69.46029981519072,60.80975519154246,0.7977307911445549,86.5235780497979,-13.7088375755199,100.23241562531781
1994-07-01,56.21693953478856,25.951405489645108,30.26553404514345,1.5040495425295743,30.185504854335825,-39.312611042718835,69.49811589705466,8.955139594125008,69.40005388022902,60.54297630292965,0.8023107115941387,86.40244438912438,-13.361205553073729,99.7636499421981
1994-10-01,56.06562751164006,26.333174519884412,29.732452991755647,1.5097203488315944,29.921204921929238,-39.44266137002353,69.36386629195277,8.897697848828912,69.26792097099401,60.466168443123856,0.8030943942071721,85.9868324335693,-13.109486850139124,99.09631928370843
1995-01-01,56.26785942417262,27.238105316081313,29.0297541080913,1.5145655797058581,30.2056328864791,-39.6292405144232,69.83487340090231,9.324581919147217,69.73322880841191,60.51029148175508,0.8037181235658454,86.47349231065172,-12.391135198341887,98.8646275089936
1995-04-01,56.45043785138023,27.989102224944816,28.461335626435414,1.5172806426384289,30.24598215775577,-39.62183338154599,69.86781553930176,9.961592123041337,69.76643045762978,59.90622341626042,0.8036937621793018,86.696420009136,-11.632731156601169,98.32915116573717
1995-07-01,56.28592532335476,28.747924835272105,27.53800048808265,1.5101146994224355,29.735582852029612,-39.71623525583666,69.45181810786627,10.54609940616611,69.35576344260961,58.90571870170015,0.798334011225901,86.02150817538437,-10.96831042056455,96.98981859594892
1995-10-01,56.17588534884014,29.135515515685512,27.040369833154625,1.5058566093704207,29.042612072738727,-40.358781491771204,69.40139356450993,10.906923384315078,69.30769244624634,58.49447018019486,0.7928249362567361,85.21849742157886,-11.223265976085695,96.44176339766456
1996-01-01,56.08333159644292,29.536283301908327,26.54704829453459,1.5078792974693422,29.477440843630554,-40.21482962121724,69.6922704648478,11.676910931073241,69.601287061217,58.01535953377456,0.7893531498126445,85.56077244007346,-10.678546319308918,96.23931875938239
1996-04-01,55.44691541223279,29.48517585312293,25.96173955910985,1.4899213727648006,28.549093471300313,-39.68221699921821,68.23131047051852,11.704901379835775,68.14327186897785,56.52640909068275,0.7788030136290527,83.99600888353311,-10.197041146095279,94.19305002962838
