date,Model10,TIPS10
1989-01-01,4.85,
1989-04-01,4.64,
1989-07-01,4.01,
1989-10-01,4.12,
1990-01-01,4.35,
1990-04-01,4.58,
1990-07-01,4.3,
1990-10-01,4.05,
1991-01-01,4.0,
1991-04-01,4.12,
1991-07-01,4.08,
1991-10-01,3.54,
1992-01-01,3.5,
1992-04-01,3.7,
1992-07-01,3.14,
1992-10-01,3.19,
1993-01-01,2.98,
1993-04-01,2.73,
1993-07-01,2.58,
1993-10-01,2.56,
1994-01-01,2.79,
1994-04-01,3.62,
1994-07-01,3.67,
1994-10-01,4.06,
1995-01-01,4.0,
1995-04-01,3.32,
1995-07-01,3.04,
1995-10-01,2.87,
1996-01-01,2.72,
1996-04-01,3.3,
1996-07-01,3.41,
1996-10-01,3.14,
1997-01-01,3.26,
1997-04-01,3.42,
1997-07-01,3.15,
1997-10-01,2.97,
1998-01-01,2.82,
1998-04-01,2.87,
1998-07-01,2.68,
1998-10-01,2.13,
1999-01-01,2.46,
1999-04-01,2.83,
1999-07-01,3.09,
1999-10-01,3.16,
2000-01-01,3.45,
2000-04-01,3.23,
2000-07-01,3.0,
2000-10-01,2.78,
2001-01-01,2.26,
2001-04-01,2.39,
2001-07-01,2.35,
2001-10-01,1.95,
2002-01-01,2.45,
2002-04-01,2.46,
2002-07-01,1.78,
2002-10-01,1.45,
2003-01-01,1.39,2.08
2003-04-01,1.2,1.94
2003-07-01,1.59,2.2
2003-10-01,1.6,2.01
2004-01-01,1.58,1.69
2004-04-01,1.73,2.05
2004-07-01,1.76,1.89
2004-10-01,1.74,1.69
2005-01-01,1.86,1.72
2005-04-01,1.83,1.68
2005-07-01,1.86,1.82
2005-10-01,2.02,2.04
2006-01-01,2.21,2.09
2006-04-01,2.41,2.46
2006-07-01,2.34,2.37
2006-10-01,2.18,2.32
2007-01-01,2.15,2.32
2007-04-01,2.12,2.44
2007-07-01,2.15,2.45
2007-10-01,1.74,1.93
2008-01-01,1.18,1.32
2008-04-01,1.32,1.48
2008-07-01,1.35,1.7
2008-10-01,1.37,2.59
2009-01-01,1.08,1.79
2009-04-01,1.02,1.72
2009-07-01,1.13,1.75
2009-10-01,0.97,1.38
2010-01-01,1.14,1.44
2010-04-01,1.19,1.36
2010-07-01,0.7,1.06
2010-10-01,0.46,0.75
2011-01-01,0.85,1.08
2011-04-01,0.73,0.8
2011-07-01,0.39,0.27
2011-10-01,0.13,0.05
2012-01-01,0.11,-0.17
2012-04-01,0.02,-0.35
2012-07-01,-0.09,-0.63
2012-10-01,-0.09,-0.76
2013-01-01,0.1,-0.59
2013-04-01,0.06,-0.27
2013-07-01,0.52,0.56
2013-10-01,0.47,0.57
2014-01-01,0.59,0.58
2014-04-01,0.65,0.43
2014-07-01,0.61,0.32
2014-10-01,0.6,0.45
2015-01-01,0.67,0.27
2015-04-01,0.5,0.3
2015-07-01,0.58,0.57
2015-10-01,0.62,0.66
2016-01-01,0.61,0.48
2016-04-01,0.43,0.19
2016-07-01,0.21,0.08
2016-10-01,0.45,0.33
2017-01-01,0.81,0.44
2017-04-01,0.76,0.44
2017-07-01,0.66,0.45
2017-10-01,0.68,0.5
2018-01-01,1.0,0.68
2018-04-01,1.16,0.79
2018-07-01,1.18,0.81
2018-10-01,1.29,1.06
2019-01-01,0.88,0.79
2019-04-01,0.46,0.52
2019-07-01,0.37,0.15
2019-10-01,0.44,0.15
2020-01-01,0.23,-0.06
2020-04-01,-0.1,-0.48
2020-07-01,-0.37,-0.94
2020-10-01,-0.24,-0.92
2021-01-01,-0.15,-0.85
2021-04-01,0.05,-0.79
2021-07-01,-0.14,-1.02
2021-10-01,0.11,-1.0
2022-01-01,0.37,-0.65
2022-04-01,1.06,0.2
2022-07-01,1.04,0.68
2022-10-01,1.77,1.49
2023-01-01,1.75,1.36
2023-04-01,1.35,1.37
2023-07-01,1.58,1.82
2023-10-01,1.95,2.15
2024-01-01,1.74,1.87
2024-04-01,2.01,2.12
2024-07-01,1.76,1.79
2024-10-01,1.75,1.97
2025-01-01,1.98,2.07
2025-04-01,1.74,2.08
2025-07-01,1.6,1.88
2025-10-01,1.54,1.83
2026-01-01,1.63,1.88
2026-04-01,1.61,1.96
