date,ICS_ALL
1989-01-01,97.9
1989-02-01,95.4
1989-03-01,94.3
1989-04-01,91.5
1989-05-01,90.7
1989-06-01,90.6
1989-07-01,92.0
1989-08-01,89.6
1989-09-01,95.8
1989-10-01,93.9
1989-11-01,90.9
1989-12-01,90.5
1990-01-01,93.0
1990-02-01,89.5
1990-03-01,91.3
1990-04-01,93.9
1990-05-01,90.6
1990-06-01,88.3
1990-07-01,88.2
1990-08-01,76.4
1990-09-01,72.8
1990-10-01,63.9
1990-11-01,66.0
1990-12-01,65.5
1991-01-01,66.8
1991-02-01,70.4
1991-03-01,87.7
1991-04-01,81.8
1991-05-01,78.3
1991-06-01,82.1
1991-07-01,82.9
1991-08-01,82.0
1991-09-01,83.0
1991-10-01,78.3
1991-11-01,69.1
1991-12-01,68.2
1992-01-01,67.5
1992-02-01,68.8
1992-03-01,76.0
1992-04-01,77.2
1992-05-01,79.2
1992-06-01,80.4
1992-07-01,76.6
1992-08-01,76.1
1992-09-01,75.6
1992-10-01,73.3
1992-11-01,85.3
1992-12-01,91.0
1993-01-01,89.3
1993-02-01,86.6
1993-03-01,85.9
1993-04-01,85.6
1993-05-01,80.3
1993-06-01,81.5
1993-07-01,77.0
1993-08-01,77.3
1993-09-01,77.9
1993-10-01,82.7
1993-11-01,81.2
1993-12-01,88.2
1994-01-01,94.3
1994-02-01,93.2
1994-03-01,91.5
1994-04-01,92.6
1994-05-01,92.8
1994-06-01,91.2
1994-07-01,89.0
1994-08-01,91.7
1994-09-01,91.5
1994-10-01,92.7
1994-11-01,91.6
1994-12-01,95.1
1995-01-01,97.6
1995-02-01,95.1
1995-03-01,90.3
1995-04-01,92.5
1995-05-01,89.8
1995-06-01,92.7
1995-07-01,94.4
1995-08-01,96.2
1995-09-01,88.9
1995-10-01,90.2
1995-11-01,88.2
1995-12-01,91.0
1996-01-01,89.3
1996-02-01,88.5
1996-03-01,93.7
1996-04-01,92.7
1996-05-01,89.4
1996-06-01,92.4
1996-07-01,94.7
1996-08-01,95.3
1996-09-01,94.7
1996-10-01,96.5
1996-11-01,99.2
1996-12-01,96.9
1997-01-01,97.4
1997-02-01,99.7
1997-03-01,100.0
1997-04-01,101.4
1997-05-01,103.2
1997-06-01,104.5
1997-07-01,107.1
1997-08-01,104.4
1997-09-01,106.0
1997-10-01,105.6
1997-11-01,107.2
1997-12-01,102.1
1998-01-01,106.6
1998-02-01,110.4
1998-03-01,106.5
1998-04-01,108.7
1998-05-01,106.5
1998-06-01,105.6
1998-07-01,105.2
1998-08-01,104.4
1998-09-01,100.9
1998-10-01,97.4
1998-11-01,102.7
1998-12-01,100.5
1999-01-01,103.9
1999-02-01,108.1
1999-03-01,105.7
1999-04-01,104.6
1999-05-01,106.8
1999-06-01,107.3
1999-07-01,106.0
1999-08-01,104.5
1999-09-01,107.2
1999-10-01,103.2
1999-11-01,107.2
1999-12-01,105.4
2000-01-01,112.0
2000-02-01,111.3
2000-03-01,107.1
2000-04-01,109.2
2000-05-01,110.7
2000-06-01,106.4
2000-07-01,108.3
2000-08-01,107.3
2000-09-01,106.8
2000-10-01,105.8
2000-11-01,107.6
2000-12-01,98.4
2001-01-01,94.7
2001-02-01,90.6
2001-03-01,91.5
2001-04-01,88.4
2001-05-01,92.0
2001-06-01,92.6
2001-07-01,92.4
2001-08-01,91.5
2001-09-01,81.8
2001-10-01,82.7
2001-11-01,83.9
2001-12-01,88.8
2002-01-01,93.0
2002-02-01,90.7
2002-03-01,95.7
2002-04-01,93.0
2002-05-01,96.9
2002-06-01,92.4
2002-07-01,88.1
2002-08-01,87.6
2002-09-01,86.1
2002-10-01,80.6
2002-11-01,84.2
2002-12-01,86.7
2003-01-01,82.4
2003-02-01,79.9
2003-03-01,77.6
2003-04-01,86.0
2003-05-01,92.1
2003-06-01,89.7
2003-07-01,90.9
2003-08-01,89.3
2003-09-01,87.7
2003-10-01,89.6
2003-11-01,93.7
2003-12-01,92.6
2004-01-01,103.8
2004-02-01,94.4
2004-03-01,95.8
2004-04-01,94.2
2004-05-01,90.2
2004-06-01,95.6
2004-07-01,96.7
2004-08-01,95.9
2004-09-01,94.2
2004-10-01,91.7
2004-11-01,92.8
2004-12-01,97.1
2005-01-01,95.5
2005-02-01,94.1
2005-03-01,92.6
2005-04-01,87.7
2005-05-01,86.9
2005-06-01,96.0
2005-07-01,96.5
2005-08-01,89.1
2005-09-01,76.9
2005-10-01,74.2
2005-11-01,81.6
2005-12-01,91.5
2006-01-01,91.2
2006-02-01,86.7
2006-03-01,88.9
2006-04-01,87.4
2006-05-01,79.1
2006-06-01,84.9
2006-07-01,84.7
2006-08-01,82.0
