date,PROJ_POP
2022-07-01,333.288
2023-07-01,334.906
2024-07-01,336.482
2025-07-01,338.016
2026-07-01,339.513
2027-07-01,340.97
2028-07-01,342.385
2029-07-01,343.754
2030-07-01,345.074
