date,Employment,Hours worked,AverageHours,AggIdx
1989-01-01,124.927,222.509,34.252,77.46311349279895
1989-04-01,125.273,223.285,34.277,77.94855746385572
1989-07-01,125.62,223.853,34.269,78.36330855203185
1989-10-01,126.048,224.28,34.218,78.7802876808258
1990-01-01,126.858,224.849,34.086,79.48769006005064
1990-04-01,127.264,224.408,33.91,79.58568530709945
1990-07-01,126.995,223.957,33.914,79.25785590136874
1990-10-01,126.812,223.418,33.881,78.95316924222226
1991-01-01,126.303,222.022,33.805,78.14491669759575
1991-04-01,126.056,220.979,33.712,77.62570933857654
1991-07-01,126.031,221.143,33.744,77.66791290193359
1991-10-01,125.862,220.986,33.765,77.50869866739882
1992-01-01,125.44,220.112,33.745,76.94330219620339
1992-04-01,125.739,221.135,33.821,77.48516168839139
1992-07-01,126.117,221.112,33.716,77.71001631667274
1992-10-01,126.454,222.329,33.811,78.34652563560948
1993-01-01,127.117,223.788,33.856,79.27413020783234
1993-04-01,127.845,226.116,34.013,80.5575217991366
1993-07-01,128.515,226.799,33.938,81.22430645100758
1993-10-01,129.206,228.512,34.011,82.27781480974821
1994-01-01,129.763,229.916,34.073,83.14021216485537
1994-04-01,131.039,233.444,34.259,85.24606524891847
1994-07-01,132.297,235.638,34.252,86.87331216779323
1994-10-01,132.955,236.284,34.176,87.54473743374335
1995-01-01,133.904,237.709,34.139,88.7013503495895
1995-04-01,134.439,237.646,33.994,89.03214525850261
1995-07-01,134.867,239.549,34.157,90.03080122882649
1995-10-01,135.108,239.578,34.101,90.20260005764868
1996-01-01,135.802,239.337,33.892,90.57473348919531
1996-04-01,136.488,241.932,34.088,92.01928225339826
1996-07-01,137.286,243.997,34.179,93.34730711697222
1996-10-01,138.269,245.976,34.211,94.77823407514582
1997-01-01,139.118,247.234,34.176,95.84789440398391
1997-04-01,139.745,248.704,34.225,96.85233690950565
1997-07-01,140.328,249.873,34.243,97.71353438730453
1997-10-01,141.066,251.043,34.223,98.68735831860381
1998-01-01,141.818,252.567,34.249,99.8157370378038
1998-04-01,142.747,253.951,34.212,101.02014160255473
1998-07-01,143.306,254.267,34.121,101.54193352770446
1998-10-01,143.951,256.888,34.318,103.05037097937324
1999-01-01,144.101,256.455,34.225,102.98387313031519
1999-04-01,145.149,258.562,34.257,104.58509671590963
1999-07-01,145.839,259.596,34.231,105.50249491280243
1999-10-01,146.594,261.003,34.239,106.62345478134235
2000-01-01,147.483,262.582,34.239,107.91901452168224
2000-04-01,148.109,263.223,34.177,108.64164680035549
2000-07-01,147.913,262.789,34.166,108.31898547072454
2000-10-01,147.822,261.97,34.081,107.91496887756158
2001-01-01,148.288,262.188,34.002,108.34524957534957
2001-04-01,147.783,260.527,33.902,107.29223023881558
2001-07-01,147.25,258.793,33.798,106.19373218261394
2001-10-01,146.574,257.192,33.744,105.05227246215063
2002-01-01,145.988,255.472,33.653,103.93253558385341
2002-04-01,145.895,256.51,33.811,104.28834244427708
2002-07-01,145.776,256.22,33.801,104.08547104512569
2002-10-01,145.925,256.328,33.78,104.2357766813853
2003-01-01,145.918,255.057,33.614,103.7139491727946
2003-04-01,145.654,253.943,33.528,103.07413944163635
2003-07-01,145.923,254.828,33.583,103.62438144671127
2003-10-01,146.381,255.887,33.617,104.38160928488051
2004-01-01,146.714,256.898,33.673,105.03241151259598
2004-04-01,147.39,257.136,33.55,105.61411359888994
