date,SLG NFA,SLG FA,FG NFA,FG FA
2018-07-01,55.0245,16.3378,16.9125,14.5224
2018-10-01,55.5089,16.2089,16.958,14.7518
2019-01-01,55.3794,16.3292,16.958,14.6832
2019-04-01,55.5409,16.3215,16.7731,14.1317
2019-07-01,55.186,16.067,16.5995,14.4065
2019-10-01,55.0045,16.0297,16.5353,14.4225
2020-01-01,55.9443,16.0746,16.8011,15.4647
2020-04-01,60.9298,18.5419,18.4401,24.5912
2020-07-01,56.9375,17.508,17.14,23.357
2020-10-01,56.5427,17.6655,17.0529,22.9049
2021-01-01,56.328,17.2249,16.8584,19.61
2021-04-01,56.26,18.0715,16.7045,17.7283
2021-07-01,56.3744,18.14,16.6748,16.1251
2021-10-01,56.573,17.9021,16.5517,16.5492
2022-01-01,57.394,17.4002,16.6968,17.9359
2022-04-01,58.1438,17.4091,16.7364,17.6676
2022-07-01,58.4057,17.0237,16.6808,16.6479
2022-10-01,58.2925,16.9879,16.5933,16.0323
2023-01-01,58.1186,17.0894,16.4585,15.4687
2023-04-01,57.7394,16.9363,16.3541,15.4909
2023-07-01,56.7157,16.3718,16.1422,15.8096
2023-10-01,56.364,16.7009,16.0784,16.0711
2024-01-01,56.3538,16.5861,16.0326,16.5217
2024-04-01,55.8158,16.5115,15.9212,16.1807
2024-07-01,55.7009,16.8296,15.8329,16.9279
2024-10-01,55.5301,16.4925,15.7922,16.3608
2025-01-01,55.8115,16.8053,15.9074,16.0984
2025-04-01,55.5883,16.5107,15.8469,16.0006
2025-07-01,55.008,16.5824,15.6923,17.9041
2025-10-01,55.2098,16.4515,15.7236,18.3923
