date,Noncorporate Assets,Noncorporate Debt,Noncorporate Liabilities,Noncorporate Net Worth,Noncorporate GVA,Corporate Assets,Corporate Debt,Corporate Liabilities,Corporate Net Worth,Corporate GVA
1989-01-01,532.4639017427255,143.0334123053332,172.88704703066102,359.57685471206446,100.0,348.50066917332595,78.87758088137578,161.70972778002252,186.79094139330343,100.0
1989-04-01,542.8650079669666,145.7747797459251,176.6143182198635,366.250689747103,100.0,347.9131430139117,80.33881669192598,161.68741792941063,186.22572508450108,100.0
1989-07-01,545.4575007879953,146.77787185651687,178.49693763403644,366.96056315395884,100.0,345.83821948315926,80.18609270235744,160.56115131144318,185.27706817171614,100.0
1989-10-01,551.3505962403357,148.08740737444091,180.61137195853144,370.7393479061741,100.0,345.8304762874991,81.04332130435408,161.29013088208598,184.54034540541318,100.0
1990-01-01,530.152141065082,142.02619077458579,173.24218426709103,356.90995679799096,100.0,341.409830426193,81.63060269511276,161.62719482260576,179.78263560358727,100.0
1990-04-01,534.7701472872534,142.4533499526657,173.58995351879213,361.1800752846278,100.0,336.13991652416917,81.38801998446858,158.22481801391643,177.9150985102527,100.0
1990-07-01,534.7112155097948,141.54205904435977,172.14269406661379,362.56852144318106,100.0,338.53064566798395,81.72395109573588,163.3446634899461,175.18598217803788,100.0
1990-10-01,535.2451533973273,140.92285431959345,171.40798513081123,363.83728590250325,100.0,337.2032181971198,82.11340968870718,164.03607230671074,173.16714589040902,100.0
1991-01-01,536.4093233232144,140.9125755077028,171.97064161139886,364.43868171181555,100.0,337.83793440201987,81.71860289315099,162.61735639864256,175.2205780033773,100.0
1991-04-01,532.8608254989812,140.25449655601685,170.80242165158518,362.058403847396,100.0,335.44577763805205,81.10235339875315,162.11946303887785,173.32631459917417,100.0
1991-07-01,522.5481625909326,136.43082174254852,166.67388377066283,355.8742788202698,100.0,331.94084373900404,79.76971849690003,161.97212391534632,169.9687198236577,100.0
1991-10-01,515.4318220481202,134.45518788764903,164.86330845942703,350.5685135886932,100.0,328.8498962147039,78.18517792442253,160.10390457196632,168.74599164273758,100.0
1992-01-01,493.7388351305758,128.42165617339256,158.38708857766883,335.35174655290695,100.0,326.5386612439551,77.74390593235722,166.14556289881082,160.39309834514427,100.0
1992-04-01,482.61938604860467,125.2868229129482,154.90773853952348,327.7116475090812,100.0,321.6866551970328,76.80404931049763,164.30634457649106,157.3803106205417,100.0
1992-07-01,481.0154351834301,123.85722347629797,153.66494063722365,327.3506022435511,100.0,318.86650581140657,76.2390927976303,164.19663032189686,154.66987548950965,100.0
1992-10-01,493.54812995852717,126.59076969405763,158.19149242395724,335.3566375345699,100.0,309.8875550242134,74.64674462240798,161.09781950289224,148.78973552132118,100.0
1993-01-01,465.0900221518036,117.284108024509,147.3064878766299,317.78353427517374,100.0,314.4411165723176,76.30482855469671,163.65706277732943,150.78405379498818,100.0
1993-04-01,479.09703445476214,119.87579878088204,150.43779922816753,328.65923522659466,100.0,310.34177878913994,75.73446316425911,161.82758540199842,148.5141933871415,100.0
1993-07-01,489.22964237149273,120.76482397402187,151.65966738017923,337.5699749913135,100.0,310.33369996846545,75.7676722501731,161.22212086446984,149.1115791039956,100.0
1993-10-01,490.27020001044104,119.69569604123585,150.6530463956463,339.61715361479474,100.0,310.35697790123737,74.65990088853636,158.6957857331714,151.661192168066,100.0
1994-01-01,472.5153701243493,113.72483449312283,143.68469533864942,328.8306747856999,100.0,309.34186805443795,75.76005766752185,158.95752159489106,150.38434645954686,100.0
1994-04-01,478.1919345308318,113.88467068790624,144.09851835270345,334.09341617812845,100.0,306.11720134504156,75.12358868356786,156.38315802022836,149.7340433248132,100.0
1994-07-01,477.6960998774997,112.90806910924798,143.30384841783732,334.3922514596624,100.0,305.5630959847561,74.90063348265808,153.91495504408812,151.64814094066796,100.0
1994-10-01,473.14948425539865,110.73398313522932,141.38704570912938,331.7624385462692,100.0,305.387820778762,74.57794110086297,152.6063680053266,152.78145277343538,100.0
1995-01-01,476.70003642450826,111.18629586000588,142.6371150239472,334.0630182742533,100.0,307.2543054861737,75.84293582395446,152.09415279640243,155.16015268977125,100.0
1995-04-01,481.8163691974138,112.33710170738318,144.0556157807116,337.76075341670213,100.0,309.3981076051387,76.76472397531955,151.4768611992036,157.92124640593514,100.0
1995-07-01,482.69492426839247,112.0972924148085,143.93607666064813,338.75884760774437,100.0,308.7793598195587,75.74097046018514,150.15901831614576,158.62034150341293,100.0
1995-10-01,482.10610747821045,111.57581486077089,143.83631800234608,338.2697894758644,100.0,314.82362384260074,76.08631257658169,151.43576971396504,163.38785412863567,100.0
1996-01-01,477.99789852592386,110.56327438812326,143.78446145344884,334.213437072475,100.0,315.20648121081234,76.1237777631948,151.54967993652423,163.65680127428814,100.0
1996-04-01,469.35892000446285,108.91844248577485,142.39053888207073,326.9683811223921,100.0,313.7841450602229,76.21060185358898,150.63039379385387,163.153751266369,100.0
1996-07-01,471.5855422966139,109.81155784452969,144.1746640650234,327.4108782315905,100.0,313.1782001506046,75.84384552908291,150.42516436838304,162.75303578222153,100.0
1996-10-01,465.1084695977054,107.37521579992541,142.06236031141754,323.0461092862879,100.0,319.8550903982062,74.98881162546476,149.19939829137456,170.65569210683168,100.0
1997-01-01,474.2705282200447,108.53143423468678,145.19610971011195,329.07433365803325,100.0,322.579314567312,75.39788553944341,148.95615873370494,173.623155833607,100.0
1997-04-01,478.8626735406485,109.59131785233909,147.89579343170237,330.9667962526289,100.0,321.4387095528341,75.85234853379023,145.2188210985338,176.21988845430033,100.0
1997-07-01,481.0148512405677,109.81000359012026,149.23784052619965,331.77701071436803,100.0,321.63664137204546,75.99506121984867,142.8379320628096,178.79870930923587,100.0
1997-10-01,489.8762816648402,110.87024259597791,151.44061446691774,338.4356671979225,100.0,329.8356007381924,76.53852222529908,142.7592275636334,187.076373174559,100.0
1998-01-01,487.02243764874567,111.27481341611676,153.46477805419835,333.5576595945474,100.0,335.18920308288955,78.80784355230315,143.97290144992908,191.2163016329604,100.0
1998-04-01,488.25078822758803,112.52023252810514,155.7443366321473,332.5064515954407,100.0,338.5505998375782,80.41368123106346,146.73441064414683,191.81618919343143,100.0
1998-07-01,487.82577270249493,113.37339896859592,158.24938022761657,329.57639247487833,100.0,335.078235819022,80.65676109961294,150.177432228237,184.900803590785,100.0
1998-10-01,487.573415144182,114.9695106301781,161.47552630149846,326.0978888426835,100.0,350.91954902945366,81.7927744968436,153.18127373921808,197.73827529023558,100.0
1999-01-01,482.6480479237401,116.75973102345839,164.30534209958475,318.34270582415536,100.0,348.17717603024107,82.81918432329081,155.15281418834428,193.02436184189685,100.0
1999-04-01,494.7257388612035,119.74700752312393,169.94112305875288,324.78468920594304,100.0,353.2331795662475,83.42424055913982,156.89285438820514,196.34032517804235,100.0
1999-07-01,503.20347733782864,121.12141843624798,172.3633915838241,330.8400857540045,100.0,360.19096468304684,85.41516312435962,162.71488742556983,197.47607725747702,100.0
1999-10-01,500.3162132966709,122.24393597171756,174.31363196363688,326.00265147795346,100.0,371.1561934504561,84.79217228843902,160.86708590464593,210.28910754581017,100.0
2000-01-01,499.90531872085586,124.39003674469053,178.73326195107484,321.1720567697811,100.0,363.28460948116594,84.70505402814908,159.71779279039328,203.56681669077267,100.0
2000-04-01,500.56999803031704,124.38279344075389,179.20129017598748,321.3686406296532,100.0,374.289849706129,86.23873907527668,166.16977496555074,208.12007474057825,100.0
2000-07-01,506.23833257220576,124.05430179418018,179.72835961139785,326.50997296080794,100.0,383.6683450080871,85.99250817748457,170.43912412992518,213.22922087816193,100.0
2000-10-01,508.67355384726807,125.360956204153,182.3495520056284,326.32406650595425,100.0,395.91588638610784,86.9546635833653,178.07486370979507,217.84102267631278,100.0
2001-01-01,462.5534057874515,114.86325152635732,166.90123440277688,295.6521713846746,100.0,399.25975612459894,88.12711193851104,185.27668325383823,213.9830728707607,100.0
2001-04-01,463.6178374900759,115.31270247579417,167.0564468292861,296.56139066078975,100.0,403.3105149815185,89.80306493687783,186.35150295035436,216.9590120311641,100.0
2001-07-01,472.44404383781153,117.80198586430882,170.53091824763214,301.9131828196984,100.0,406.90232765757673,90.8919260740674,191.94612080892085,214.9562068486559,100.0
2001-10-01,489.17576732005097,124.45816383070417,179.8577598658818,309.31800745416916,100.0,398.5472283646806,91.70252338937236,191.81392727579393,206.73330108888672,100.0
2002-01-01,473.752189749789,121.17546845485134,174.85410641489716,298.8980833348919,100.0,398.9434210201219,91.09919463099531,191.854709637982,207.08871138213985,100.0
2002-04-01,471.5055392276489,121.2380697727552,174.48797791090874,297.01756131674017,100.0,394.2500718324601,90.13374144913094,192.38067166382805,201.86940016863204,100.0
2002-07-01,472.4714132634577,121.46963244138993,174.5414136903296,297.92999957312804,100.0,392.80110297088396,89.44691106784347,193.44555844919645,199.3555445216875,100.0
2002-10-01,460.6145819564003,121.92203209681378,174.87789021044483,285.73674569924816,100.0,386.88318709622877,88.56707766509886,190.936289263517,195.94689783271176,100.0
2003-01-01,462.44483161283824,121.31337136205758,173.74094028623338,288.70389132660483,100.0,393.28156667155537,88.73360513979013,192.11458924928777,201.16697742226756,100.0
2003-04-01,469.0714482817176,121.83062342128166,173.87154804610387,295.1998471694509,100.0,389.18898219095183,87.95133354379264,186.219745226855,202.96923696409684,100.0
2003-07-01,465.48341077032376,120.04989249811749,170.85362670302132,294.62978406730247,100.0,380.8408689643787,86.86727996900437,182.21262289797036,198.6282460664084,100.0
2003-10-01,460.00050688733165,118.33649715509485,167.90617515491743,292.0943317324142,100.0,387.53259242334855,85.68284664936589,177.27901433282295,210.2535780905256,100.0
2004-01-01,464.6576800636689,119.37753680859531,169.46647433346598,295.19120573020297,100.0,391.4662487236687,85.35530684059958,176.42140664359133,215.04484208007736,100.0
2004-04-01,470.9509908764223,118.61845718084338,168.20919679759533,302.74179407882696,100.0,394.2229186946692,84.11070693376527,175.00353053071595,219.21938816395325,100.0
2004-07-01,483.1130950607316,119.39534626337498,169.20088483144076,313.91216293233555,100.0,396.7667046245293,83.27591911563545,174.2456759900533,222.5210286344761,100.0
2004-10-01,485.52107787149026,120.37941470819118,170.5407401344549,314.98033773703537,100.0,404.06571025501205,83.89988575114828,174.54018230316424,229.5255279518478,100.0
2005-01-01,499.34793826305156,123.9473790738155,176.70942865265545,322.6385561397052,100.0,404.3185641738139,82.87084960983255,174.7839257635456,229.53463841026837,100.0
2005-04-01,507.44890072921027,125.05519084941173,178.79012020148753,328.6587805277227,100.0,403.661022685009,82.65709128177637,174.39825296805876,229.2627697169503,100.0
2005-07-01,516.3347834649511,125.84146962441474,180.40202119486824,335.9327622700829,100.0,411.212791319976,82.80782805108859,175.1934537666803,236.01933755329577,100.0
2005-10-01,516.7667393408028,126.39530671033161,181.65342943764554,335.11326672185237,100.0,411.48289854969863,81.88436674184322,172.61509852671938,238.86780002297922,100.0
2006-01-01,508.37570207784165,126.29423893552023,181.5710355496922,326.8046665281494,100.0,414.00092585937375,81.49822905170858,171.92573688036876,242.07518897900502,100.0
2006-04-01,509.95228645191173,127.32777724740154,182.76539518558315,327.18693189089055,100.0,421.8260439110362,82.94336898525735,175.07162441659278,246.75441949444345,100.0
2006-07-01,527.5885470633034,132.24106766381533,189.7021546778933,337.8864332432282,100.0,422.4049078647325,82.05657840338728,172.99622502313886,249.40868284159365,100.0
2006-10-01,537.821908311193,136.38788587069845,195.462281778085,342.35962653310804,100.0,430.95377342278675,83.6951101041948,173.4703565629395,257.4834168598473,100.0
2007-01-01,544.2838210838589,141.00571497563456,201.4013539568997,342.88250791616514,100.0,435.5815310642517,84.23525396372685,174.94169431601134,260.6398367482404,100.0
2007-04-01,535.8332907385928,140.4871527709517,199.88955511431774,335.94373562427506,100.0,446.8988865644085,86.36702280537675,176.84071263611182,270.0581739282966,100.0
2007-07-01,545.1714915723578,145.4943572468256,206.30110724978405,338.8703843225738,100.0,459.8079244026872,89.9063037085819,182.18932726876957,277.6185971339176,100.0
