date,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.UK,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.JA,RXI_N.B.MX,JRXWTFB_N.B,JRXWTFN_N.B,JRXWTFO_N.B
1989-01-02,,,,,,,,,,
1989-01-03,0.868,,1.8225,1.1907,3.7314,123.6,,,,
1989-01-04,0.8698,,1.807,1.1921,3.7314,125.05,,,,
1989-01-05,0.8679,,1.797,1.1895,3.7314,125.59,,,,
1989-01-06,0.8625,,1.78,1.1952,3.7314,126.62,,,,
1989-01-09,0.8637,,1.7636,1.197,3.7314,126.45,,,,
1989-01-10,0.8664,,1.7637,1.2009,3.7314,126.3,,,,
1989-01-11,0.8629,,1.781,1.2008,3.7314,126.13,,,,
1989-01-12,0.8673,,1.784,1.1967,3.7314,126.17,,,,
1989-01-13,0.8665,,1.7787,1.1988,3.7314,126.7,,,,
1989-01-16,,,,,,,,,,
1989-01-17,0.8579,,1.768,1.198,3.7314,127.75,,,,
1989-01-18,0.8622,,1.7545,1.194,3.7314,128.5,,,,
1989-01-19,0.8667,,1.75,1.1895,3.7314,129.7,,,,
1989-01-20,0.872,,1.7685,1.1879,3.7314,128.27,,,,
1989-01-23,0.8782,,1.774,1.1885,3.7314,127.8,,,,
1989-01-24,0.8808,,1.7677,1.187,3.7314,127.65,,,,
1989-01-25,0.876,,1.771,1.1857,3.7314,127.73,,,,
1989-01-26,0.8781,,1.7735,1.1823,3.7314,128.15,,,,
1989-01-27,0.8745,,1.758,1.1877,3.7314,129.24,,,,
1989-01-30,0.8817,,1.7618,1.181,3.7314,129.35,,,,
1989-01-31,0.8874,,1.75,1.1835,3.7314,130.5,,,,
1989-02-01,0.8885,,1.7535,1.1894,3.7314,129.6,,,,
1989-02-02,0.8905,,1.7508,1.1881,3.7314,129.15,,,,
1989-02-03,0.8767,,1.7415,1.1858,3.7314,129.65,,,,
1989-02-06,0.8815,,1.7327,1.1832,3.7314,129.65,,,,
1989-02-07,0.8874,,1.7425,1.1822,3.7314,129.29,,,,
1989-02-08,0.8915,,1.7433,1.185,3.7314,129.6,,,,
1989-02-09,0.888,,1.7548,1.184,3.7314,128.58,,,,
1989-02-10,0.8855,,1.7543,1.186,3.7314,128.49,,,,
1989-02-13,0.8874,,1.7495,1.1865,3.7314,128.4,,,,
1989-02-14,0.8838,,1.7685,1.184,3.7314,126.73,,,,
1989-02-15,0.8731,,1.7733,1.1805,3.7314,126.4,,,,
1989-02-16,0.8375,,1.7708,1.186,3.7314,126.32,,,,
1989-02-17,0.823,,1.776,1.1895,3.7314,125.9,,,,
1989-02-20,,,,,,,,,,
1989-02-21,0.8103,,1.7502,1.1899,3.7314,126.75,,,,
1989-02-22,0.8203,,1.7505,1.1958,3.7314,126.58,,,,
1989-02-23,0.8275,,1.76,1.1958,3.7314,126.2,,,,
1989-02-24,0.8237,,1.753,1.1987,3.7314,126.32,,,,
1989-02-27,0.7965,,1.7448,1.2035,3.7314,126.53,,,,
1989-02-28,0.7988,,1.744,1.199,3.7314,126.87,,,,
1989-03-01,0.8036,,1.724,1.1997,3.7314,128.1,,,,
1989-03-02,0.804,,1.7238,1.1935,3.7314,127.88,,,,
1989-03-03,0.8128,,1.723,1.196,3.7314,127.7,,,,
1989-03-06,0.8138,,1.722,1.1935,3.7314,128.85,,,,
1989-03-07,0.8087,,1.7217,1.1987,3.7314,128.74,,,,
1989-03-08,0.8133,,1.7197,1.2014,3.7314,128.7,,,,
1989-03-09,0.8181,,1.7175,1.201,3.7314,129.05,,,,
1989-03-10,0.8216,,1.7155,1.1988,3.7314,129.5,,,,
1989-03-13,0.8219,,1.7115,1.1982,3.7314,129.88,,,,
1989-03-14,0.8113,,1.7272,1.1945,3.7314,129.68,,,,
1989-03-15,0.8053,,1.719,1.1949,3.7314,130.6,,,,
1989-03-16,0.8185,,1.7179,1.1965,3.7314,131.22,,,,
1989-03-17,0.8213,,1.713,1.197,3.7314,131.6,,,,
1989-03-20,0.8239,,1.7103,1.1946,3.7314,131.7,,,,
1989-03-21,0.822,,1.72,1.1922,3.7314,131.28,,,,
1989-03-22,0.8208,,1.7228,1.1898,3.7314,131.15,,,,
1989-03-23,0.8276,,1.7218,1.1895,3.7314,131.2,,,,
1989-03-24,0.827,,1.719,1.192,3.7314,131.5,,,,
1989-03-27,0.8235,,1.71,1.1935,3.7314,132.7,,,,
1989-03-28,0.816,,1.688,1.1949,3.7314,133.08,,,,
1989-03-29,0.8173,,1.6886,1.1953,3.7314,132.83,,,,
1989-03-30,0.8173,,1.6875,1.1945,3.7314,132.95,,,,
1989-03-31,0.819,,1.6852,1.1936,3.7314,132.77,,,,
1989-04-03,0.825,,1.686,1.1899,3.7314,132.05,,,,
1989-04-04,0.8221,,1.7068,1.1875,3.7314,130.9,,,,
1989-04-05,0.7982,,1.6997,1.1899,3.7314,131.8,,,,
1989-04-06,0.8068,,1.704,1.1941,3.7314,131.93,,,,
1989-04-07,0.8057,,1.697,1.193,3.7314,132.45,,,,
1989-04-10,0.8068,,1.6975,1.1902,3.7314,132.63,,,,
1989-04-11,0.807,,1.689,1.1895,3.7314,132.75,,,,
1989-04-12,0.8071,,1.6905,1.189,3.7314,132.98,,,,
1989-04-13,0.8065,,1.6975,1.1883,3.7314,132.2,,,,
1989-04-14,0.8094,,1.6988,1.1876,3.7314,132.15,,,,
1989-04-17,0.8128,,1.716,1.1853,3.7314,131.95,,,,
1989-04-18,0.8001,,1.718,1.1847,3.7314,131.52,,,,
1989-04-19,0.8001,,1.71,1.187,3.7314,132.34,,,,
1989-04-20,0.802,,1.717,1.1845,3.7314,131.35,,,,
1989-04-21,0.795,,1.714,1.1865,3.7314,131.45,,,,
1989-04-24,0.7913,,1.7049,1.189,3.7314,131.6,,,,
1989-04-25,0.7921,,1.701,1.189,3.7314,131.39,,,,
1989-04-26,0.7936,,1.6885,1.1902,3.7314,132.25,,,,
1989-04-27,0.7945,,1.6905,1.1935,3.7314,132.19,,,,
1989-04-28,0.794,,1.689,1.1865,3.7314,132.85,,,,
1989-05-01,0.792,,1.68,1.1867,3.7314,134.07,,,,
1989-05-02,0.7935,,1.685,1.1839,3.7314,133.81,,,,
1989-05-03,0.7962,,1.683,1.1836,3.7314,134.2,,,,
1989-05-04,0.8003,,1.6833,1.1842,3.7314,133.95,,,,
1989-05-05,0.799,,1.6732,1.1838,3.7314,134.33,,,,
1989-05-08,0.7995,,1.6692,1.1858,3.7314,134.8,,,,
1989-05-09,0.7952,,1.6605,1.1877,3.7314,134.83,,,,
1989-05-10,0.7927,,1.6715,1.185,3.7314,134.43,,,,
1989-05-11,0.7921,,1.667,1.1867,3.7314,135.3,,,,
1989-05-12,0.7825,,1.6593,1.187,3.7314,135.95,,,,
1989-05-15,0.7781,,1.6394,1.191,3.7314,137.24,,,,
1989-05-16,0.7714,,1.6393,1.1893,3.7314,137.3,,,,
1989-05-17,0.7586,,1.6125,1.1925,3.7314,139.25,,,,
1989-05-18,0.7595,,1.6175,1.1928,3.7314,138.65,,,,
1989-05-19,0.7628,,1.619,1.1911,3.7314,138.8,,,,
1989-05-22,0.7435,,1.5806,1.1958,3.7314,142.05,,,,
1989-05-23,0.7475,,1.5678,1.198,3.7314,142.0,,,,
1989-05-24,0.747,,1.5695,1.2005,3.7314,142.8,,,,
1989-05-25,0.7565,,1.5803,1.208,3.7314,142.0,,,,
1989-05-26,0.752,,1.588,1.2055,3.7314,141.43,,,,
1989-05-29,,,,,,,,,,
1989-05-30,0.747,,1.558,1.2102,3.7314,143.48,,,,
1989-05-31,0.7522,,1.5715,1.2062,3.7314,142.33,,,,
1989-06-01,0.753,,1.573,1.207,3.7314,142.73,,,,
1989-06-02,0.7585,,1.592,1.2066,3.7314,141.75,,,,
1989-06-05,0.756,,1.5807,1.2005,3.7314,141.82,,,,
