date,DPCERX,A006RX,A019RX,A822RX
1989-01-01,32.5448,6.7451,-0.3257,13.3152
1989-04-01,32.6229,6.6648,-0.2486,13.4895
1989-07-01,32.8482,6.5868,-0.2235,13.5733
1989-10-01,32.9012,6.5202,-0.2331,13.6043
1990-01-01,33.1031,6.5701,-0.2151,13.7906
1990-04-01,33.1009,6.5517,-0.183,13.7696
1990-07-01,33.1148,6.402,-0.1558,13.7428
1990-10-01,32.747,6.0226,-0.0715,13.7859
1991-01-01,32.5235,5.8043,-0.0312,13.8254
1991-04-01,32.6887,5.7858,0.0105,13.8375
1991-07-01,32.735,5.8794,0.0003,13.7497
1991-10-01,32.607,6.0671,0.0014,13.6025
1992-01-01,33.12,5.9375,0.0275,13.6829
1992-04-01,33.2338,6.2524,-0.0113,13.6109
1992-07-01,33.4664,6.2789,0.0019,13.6472
1992-10-01,33.7485,6.4482,-0.0453,13.5986
1993-01-01,33.7782,6.5808,-0.0946,13.3903
1993-04-01,33.9822,6.5986,-0.118,13.351
1993-07-01,34.2434,6.5315,-0.159,13.3244
1993-10-01,34.434,6.8528,-0.1847,13.3289
1994-01-01,34.7345,7.0948,-0.2232,13.1288
1994-04-01,34.9022,7.4219,-0.2399,13.1552
1994-07-01,35.0551,7.2771,-0.221,13.3339
1994-10-01,35.3259,7.5534,-0.2405,13.1776
1995-01-01,35.3191,7.6123,-0.2526,13.1883
1995-04-01,35.5278,7.4331,-0.2414,13.1952
1995-07-01,35.7345,7.365,-0.1261,13.1183
1995-10-01,35.8736,7.5248,-0.1228,12.9413
1996-01-01,36.1145,7.6267,-0.1888,12.9944
1996-04-01,36.3995,7.9705,-0.2114,13.1189
1996-07-01,36.5009,8.3054,-0.2933,13.0763
1996-10-01,36.6745,8.268,-0.1647,13.1246
1997-01-01,36.9632,8.4126,-0.2499,13.0219
1997-04-01,37.0236,8.9034,-0.2359,13.1529
1997-07-01,37.5298,8.9973,-0.2917,13.1701
1997-10-01,37.86,9.1009,-0.3791,13.1949
1998-01-01,38.145,9.4759,-0.509,13.114
1998-04-01,38.7107,9.3915,-0.6398,13.3072
1998-07-01,39.0934,9.6055,-0.7097,13.3657
1998-10-01,39.5387,9.8675,-0.7137,13.4041
1999-01-01,39.8438,10.1138,-0.8457,13.465
1999-04-01,40.3436,10.0913,-0.9259,13.4767
1999-07-01,40.6678,10.3362,-0.978,13.5957
1999-10-01,41.139,10.5801,-1.0155,13.7659
2000-01-01,41.6553,10.4786,-1.1394,13.6336
2000-04-01,41.9402,11.0718,-1.1781,13.7339
2000-07-01,42.2272,10.9348,-1.2642,13.6389
2000-10-01,42.4836,10.9288,-1.3087,13.6862
2001-01-01,42.54,10.4071,-1.2876,13.8683
2001-04-01,42.5253,10.3989,-1.2329,14.0757
2001-07-01,42.5618,10.1468,-1.3096,14.0252
2001-10-01,43.1388,9.6181,-1.38,14.2217
2002-01-01,43.1408,9.8834,-1.4387,14.4395
2002-04-01,43.2627,10.0222,-1.4968,14.5177
2002-07-01,43.4553,9.984,-1.5464,14.5554
2002-10-01,43.5905,9.95,-1.6884,14.6267
2003-01-01,43.7142,10.0103,-1.673,14.6088
2003-04-01,44.1166,10.053,-1.7389,14.7101
2003-07-01,44.6295,10.3907,-1.7206,14.707
2003-10-01,44.8297,10.7196,-1.7233,14.7604
2004-01-01,45.1597,10.7168,-1.7884,14.7984
2004-04-01,45.3072,11.1188,-1.9258,14.8056
2004-07-01,45.7258,11.267,-1.9888,14.7964
2004-10-01,46.1281,11.4729,-2.0283,14.7507
2005-01-01,46.3232,11.7704,-2.0009,14.7923
