date,Canada,Mexico,China,Asia ex. China,European Union
1989-12-01,-0.162073,-0.0386408,-0.110499,-1.50943,
1990-01-01,-0.145567,-0.0407832,-0.118294,-1.49364,
1990-02-01,-0.135143,-0.0448646,-0.120139,-1.45358,
1990-03-01,-0.130383,-0.0486884,-0.127419,-1.43053,
1990-04-01,-0.121781,-0.0452394,-0.132665,-1.42906,
1990-05-01,-0.116775,-0.0377677,-0.137841,-1.39321,
1990-06-01,-0.117754,-0.03523,-0.139815,-1.36664,
1990-07-01,-0.116815,-0.0326372,-0.148963,-1.33795,
1990-08-01,-0.113877,-0.0300845,-0.157979,-1.31922,
1990-09-01,-0.124311,-0.0297319,-0.162773,-1.28748,
1990-10-01,-0.130078,-0.0305005,-0.168809,-1.26958,
1990-11-01,-0.129421,-0.0295152,-0.171754,-1.25576,
1990-12-01,-0.129289,-0.031504,-0.175002,-1.24892,
1991-01-01,-0.128904,-0.0286095,-0.176046,-1.23641,
1991-02-01,-0.133917,-0.0205318,-0.180521,-1.22,
1991-03-01,-0.138852,-0.0157365,-0.179229,-1.20218,
1991-04-01,-0.141219,-0.0121708,-0.179003,-1.16805,
1991-05-01,-0.142759,-0.00866441,-0.177959,-1.14035,
1991-06-01,-0.137215,-0.00460955,-0.18055,-1.12784,
1991-07-01,-0.129712,0.00231796,-0.183269,-1.12479,
1991-08-01,-0.133274,0.00688466,-0.185208,-1.10771,
1991-09-01,-0.117247,0.0115519,-0.190588,-1.11685,
1991-10-01,-0.103197,0.0154199,-0.198002,-1.11412,
1991-11-01,-0.0940637,0.0246216,-0.202556,-1.09613,
1991-12-01,-0.0960078,0.0348635,-0.206022,-1.09958,
1992-01-01,-0.0928436,0.045198,-0.213169,-1.10474,
1992-02-01,-0.0951264,0.0517385,-0.21958,-1.09785,
1992-03-01,-0.0924229,0.0617573,-0.223305,-1.11383,
1992-04-01,-0.0971913,0.0693501,-0.229208,-1.1307,
1992-05-01,-0.103206,0.0729441,-0.235734,-1.14077,
1992-06-01,-0.101586,0.0731978,-0.242469,-1.14832,
1992-07-01,-0.0991938,0.0762019,-0.253526,-1.1556,
1992-08-01,-0.102198,0.0750148,-0.261343,-1.16695,
1992-09-01,-0.107786,0.08212,-0.273095,-1.17508,
1992-10-01,-0.11786,0.0811446,-0.276621,-1.15813,
1992-11-01,-0.121251,0.0825809,-0.280279,-1.17163,
1992-12-01,-0.123264,0.0825472,-0.280859,-1.17441,
1993-01-01,-0.134621,0.0795407,-0.281884,-1.16199,
1993-02-01,-0.136438,0.0747396,-0.279908,-1.18119,
1993-03-01,-0.140407,0.0701135,-0.288724,-1.20072,
1993-04-01,-0.142761,0.0650698,-0.293503,-1.21928,
1993-05-01,-0.142523,0.0617671,-0.300629,-1.21314,
1993-06-01,-0.151872,0.0584662,-0.307,-1.23115,
1993-07-01,-0.157562,0.0498189,-0.308813,-1.23792,
1993-08-01,-0.151027,0.0487699,-0.316118,-1.24691,
1993-09-01,-0.155913,0.0396469,-0.318282,-1.25528,
1993-10-01,-0.158994,0.0330086,-0.326586,-1.26887,
1993-11-01,-0.162143,0.0298808,-0.331442,-1.27873,
1993-12-01,-0.157028,0.0242462,-0.332024,-1.26707,
1994-01-01,-0.156374,0.0227798,-0.339908,-1.27302,
1994-02-01,-0.157357,0.0193748,-0.344723,-1.28071,
1994-03-01,-0.154364,0.0174325,-0.342161,-1.27666,
1994-04-01,-0.156368,0.0135634,-0.344464,-1.27398,
1994-05-01,-0.152981,0.0150282,-0.348817,-1.29422,
1994-06-01,-0.154077,0.0163979,-0.353433,-1.30807,
1994-07-01,-0.162137,0.0233032,-0.357296,-1.32444,
1994-08-01,-0.169529,0.0232329,-0.366385,-1.33432,
1994-09-01,-0.170669,0.0243024,-0.378467,-1.33469,
1994-10-01,-0.172793,0.0286194,-0.388017,-1.35735,
1994-11-01,-0.182412,0.0208291,-0.396648,-1.36774,
1994-12-01,-0.191694,0.0185253,-0.404941,-1.38367,
1995-01-01,-0.195839,0.00445423,-0.409755,-1.39416,
1995-02-01,-0.199824,-0.0116546,-0.411874,-1.37602,
1995-03-01,-0.203993,-0.0350432,-0.416067,-1.36698,
1995-04-01,-0.209068,-0.052964,-0.42077,-1.36134,
1995-05-01,-0.214179,-0.0779118,-0.427286,-1.36386,
1995-06-01,-0.217325,-0.101465,-0.43316,-1.34398,
1995-07-01,-0.214502,-0.126404,-0.440175,-1.32663,
