date,TOT_POP
1990-07-01,217.707475
1991-07-01,220.296825
1992-07-01,223.389888
1993-07-01,226.300749
1994-07-01,229.109565
1995-07-01,231.820598
1996-07-01,234.54862
1997-07-01,237.486161
1998-07-01,240.490419
1999-07-01,243.480112
2000-07-01,247.092843
2001-07-01,249.678664
2002-07-01,252.102986
2003-07-01,254.244404
2004-07-01,256.601979
2005-07-01,258.866801
2006-07-01,261.215805
2007-07-01,263.405496
2008-07-01,265.316345
2009-07-01,267.148354
2010-07-01,268.843442
2011-07-01,270.206859
2012-07-01,270.700627
2013-07-01,271.36426
2014-07-01,272.143992
2015-07-01,272.984393
2016-07-01,273.73924
2017-07-01,274.232135
2018-07-01,274.318162
2019-07-01,274.18126
