date,uninc,inc,INC
1989-01-01,8.17976,,2.7881
1989-02-01,8.10899,,2.7854
1989-03-01,8.10212,,2.8911
1989-04-01,8.13742,,2.71516
1989-05-01,8.03489,,2.82837
1989-06-01,8.04549,,2.64991
1989-07-01,8.10135,,2.76338
1989-08-01,8.11897,,2.79504
1989-09-01,8.07139,,2.7724
1989-10-01,8.04679,,2.7445
1989-11-01,7.93825,,2.7792
1989-12-01,8.05963,,2.81107
1990-01-01,8.02969,,2.72455
1990-02-01,7.96039,,2.71557
1990-03-01,8.04922,,2.69473
1990-04-01,8.03827,,2.65634
1990-05-01,8.05684,,2.71743
1990-06-01,8.07498,,2.67067
1990-07-01,7.99081,,2.86022
1990-08-01,7.9673,,2.8557
1990-09-01,7.94967,,2.90217
1990-10-01,8.03524,,2.74726
1990-11-01,7.97255,,2.71508
1990-12-01,8.15113,,2.56491
1991-01-01,8.07511,,2.64767
1991-02-01,8.11935,,2.59724
1991-03-01,8.09978,,2.68727
1991-04-01,8.41341,,2.61995
1991-05-01,7.98092,,2.73053
1991-06-01,8.1516,,2.67065
1991-07-01,8.13926,,2.67369
1991-08-01,8.1522,,2.70618
1991-09-01,8.15397,,2.63464
1991-10-01,8.1687,,2.68616
1991-11-01,8.13727,,2.69283
1991-12-01,7.99912,,2.64587
1992-01-01,7.80758,,2.80614
1992-02-01,7.83841,,2.61698
1992-03-01,7.78894,,2.80596
1992-04-01,7.70958,,2.81616
1992-05-01,7.67958,,2.79053
1992-06-01,7.6974,,2.81241
1992-07-01,7.75884,,2.78473
1992-08-01,7.78304,,2.68297
1992-09-01,7.81862,,2.69538
1992-10-01,7.81326,,2.6291
1992-11-01,7.81137,,2.72784
1992-12-01,7.83795,,2.83962
1993-01-01,7.92757,,2.80602
1993-02-01,7.9707,,2.81525
1993-03-01,7.86793,,2.82028
1993-04-01,8.00411,,2.70674
1993-05-01,8.08268,,2.67486
1993-06-01,8.03796,,2.66685
1993-07-01,8.00869,,2.68901
1993-08-01,7.93325,,2.67617
1993-09-01,7.92772,,2.73758
1993-10-01,7.89979,,2.71904
1993-11-01,7.95461,,2.84011
1993-12-01,7.90128,,2.7901
1994-01-01,8.11204,,3.2196
1994-02-01,8.26975,,3.2478
1994-03-01,8.19709,,3.23967
1994-04-01,8.20159,,3.34998
1994-05-01,8.22762,,3.18302
1994-06-01,8.0989,,3.18458
1994-07-01,8.08484,,3.11207
1994-08-01,8.1714,,3.15887
1994-09-01,8.0634,,3.27742
1994-10-01,7.97152,,3.31632
1994-11-01,8.04983,,3.44967
1994-12-01,8.08709,,3.42318
1995-01-01,8.06056,,3.37146
1995-02-01,8.02861,,3.40368
1995-03-01,7.92533,,3.26409
1995-04-01,7.91462,,3.42125
1995-05-01,7.89907,,3.37344
1995-06-01,7.87274,,3.2848
1995-07-01,7.99287,,3.33834
1995-08-01,7.89808,,3.38214
1995-09-01,7.88924,,3.07898
1995-10-01,7.91389,,2.88933
1995-11-01,7.82044,,2.83051
1995-12-01,7.87708,,2.64654
1996-01-01,7.87311,,2.80184
1996-02-01,7.9382,,2.8875
1996-03-01,7.96291,,2.82199
1996-04-01,7.88927,,2.84614
1996-05-01,7.74387,,2.85124
1996-06-01,7.84161,,3.02481
1996-07-01,7.82074,,3.13441
1996-08-01,7.78045,,3.20687
1996-09-01,7.67349,,3.35613
1996-10-01,7.82087,,3.3476
1996-11-01,7.76997,,3.37625
1996-12-01,7.86897,,3.27665
1997-01-01,8.01293,,3.17904
1997-02-01,7.8161,,3.14885
1997-03-01,7.89015,,3.08368
1997-04-01,7.74174,,3.16095
1997-05-01,7.74322,,3.18036
1997-06-01,7.69908,,3.07779
1997-07-01,7.5815,,3.08975
1997-08-01,7.62198,,3.23234
1997-09-01,7.59539,,3.36711
1997-10-01,7.58528,,3.27036
1997-11-01,7.68029,,3.34687
1997-12-01,7.61256,,3.20172
1998-01-01,7.54003,,3.07341
1998-02-01,7.44574,,3.1391
1998-03-01,7.3727,,3.10447
1998-04-01,7.53117,,3.11905
1998-05-01,7.57651,,3.0414
1998-06-01,7.59012,,2.97204
1998-07-01,7.57915,,3.08194
1998-08-01,7.45948,,3.11706
1998-09-01,7.48738,,3.11868
1998-10-01,7.43786,,3.29375
1998-11-01,7.42515,,3.20478
1998-12-01,7.34308,,3.11997
1999-01-01,7.2797,,3.14049
1999-02-01,7.23985,,3.07322
1999-03-01,7.25077,,2.9391
1999-04-01,7.30791,,3.00635
1999-05-01,7.234,,3.11976
1999-06-01,7.35597,,3.09641
1999-07-01,7.27415,,3.11281
1999-08-01,7.38148,,3.08799
1999-09-01,7.14357,,3.14115
1999-10-01,7.23755,,3.15432
1999-11-01,7.07802,,3.11742
1999-12-01,7.04752,,3.06078
2000-01-01,7.2385,3.06809,3.05336
2000-02-01,7.28576,3.1155,3.09222
2000-03-01,7.2602,3.11772,3.08319
2000-04-01,7.2742,3.09347,3.06448
2000-05-01,7.26817,3.03214,3.03167
2000-06-01,7.20102,3.05476,3.03559
2000-07-01,7.15079,3.16001,3.16132
2000-08-01,7.17263,3.17453,3.18536
2000-09-01,7.25312,3.25081,3.2701
2000-10-01,6.97929,3.14259,3.16585
2000-11-01,6.87176,3.17164,3.14289
2000-12-01,6.99137,3.14234,3.12044
2001-01-01,7.0153,3.14714,
2001-02-01,7.10781,3.10063,
2001-03-01,7.22117,2.99727,
2001-04-01,7.09415,2.92464,
2001-05-01,7.07099,2.97784,
2001-06-01,7.1437,3.04525,
2001-07-01,7.05306,3.06967,
2001-08-01,6.97566,3.15173,
2001-09-01,7.01512,3.18382,
2001-10-01,6.96251,3.20283,
2001-11-01,6.81711,3.16695,
2001-12-01,6.89096,3.19837,
2002-01-01,6.70475,3.24657,
2002-02-01,6.73889,3.17816,
2002-03-01,6.75175,3.11569,
2002-04-01,6.78597,3.13337,
2002-05-01,6.7967,3.12952,
2002-06-01,6.73858,3.20611,
2002-07-01,6.80994,3.24648,
2002-08-01,6.81889,3.1498,
2002-09-01,6.91986,3.11779,
2002-10-01,6.96285,3.15855,
2002-11-01,7.08903,3.20253,
2002-12-01,7.11676,3.2823,
2003-01-01,7.12362,3.32964,
2003-02-01,6.97467,3.34745,
2003-03-01,6.9469,3.42865,
2003-04-01,6.93434,3.46753,
2003-05-01,6.86143,3.41966,
2003-06-01,6.96333,3.45538,
2003-07-01,6.98775,3.40342,
2003-08-01,7.11257,3.33953,
2003-09-01,7.05316,3.35714,
2003-10-01,7.08375,3.28844,
2003-11-01,7.17075,3.39459,
2003-12-01,7.1356,3.36039,
2004-01-01,7.1233,3.41759,
2004-02-01,7.05342,3.41626,
2004-03-01,6.84751,3.51544,
2004-04-01,6.92271,3.57309,
2004-05-01,7.02071,3.562,
2004-06-01,7.00868,3.57225,
2004-07-01,7.12903,3.52909,
