date,POP
2020-04-01,331699274.0
2020-05-01,331700682.0
2020-06-01,331743897.5
2020-07-01,331810647.5
2020-08-01,331885322.0
2020-09-01,331965888.0
2020-10-01,332040830.5
2020-11-01,332078523.0
2020-12-01,332062072.0
2021-01-01,332007495.0
2021-02-01,331983410.5
2021-03-01,332023303.0
2021-04-01,332089368.0
2021-05-01,332160884.0
2021-06-01,332248534.0
2021-07-01,332374837.5
2021-08-01,332505986.0
2021-09-01,332609711.5
2021-10-01,332707843.0
2021-11-01,332805626.5
2021-12-01,332891415.0
2022-01-01,332933235.0
2022-02-01,332971799.0
2022-03-01,333067262.5
2022-04-01,333191245.5
2022-05-01,333317193.0
2022-06-01,333450720.0
2022-07-01,333598634.5
2022-08-01,333761853.5
2022-09-01,333925403.5
2022-10-01,334071313.5
2022-11-01,334205949.5
2022-12-01,334326423.5
2023-01-01,334432838.0
2023-02-01,334543602.0
2023-03-01,334664146.0
2023-04-01,334792442.5
2023-05-01,334928926.0
2023-06-01,335080179.5
2023-07-01,335248300.5
2023-08-01,335430886.0
2023-09-01,335611644.5
2023-10-01,335772989.0
2023-11-01,335924780.5
2023-12-01,336069947.5
2024-01-01,336194420.5
2024-02-01,336305550.0
2024-03-01,336423002.0
2024-04-01,336550377.0
2024-05-01,336687330.5
2024-06-01,336839079.0
2024-07-01,337005403.5
2024-08-01,337184812.0
2024-09-01,337362408.0
2024-10-01,337520573.0
2024-11-01,337669197.5
