name,share,weight
"Demopolis, AL",50.48,21569.0
"Florence, AL",47.78,86962.0
"Columbus, MS",48.02,36434.0
"Birmingham, AL",44.04,64268.0
"Huntsville, AL",33.27,266364.0
"Gadsden, AL",48.19,120541.0
"Birmingham, AL",33.95,444307.0
"Talladega, AL",45.36,58331.0
"Anniston, AL",42.03,200163.0
"Rome, GA",43.99,187506.0
"Tuscaloosa, AL",42.33,106660.0
"Mobile, AL",41.08,257426.0
"Montgomery, AL",38.33,153502.0
"Atmore, AL",52.02,26274.0
"Dothan, AL",43.47,94851.0
"Auburn, AL",42.24,74141.0
"Eufaula, AL",49.31,23083.0
"Columbuser), GA",47.16,124030.0
"Troy, AL",48.05,31426.0
"Anchorage, AK",24.28,162703.0
"Barrow, AK",39.41,2269.0
"Nome, AK",39.41,2828.0
"Ketchikan, AK",25.84,7559.0
"Kotzebue, AK",39.41,2238.0
"Fairbanks, AK",22.25,38392.0
"Bethel, AK",39.41,7117.0
"Sitka, AK",27.96,5575.0
"Sand Point, AK",39.41,839.0
"Juneau, AK",22.93,14520.0
"Dillingham, AK",39.41,2082.0
"Kodiak, AK",39.41,4289.0
"Adak Station, AK",39.41,1678.0
"Anchorage, AK",21.3,4090.0
"King Salmon, AK",39.41,404.0
"Phoenix, AZ",32.13,1853791.0
"Tucson, AZ",37.26,497130.0
"Gallup, NM",58.38,85974.0
"Flagstaff, AZ",36.03,166559.0
"Las Vegas, NV",38.03,958004.0
"Los Angeles, CA",35.58,6016232.0
"Yuma, AZ",54.81,125278.0
"Safford, AZ",40.74,19210.0
"Fayetteville, AR",35.99,227593.0
"Harrison, AR",55.18,32015.0
"Mountain Home, AR",54.91,26927.0
"Batesville, AR",54.71,25776.0
"Russellville, AR",54.76,59592.0
"West Plains, MO",53.54,37732.0
"Little Rock, AR",37.3,315268.0
"Heber Springs, AR",54.71,20672.0
"Jonesboro, AR",49.51,80080.0
"West Memphis, AR",52.48,46502.0
"Blytheville, AR",47.12,37104.0
"Searcy, AR",50.87,33050.0
"Stuttgart, AR",50.8,13135.0
"Fort Smith, AR",49.2,136143.0
"Hot Springs, AR",50.96,90776.0
"Idabel, OK",56.51,37125.0
"Pine Bluff, AR",49.87,52729.0
"Crossett, AR",49.11,7980.0
"El Dorado, AR",48.83,31273.0
"Magnolia, AR",50.18,12318.0
"Texarkana, TX",48.7,89774.0
"San Francisco, CA",20.07,1896367.0
"Sacramento, CA",31.33,1178887.0
"Mammoth Lakes, CA",28.82,13504.0
"Modesto, CA",44.45,283516.0
"Chico, CA",41.32,157361.0
"Eureka, CA",40.41,50880.0
