date,ELEC.SALES.US-RES.M,ELEC.SALES.US-COM.M,ELEC.SALES.US-IND.M
2010-03-01,111789.98549,101751.35586,78319.08909
2010-04-01,88046.43494,99790.36122,78620.38762
2010-05-01,94843.00591,106172.1027,82113.9719
2010-06-01,127495.96897,119384.99993,83359.7068
2010-07-01,154688.71374,127923.96458,85743.80969
2010-08-01,154053.43099,129166.3266,87927.06843
2010-09-01,124582.73197,119136.72305,83389.71461
2010-10-01,96688.03347,108460.80315,82080.65341
2010-11-01,93166.13873,101518.93623,79613.8808
2010-12-01,130013.88415,108026.30702,80313.27654
2011-01-01,145061.68779,108250.63314,80092.87514
2011-02-01,120109.96908,99795.53835,76361.23172
2011-03-01,104922.12296,104257.05814,82209.08469
2011-04-01,93701.63929,100506.21559,80367.2619
2011-05-01,97689.09798,107624.53459,82060.54846
2011-06-01,125982.78519,118170.17391,83911.56382
2011-07-01,154728.9198,128065.43317,87247.10363
2011-08-01,153738.7326,129368.47817,88987.35194
2011-09-01,122719.49868,117951.31165,84942.79578
2011-10-01,94585.12049,108649.56376,84281.7274
2011-11-01,93220.49602,100552.41991,80872.4358
2011-12-01,116341.02312,104866.07866,79981.58371
2012-01-01,125881.48337,105239.31021,79204.65598
2012-02-01,107975.35744,100080.12366,78298.27379
2012-03-01,99361.68572,102474.42295,81298.24301
2012-04-01,88103.20953,101036.70763,81029.67494
2012-05-01,100895.11737,110800.44713,84677.64946
2012-06-01,122934.13138,118009.39147,83619.0094
2012-07-01,154579.07102,128535.30752,87219.18043
2012-08-01,147941.04266,128106.4177,88104.63253
2012-09-01,118831.34204,116584.97051,82059.90033
2012-10-01,96669.43338,110471.00997,82995.68967
2012-11-01,97155.23195,101640.73826,78847.34019
2012-12-01,114187.60211,104122.34865,78359.60426
2013-01-01,131784.83713,107728.74656,80505.47227
2013-02-01,113113.88543,101015.6343,76692.04883
2013-03-01,112096.72548,104011.35848,80474.38927
2013-04-01,95540.85075,101394.9418,80216.47132
2013-05-01,95191.59812,108682.60602,84896.9274
2013-06-01,117982.10632,117410.41288,84169.85683
2013-07-01,143854.74884,127310.57593,86886.90809
2013-08-01,138065.06955,127063.27433,87806.36831
2013-09-01,121419.21582,118407.72153,83024.99127
2013-10-01,98893.01479,111906.62154,82979.76639
2013-11-01,97904.01594,103384.47877,79631.57395
2013-12-01,128966.06076,108762.40498,78067.10006
2014-01-01,146511.44233,113865.92486,80148.84693
2014-02-01,128475.35803,104352.64247,75413.26442
2014-03-01,114232.80446,106967.88672,80539.0692
2014-04-01,92289.71503,102458.94982,80505.32655
2014-05-01,95726.76781,109665.54886,85382.98728
2014-06-01,118049.03675,118422.5304,85711.096
2014-07-01,137027.96944,125434.14702,88417.10031
2014-08-01,135829.7966,125603.00367,89808.40816
2014-09-01,120741.34746,120048.81267,85489.15774
2014-10-01,98037.68189,113023.10289,84994.16687
2014-11-01,99485.77105,104245.46931,81044.19637
2014-12-01,120800.62015,108070.2444,80122.51809
2015-01-01,137764.85879,111619.65742,79608.99964
2015-02-01,123837.72058,105482.47635,76748.76531
2015-03-01,117167.11068,107796.08358,79709.106
2015-04-01,90199.18738,104167.79782,80488.63267
2015-05-01,95160.53288,109405.65371,82915.73893
2015-06-01,120299.75351,119270.12121,86217.70376
2015-07-01,146038.29057,128504.25329,87747.34656
2015-08-01,144515.14459,128518.92244,88373.07421
2015-09-01,125416.66628,122195.40637,84730.4842
2015-10-01,99349.04737,112821.48753,83248.83116
2015-11-01,92677.74922,104140.23952,78494.66844
2015-12-01,111670.43689,106829.42741,78224.38108
2016-01-01,130971.84829,110410.4764,78847.86312
2016-02-01,115959.425,103451.68958,76748.45904
2016-03-01,100226.57541,105739.17841,79237.36127
2016-04-01,88244.34036,102045.12866,78646.72682
2016-05-01,94198.0297,108436.89218,81491.45601
2016-06-01,125211.23945,120363.27304,83672.03383
2016-07-01,154409.32698,130038.31813,87076.3985
2016-08-01,156441.5236,135018.84084,89100.53838
2016-09-01,129362.93162,123492.82377,83259.30744
2016-10-01,101507.96582,112962.81663,81597.27214
2016-11-01,93244.09126,105059.86751,78421.43195
2016-12-01,121280.85551,110172.08074,78616.33246
2017-01-01,129212.49867,109488.38655,78809.11338
2017-02-01,100968.2357,99639.93551,74533.79401
2017-03-01,103095.52026,107172.86432,80530.22476
2017-04-01,90724.50386,102589.04963,78898.55775
2017-05-01,98281.15882,109872.0998,83134.47026
2017-06-01,122543.16906,120013.1553,85398.53829
2017-07-01,149900.48178,129276.62303,87806.13189
2017-08-01,142007.16653,128481.00787,89134.44287
2017-09-01,118778.78233,118788.75907,83540.14022
2017-10-01,102811.04302,113287.1917,82815.13063
2017-11-01,98320.56549,104973.10002,79455.59181
2017-12-01,122004.61658,109305.5211,80241.80912
2018-01-01,148917.3837,114925.25918,79889.79117
2018-02-01,113751.28019,102685.44876,75661.18887
2018-03-01,107218.43099,108108.34274,81052.92676
2018-04-01,95453.61577,103331.47962,79083.41885
2018-05-01,103847.99899,113175.48258,85637.64704
2018-06-01,129912.8992,122011.1754,85536.24101
2018-07-01,153566.05021,131521.57202,89301.35668
2018-08-01,153496.49426,134848.07012,92105.75136
2018-09-01,128909.79255,122033.47842,85678.99407
2018-10-01,107048.75285,116133.34132,85300.74348
2018-11-01,103789.9565,104983.1121,81118.3574
2018-12-01,123180.40374,107998.08271,80306.13626
2019-01-01,133317.55017,112012.38825,82609.75692
2019-02-01,116608.00237,102070.87863,76447.26277
2019-03-01,112605.41506,107468.19984,81092.831
2019-04-01,90383.8218,102445.9396,80459.75842
2019-05-01,100331.07128,111200.9527,84661.29301
2019-06-01,120116.16993,115745.02702,84991.9946
2019-07-01,153748.88906,130951.45258,90752.18668
2019-08-01,150083.05574,130776.1738,91061.84215
2019-09-01,131566.72667,122059.1507,86160.37695
2019-10-01,107997.2082,115304.90269,84396.13735
2019-11-01,102452.92208,102840.01355,79624.66409
2019-12-01,121078.07664,108001.47569,80094.7451
2020-01-01,124442.2113,109812.19558,80608.51254
2020-02-01,112122.8819,103014.76876,78902.73171
2020-03-01,104254.94269,104109.84326,80930.61592
2020-04-01,97759.20304,91405.77238,72791.10205
2020-05-01,105680.94308,94299.1629,74273.01032
2020-06-01,131538.05061,109592.71987,78444.67875
2020-07-01,167108.14157,127107.48118,84758.37954
2020-08-01,158939.14743,123056.88421,86366.13013
2020-09-01,127823.89319,113219.74254,80976.88954
2020-10-01,105513.9361,108468.18854,82371.38049
2020-11-01,99660.93654,97896.62004,79166.79619
2020-12-01,129760.75834,105456.20387,79491.80083
2021-01-01,137127.39003,104135.20395,79104.37745
2021-02-01,126969.9203,98028.17673,73137.73751
2021-03-01,114426.39382,102112.20827,76293.21665
2021-04-01,94177.11665,98199.87742,78736.03754
2021-05-01,101498.3153,104403.25299,82650.54829
2021-06-01,132833.60027,118878.71695,85300.74671
