date,P_Treasury_Bonds,P_Agency_Bonds,P_Corporate_Bonds,P_Corporate_Stocks,P_Foreign_Bonds,P_Foreign_Stocks,S_Treasury_Bonds,S_Agency_Bonds,S_Corporate_Bonds,S_Corporate_Stocks,S_Foreign_Bonds,S_Foreign_Stocks
1988-01-01,107482.0,2222.0,2803.0,12929.0,12833.0,5003.0,102837.0,2610.0,2583.0,12904.0,14166.0,4519.0
1988-02-01,157300.0,2692.0,3759.0,16351.0,16005.0,5741.0,145185.0,2759.0,3281.0,16729.0,17312.0,6425.0
1988-03-01,140787.0,2904.0,4896.0,18079.0,16587.0,6727.0,130806.0,2306.0,3288.0,18506.0,17831.0,7455.0
1988-04-01,113098.0,2396.0,3222.0,15107.0,15617.0,5822.0,109663.0,2263.0,2170.0,13718.0,15741.0,5488.0
1988-05-01,123070.0,3293.0,4517.0,13668.0,15163.0,5986.0,112008.0,2015.0,1685.0,14746.0,14373.0,5133.0
1988-06-01,180215.0,2939.0,5402.0,20024.0,17137.0,6436.0,182377.0,1699.0,2891.0,19692.0,17809.0,6623.0
1988-07-01,114619.0,2368.0,5909.0,19214.0,19562.0,7148.0,113703.0,2204.0,2860.0,18389.0,20088.0,7281.0
1988-08-01,137844.0,1457.0,4509.0,17373.0,17253.0,6026.0,138222.0,1230.0,2964.0,16712.0,17705.0,6231.0
1988-09-01,124508.0,3028.0,4422.0,11979.0,25451.0,5114.0,126442.0,1957.0,3626.0,12571.0,25931.0,5189.0
1988-10-01,133482.0,2792.0,4760.0,13239.0,20619.0,6113.0,131288.0,2044.0,2724.0,14859.0,21559.0,6357.0
1988-11-01,133022.0,2485.0,5165.0,11983.0,21615.0,7755.0,124374.0,1976.0,2819.0,11875.0,20988.0,8015.0
1988-12-01,94950.0,2834.0,5606.0,11238.0,20680.0,7486.0,94638.0,1610.0,2853.0,12485.0,22452.0,8600.0
1989-01-01,140192.0,2959.0,3185.0,11963.0,14994.0,7430.0,137346.0,1756.0,3102.0,11893.0,15384.0,8163.0
1989-02-01,152710.0,3797.0,5812.0,18486.0,18739.0,8725.0,143714.0,1899.0,2915.0,18536.0,19173.0,8843.0
1989-03-01,149788.0,4450.0,6002.0,15881.0,23527.0,9538.0,141143.0,3515.0,3608.0,15488.0,24164.0,9925.0
1989-04-01,143115.0,4441.0,5308.0,14138.0,15572.0,7241.0,143128.0,2677.0,2663.0,14278.0,15770.0,8373.0
1989-05-01,189260.0,2473.0,5882.0,17928.0,17323.0,8067.0,181925.0,2982.0,5923.0,16868.0,17420.0,9270.0
1989-06-01,221419.0,3643.0,7230.0,24430.0,21089.0,9350.0,226723.0,3082.0,6242.0,20671.0,22634.0,11817.0
1989-07-01,205335.0,3479.0,6373.0,17197.0,20703.0,8128.0,206647.0,3141.0,4534.0,15415.0,21691.0,8568.0
1989-08-01,224582.0,5540.0,5405.0,22128.0,24110.0,9704.0,202554.0,4033.0,5372.0,20959.0,23132.0,11266.0
1989-09-01,151208.0,3574.0,5030.0,20119.0,18435.0,9892.0,146591.0,2431.0,4806.0,17193.0,20184.0,10315.0
1989-10-01,204753.0,6089.0,4843.0,22364.0,21268.0,11475.0,207259.0,3237.0,3934.0,20993.0,21906.0,13067.0
1989-11-01,187127.0,4998.0,6136.0,13833.0,20470.0,10385.0,178972.0,3230.0,3538.0,14951.0,19987.0,10986.0
1989-12-01,127788.0,6010.0,7693.0,15605.0,18545.0,9914.0,127070.0,4375.0,4966.0,16885.0,18819.0,12318.0
1990-01-01,171151.0,5359.0,4139.0,13695.0,18668.0,13025.0,170330.0,4819.0,3102.0,14098.0,17953.0,12298.0
1990-02-01,163833.0,5688.0,4539.0,13554.0,21010.0,10531.0,162972.0,4313.0,3901.0,13765.0,20792.0,11550.0
1990-03-01,133654.0,4473.0,4844.0,16441.0,22540.0,11822.0,142950.0,4215.0,4811.0,19031.0,31982.0,11953.0
1990-04-01,139916.0,4613.0,3751.0,11461.0,20457.0,8421.0,136664.0,4998.0,3063.0,12326.0,22012.0,9342.0
1990-05-01,148646.0,4378.0,4112.0,15242.0,25962.0,9859.0,151684.0,3363.0,3411.0,17675.0,27648.0,12428.0
1990-06-01,133310.0,4661.0,7838.0,18198.0,25780.0,11070.0,129812.0,3818.0,4789.0,18522.0,27621.0,14078.0
1990-07-01,148861.0,4008.0,6838.0,17473.0,23373.0,11439.0,143720.0,2857.0,5352.0,16070.0,23941.0,12592.0
1990-08-01,192974.0,5249.0,6603.0,20913.0,30090.0,12367.0,188578.0,5995.0,7010.0,22227.0,29675.0,12552.0
1990-09-01,121126.0,3497.0,3901.0,8809.0,25700.0,7523.0,119150.0,4431.0,4957.0,11323.0,26257.0,7072.0
1990-10-01,158915.0,4211.0,4641.0,11635.0,35240.0,9255.0,160194.0,3290.0,4384.0,15438.0,38060.0,9636.0
1990-11-01,170918.0,4648.0,6557.0,12557.0,32896.0,10061.0,164957.0,3360.0,4699.0,13373.0,32739.0,8993.0
1990-12-01,135812.0,4499.0,5717.0,13316.0,33391.0,7268.0,130188.0,3560.0,4330.0,14573.0,38376.0,9368.0
1991-01-01,164302.0,3794.0,5059.0,10263.0,27307.0,6302.0,160750.0,3107.0,5627.0,11065.0,27413.0,6706.0
1991-02-01,196727.0,3066.0,5385.0,21712.0,37193.0,10638.0,185186.0,3955.0,5402.0,20619.0,39183.0,13894.0
1991-03-01,151763.0,5008.0,9806.0,21769.0,40247.0,11166.0,167249.0,3983.0,6676.0,19439.0,41229.0,14666.0
1991-04-01,170256.0,2355.0,7998.0,20591.0,20914.0,8051.0,168575.0,2730.0,6366.0,17433.0,21224.0,10615.0
1991-05-01,190212.0,5395.0,8942.0,19222.0,22132.0,8702.0,174988.0,4837.0,7231.0,15883.0,22635.0,12070.0
1991-06-01,126864.0,5547.0,6775.0,17402.0,19917.0,10094.0,132584.0,4389.0,4490.0,16278.0,21948.0,13721.0
1991-07-01,153833.0,4613.0,5821.0,16523.0,22542.0,10276.0,152687.0,3548.0,4281.0,15431.0,23298.0,13488.0
1991-08-01,191140.0,7233.0,7761.0,18112.0,22414.0,9685.0,189909.0,5649.0,5183.0,16318.0,24877.0,13238.0
1991-09-01,162552.0,7782.0,6714.0,12918.0,24522.0,10015.0,166613.0,6128.0,6184.0,13662.0,25369.0,12213.0
1991-10-01,179125.0,5768.0,7093.0,17392.0,34890.0,11424.0,178511.0,5716.0,5032.0,16958.0,39551.0,13831.0
1991-11-01,174909.0,8181.0,7847.0,20589.0,31103.0,13217.0,169443.0,6065.0,7011.0,19590.0,30147.0,15250.0
1991-12-01,156131.0,8419.0,6735.0,14714.0,27130.0,11027.0,151456.0,6810.0,5537.0,17440.0,28266.0,12873.0
1992-01-01,213012.0,8617.0,7869.0,23351.0,38341.0,12532.0,201747.0,7817.0,6511.0,25963.0,38898.0,15114.0
1992-02-01,170115.0,8421.0,10020.0,21472.0,34780.0,10657.0,165483.0,7723.0,7438.0,21252.0,34459.0,12951.0
1992-03-01,192563.0,9361.0,8061.0,18910.0,34860.0,13049.0,202029.0,7676.0,6912.0,19468.0,35122.0,15833.0
1992-04-01,172638.0,9413.0,7325.0,17560.0,31261.0,11376.0,166079.0,6748.0,4923.0,18062.0,32503.0,13674.0
1992-05-01,159031.0,9030.0,8514.0,18694.0,34947.0,13917.0,166957.0,7098.0,6136.0,18623.0,37152.0,14837.0
1992-06-01,185252.0,7498.0,9197.0,16557.0,41611.0,14650.0,170796.0,5415.0,6982.0,17569.0,43086.0,14600.0
1992-07-01,225050.0,8807.0,9392.0,18537.0,45073.0,13502.0,226911.0,8907.0,7431.0,18754.0,49103.0,16748.0
1992-08-01,206513.0,10711.0,8923.0,13175.0,47125.0,9785.0,200060.0,9831.0,6792.0,14828.0,47598.0,12733.0
1992-09-01,187909.0,8230.0,8892.0,13869.0,51559.0,13636.0,193922.0,7564.0,6813.0,17023.0,50391.0,16535.0
1992-10-01,189828.0,10751.0,8558.0,18794.0,54421.0,12478.0,186284.0,7523.0,7716.0,18145.0,55893.0,16742.0
1992-11-01,202967.0,10388.0,7695.0,17708.0,57261.0,11687.0,185336.0,7930.0,8352.0,16426.0,59521.0,15355.0
1992-12-01,136659.0,9959.0,9290.0,22740.0,42350.0,12782.0,136645.0,8663.0,6941.0,20390.0,45468.0,17188.0
1993-01-01,173164.0,10027.0,7180.0,19517.0,38567.0,12815.0,172724.0,8819.0,6987.0,19360.0,44070.0,15075.0
