age,disposable,market
0,1.903364636896814,2.6681800341425057
3,1.998767122941089,3.0551653173511526
6,1.8580750047310564,3.0144415867500935
9,1.73420574221281,2.7831405214075104
12,1.9431704799288276,2.848045349730866
15,2.3367937272473545,2.6409830006480823
18,4.572558601471578,1.668754497926718
21,4.907786603214691,1.6149911209538932
24,3.835653399813528,1.7814721589749003
27,2.5770270638059998,1.9043208754420928
30,2.1573750109933507,1.9237696584709876
33,2.279911672945065,2.1485762627309906
36,1.8634503970995755,1.9383485225515658
39,2.053672590475682,1.8829530970311203
42,2.2131899566439164,2.303143270672622
45,2.3816647319752207,2.5396192130331587
48,2.7634035739235796,3.2242546479139955
51,2.6166185446956307,3.4337324634528468
54,2.850312089776656,3.9801862533096006
57,3.548018924517631,4.7580804647126635
60,3.4945325489464345,6.151237050505955
63,2.6236400274957283,9.29231641245887
66,1.8299156700216155,9.973485541514702
69,1.5036789927875405,10.19269609759865
72,1.4194781585387946,8.772384199212121
75,1.2119493857243724,7.955284237404162
