date,M2,Monetary Base,Currency,Reserve Balances,Demand Deposits
1991-06-01,54.6724,5.19189,4.75284,0.822607,4.56514
1991-07-01,54.5145,5.20053,4.76823,0.823959,4.56021
1991-08-01,54.2335,5.17996,4.75599,0.818826,4.50678
1991-09-01,53.9419,5.18536,4.74707,0.823405,4.47797
1991-10-01,53.8722,5.18997,4.75145,0.828853,4.55066
1991-11-01,53.9823,5.2586,4.78943,0.850279,4.65332
1991-12-01,54.0566,5.35394,4.86069,0.885939,4.82717
1992-01-01,53.7238,5.28949,4.81628,0.886081,4.75594
1992-02-01,53.554,5.23202,4.76601,0.872004,4.67438
1992-03-01,53.5085,5.27416,4.75869,0.884789,4.74768
1992-04-01,53.4288,5.20551,4.77419,0.787624,4.89452
1992-05-01,52.6506,5.19824,4.78797,0.758367,4.78175
1992-06-01,52.3694,5.20959,4.79851,0.764979,4.80314
1992-07-01,52.1812,5.23473,4.82106,0.765833,4.87642
1992-08-01,51.9765,5.24433,4.83268,0.768209,4.88318
1992-09-01,51.7951,5.28276,4.85027,0.784267,4.95383
1992-10-01,51.7617,5.29623,4.85109,0.803974,5.08275
1992-11-01,51.6864,5.35772,4.88352,0.823454,5.16804
1992-12-01,51.5103,5.41701,4.94701,0.847204,5.30475
1993-01-01,51.1212,5.38448,4.93204,0.836193,5.15304
1993-02-01,50.6566,5.35509,4.90821,0.802891,4.96928
1993-03-01,50.6802,5.38973,4.92759,0.8069,4.99
1993-04-01,50.776,5.45889,4.96451,0.8363,5.17766
1993-05-01,50.498,5.46705,4.9923,0.827135,5.18102
1993-06-01,50.5145,5.51922,5.0375,0.840072,5.27101
1993-07-01,50.3796,5.54781,5.06635,0.844391,5.34001
1993-08-01,50.1756,5.55433,5.0775,0.842847,5.35456
1993-09-01,50.0356,5.58987,5.10164,0.85875,5.41114
1993-10-01,49.8514,5.60498,5.10108,0.866304,5.49237
1993-11-01,49.8532,5.62422,5.11632,0.879501,5.59696
1993-12-01,49.8322,5.68313,5.167,0.895386,5.72876
1994-01-01,49.3792,5.64439,5.14919,0.879718,5.56067
1994-02-01,48.8542,5.61872,5.1372,0.841608,5.3589
1994-03-01,48.8669,5.63265,5.15483,0.83759,5.33472
1994-04-01,48.93,5.68343,5.18059,0.860406,5.4348
1994-05-01,48.2357,5.65168,5.19493,0.82186,5.24214
1994-06-01,47.9845,5.67965,5.23118,0.826557,5.2712
1994-07-01,47.9933,5.70448,5.26599,0.826119,5.31823
1994-08-01,47.6734,5.68668,5.2622,0.811992,5.24166
1994-09-01,47.4255,5.68675,5.27344,0.818434,5.2448
1994-10-01,47.1782,5.67923,5.27638,0.807056,5.25875
1994-11-01,47.0981,5.70686,5.30896,0.809292,5.26849
1994-12-01,47.0512,5.7476,5.35191,0.823577,5.368
1995-01-01,46.7435,5.69967,5.3386,0.809081,5.19951
1995-02-01,46.3323,5.6387,5.28936,0.769338,4.9987
1995-03-01,46.4181,5.68577,5.32551,0.765724,4.97322
1995-04-01,46.7047,5.74792,5.37136,0.780975,5.06904
1995-05-01,46.3762,5.73966,5.39845,0.749858,4.93425
1995-06-01,46.7683,5.73539,5.40035,0.75188,5.03628
1995-07-01,46.877,5.7242,5.39327,0.753772,5.09387
1995-08-01,46.871,5.69349,5.36535,0.742573,5.04636
1995-09-01,46.7857,5.67868,5.35069,0.744489,5.04612
1995-10-01,46.7046,5.66061,5.33519,0.731238,5.06681
1995-11-01,46.7908,5.6711,5.34434,0.728422,5.10929
1995-12-01,47.0024,5.73554,5.39975,0.744926,5.23893
1996-01-01,46.7843,5.65952,5.35329,0.729062,5.106
1996-02-01,46.545,5.55987,5.26893,0.68653,4.94863
1996-03-01,46.9469,5.59829,5.28692,0.697722,5.04673
1996-04-01,46.958,5.59618,5.27813,0.705518,5.11784
1996-05-01,46.2532,5.55274,5.26444,0.66683,5.00122
1996-06-01,46.3223,5.55719,5.2746,0.668506,5.10031
1996-07-01,46.2961,5.5767,5.30766,0.655864,5.09194
1996-08-01,46.2009,5.56766,5.30589,0.638386,4.99472
1996-09-01,46.0461,5.55869,5.30904,0.627198,4.97208
1996-10-01,45.9825,5.53571,5.29349,0.606788,4.88121
1996-11-01,46.2116,5.56165,5.31947,0.604845,4.97141
1996-12-01,46.488,5.6297,5.37908,0.619872,5.0861
1997-01-01,46.2921,5.57628,5.34479,0.610075,4.89989
1997-02-01,46.0487,5.5221,5.29516,0.577545,4.72602
1997-03-01,46.3154,5.52815,5.30334,0.569197,4.74012
1997-04-01,46.4151,5.53198,5.29905,0.569241,4.72625
1997-05-01,45.701,5.51568,5.29954,0.543301,4.58971
1997-06-01,45.7751,5.51485,5.30472,0.547024,4.65909
1997-07-01,45.7404,5.52247,5.32052,0.541624,4.65517
1997-08-01,45.8883,5.50563,5.30133,0.542089,4.65477
1997-09-01,45.7299,5.48782,5.29389,0.532159,4.50315
1997-10-01,45.7297,5.49258,5.29712,0.524308,4.46006
1997-11-01,45.9919,5.54999,5.34728,0.532552,4.57193
1997-12-01,46.2599,5.6252,5.42328,0.546435,4.70459
1998-01-01,46.1678,5.58218,5.38785,0.539808,4.50938
1998-02-01,46.1918,5.52929,5.34023,0.51172,4.35415
1998-03-01,46.5991,5.53771,5.34372,0.514297,4.35122
1998-04-01,46.9009,5.55113,5.35003,0.523543,4.37485
1998-05-01,46.3779,5.54207,5.35965,0.503621,4.27071
1998-06-01,46.5411,5.55314,5.36807,0.502804,4.26659
1998-07-01,46.487,5.56974,5.38682,0.494448,4.19948
1998-08-01,46.5271,5.56632,5.38331,0.492799,4.1243
1998-09-01,46.6446,5.57608,5.39957,0.484591,4.08175
1998-10-01,46.7548,5.58465,5.40816,0.480459,4.06701
1998-11-01,47.0553,5.61152,5.44262,0.477461,4.15099
1998-12-01,47.3424,5.66387,5.4928,0.486336,4.25974
1999-01-01,47.2495,5.65614,5.46971,0.501435,4.06291
1999-02-01,47.151,5.61646,5.44788,0.485465,3.88692
1999-03-01,47.3475,5.64192,5.47086,0.459004,3.90153
1999-04-01,47.642,5.66358,5.49426,0.461383,3.93763
1999-05-01,47.0572,5.6977,5.51853,0.472174,3.80901
1999-06-01,47.1919,5.71056,5.5468,0.444038,3.7696
1999-07-01,47.1884,5.72879,5.57325,0.434252,3.75587
1999-08-01,47.1331,5.72398,5.56931,0.43288,3.68623
1999-09-01,47.0153,5.74813,5.59638,0.426361,3.58329
1999-10-01,46.8948,5.78716,5.64676,0.417102,3.59917
1999-11-01,46.9163,5.9294,5.79409,0.417133,3.65857
1999-12-01,47.1285,6.18676,6.05949,0.421205,3.75448
2000-01-01,47.0497,6.05888,5.92903,0.444929,3.51715
2000-02-01,46.9083,5.79845,5.67506,0.422344,3.33562
2000-03-01,47.3657,5.76974,5.63577,0.396914,3.39226
2000-04-01,47.6764,5.73779,5.59995,0.402617,3.42621
2000-05-01,46.5686,5.71127,5.56765,0.409212,3.25796
2000-06-01,46.4445,5.67931,5.54855,0.384476,3.23096
2000-07-01,46.496,5.68775,5.55729,0.388465,3.24792
2000-08-01,46.6882,5.667,5.5349,0.383693,3.16571
2000-09-01,46.9269,5.65798,5.52618,0.379913,3.11489
2000-10-01,46.8836,5.65106,5.51782,0.374613,3.10407
2000-11-01,46.981,5.67784,5.53934,0.372239,3.06736
2000-12-01,47.4858,5.73318,5.59903,0.367966,3.13154
2001-01-01,47.6834,5.7307,5.59478,0.379047,3.03142
2001-02-01,47.9111,5.69763,5.56855,0.37385,2.93821
2001-03-01,48.721,5.72194,5.59013,0.359113,3.01904
2001-04-01,49.2469,5.72331,5.59299,0.367159,3.02478
2001-05-01,48.4593,5.73982,5.60246,0.373245,2.95564
2001-06-01,48.7508,5.74677,5.61279,0.359468,2.9682
2001-07-01,49.0222,5.81205,5.67146,0.370801,3.01925
2001-08-01,49.3624,5.87261,5.73108,0.374587,3.025
2001-09-01,50.4179,6.1068,5.78504,0.543498,3.45159
2001-10-01,50.1788,5.98182,5.79348,0.420008,3.13594
2001-11-01,50.6737,6.01054,5.84794,0.376892,3.15142
2001-12-01,51.3261,6.1048,5.93126,0.385537,3.32349
2002-01-01,51.0004,6.10944,5.93002,0.408355,3.14629
2002-02-01,50.9863,6.09356,5.92042,0.395625,3.01699
2002-03-01,51.2459,6.11119,5.93685,0.373719,3.06765
2002-04-01,51.2121,6.13229,5.95018,0.378068,2.94967
2002-05-01,50.7389,6.16062,5.98463,0.371333,2.8518
2002-06-01,50.9265,6.19061,6.02344,0.354536,2.86017
2002-07-01,51.1509,6.22089,6.05331,0.360817,2.8554
2002-08-01,51.3922,6.20717,6.03642,0.363409,2.68539
2002-09-01,51.4647,6.19444,6.02146,0.35415,2.69118
2002-10-01,51.6983,6.19355,6.01916,0.351504,2.73119
2002-11-01,52.2389,6.23888,6.05493,0.355213,2.73931
2002-12-01,52.5384,6.32106,6.13212,0.364329,2.92729
2003-01-01,52.2669,6.30057,6.11046,0.386521,2.76511
2003-02-01,52.3366,6.29458,6.10781,0.376238,2.73513
2003-03-01,52.7039,6.3119,6.12039,0.363339,2.78053
2003-04-01,52.9859,6.32423,6.12459,0.36719,2.81275
2003-05-01,52.7597,6.33468,6.13053,0.37101,2.87754
2003-06-01,53.0242,6.32029,6.1214,0.371262,2.96214
2003-07-01,53.0095,6.29617,6.09086,0.382543,2.93927
2003-08-01,53.1108,6.2785,6.05729,0.401497,2.9237
2003-09-01,52.4844,6.23429,6.02507,0.383862,2.81585
2003-10-01,52.0378,6.22938,6.03084,0.370428,2.78895
2003-11-01,51.9792,6.24246,6.04253,0.363987,2.77775
2003-12-01,51.8602,6.28088,6.08551,0.365266,2.91364
2004-01-01,51.3041,6.22873,6.03672,0.384855,2.67538
2004-02-01,51.3474,6.19302,6.00941,0.369745,2.70108
2004-03-01,51.8013,6.17942,5.9882,0.370698,2.8314
2004-04-01,52.0883,6.18359,5.98086,0.384597,2.79646
2004-05-01,51.9275,6.18273,5.9819,0.384242,2.74198
2004-06-01,51.8476,6.19757,6.00356,0.377286,2.75576
2004-07-01,51.6204,6.21911,6.02777,0.384332,2.6353
2004-08-01,51.532,6.1857,6.00189,0.374148,2.71625
2004-09-01,51.5298,6.19408,6.00473,0.377886,2.70859
2004-10-01,51.3932,6.1708,5.98743,0.369165,2.67221
2004-11-01,51.4862,6.18714,6.00727,0.36617,2.73824
2004-12-01,51.5174,6.19691,6.0149,0.373587,2.86656
2005-01-01,50.8478,6.14885,5.945,0.39977,2.62706
2005-02-01,50.5373,6.09194,5.9209,0.367298,2.61049
2005-03-01,50.6874,6.05845,5.89162,0.359513,2.70535
2005-04-01,50.8172,6.04958,5.87952,0.362741,2.54543
2005-05-01,50.2336,6.03223,5.86985,0.359727,2.5818
2005-06-01,50.4355,6.04133,5.88656,0.355964,2.68366
2005-07-01,50.2986,6.02417,5.87181,0.36242,2.54309
2005-08-01,50.2023,5.98884,5.8404,0.348144,2.58545
2005-09-01,50.168,5.99499,5.84357,0.350767,2.48732
2005-10-01,50.1418,5.96221,5.8236,0.339313,2.48653
2005-11-01,50.2221,5.9825,5.84453,0.33701,2.48347
2005-12-01,50.3963,6.02738,5.88928,0.340733,2.53899
2006-01-01,50.0378,5.9944,5.85054,0.351077,2.383
2006-02-01,49.8271,5.95891,5.82639,0.330187,2.3039
2006-03-01,50.0266,5.95699,5.80256,0.31399,2.41559
2006-04-01,50.3041,5.92795,5.79389,0.327459,2.35228
2006-05-01,49.6657,5.93052,5.79696,0.332068,2.37848
2006-06-01,49.8712,5.90689,5.78183,0.327918,2.31797
2006-07-01,49.8893,5.8837,5.76262,0.325543,2.27735
2006-08-01,49.8884,5.85413,5.73989,0.308721,2.29552
2006-09-01,49.9474,5.84275,5.72667,0.307134,2.1658
2006-10-01,50.0537,5.81475,5.70489,0.299426,2.23744
2006-11-01,50.3014,5.84134,5.7312,0.301078,2.25057
2006-12-01,50.6326,5.88836,5.77725,0.308414,2.26218
2007-01-01,50.4098,5.8376,5.72624,0.316351,2.14849
2007-02-01,50.2848,5.79221,5.68908,0.300912,2.06542
2007-03-01,50.7666,5.77462,5.67262,0.286304,2.14834
2007-04-01,51.1697,5.7642,5.65634,0.297665,2.1635
2007-05-01,50.5595,5.75804,5.64717,0.307533,2.15901
2007-06-01,50.6468,5.74361,5.63669,0.304817,2.12747
2007-07-01,50.4811,5.73391,5.63015,0.296761,2.11814
2007-08-01,50.7012,5.71739,5.59403,0.30944,2.13644
2007-09-01,50.6546,5.68109,5.57535,0.293186,2.03377
2007-10-01,50.5624,5.67248,5.56915,0.288071,2.08835
2007-11-01,50.7919,5.68915,5.5855,0.290493,2.09414
2007-12-01,51.0803,5.68941,5.58815,0.295616,2.14338
2008-01-01,51.078,5.64565,5.54097,0.305189,2.06427
2008-02-01,51.6589,5.63926,5.53796,0.297769,2.02456
2008-03-01,52.5841,5.66415,5.55127,0.297827,2.1623
2008-04-01,52.7176,5.62482,5.51438,0.304886,2.15114
2008-05-01,52.1379,5.63505,5.52231,0.316621,2.11306
2008-06-01,52.1099,5.65194,5.5396,0.308092,2.13175
2008-07-01,52.1658,5.69343,5.58185,0.309206,2.18058
2008-08-01,52.1108,5.69321,5.58171,0.307632,2.12253
2008-09-01,52.5438,6.10578,5.60507,0.69065,2.35855
2008-10-01,53.5844,7.67731,5.7546,2.12673,2.42736
2008-11-01,54.5632,9.80814,5.88502,4.14209,2.7453
2008-12-01,56.4347,11.4073,6.01237,5.61944,3.37481
2009-01-01,56.9932,11.767,6.09384,5.91239,2.99881
2009-02-01,57.4299,10.7778,6.17736,4.83782,2.71359
2009-03-01,58.6145,11.4151,6.24632,5.3919,2.86607
2009-04-01,58.6901,12.1629,6.26875,6.11682,2.96371
2009-05-01,58.668,12.329,6.29124,6.27041,2.94559
2009-06-01,58.826,11.7076,6.31031,5.63025,3.12212
2009-07-01,58.4971,11.6192,6.31778,5.5298,3.0853
2009-08-01,58.2587,11.8589,6.31553,5.74436,3.01463
2009-09-01,58.2204,12.466,6.32021,6.38527,2.92272
2009-10-01,58.1621,13.3388,6.30393,7.27938,2.98216
2009-11-01,58.4025,13.8825,6.30426,7.82787,3.04105
2009-12-01,58.4251,13.8295,6.30936,7.78364,3.20382
2010-01-01,57.7587,13.5816,6.27202,7.573,2.9682
2010-02-01,57.9127,14.3629,6.3055,8.32155,2.97688
2010-03-01,58.2203,14.085,6.31849,8.02256,3.10743
2010-04-01,58.1109,13.5774,6.30204,7.53144,3.05598
2010-05-01,57.706,13.4978,6.29514,7.45422,3.0218
2010-06-01,57.578,13.367,6.28096,7.33769,3.10477
2010-07-01,57.1864,13.2653,6.28442,7.2356,3.03712
2010-08-01,57.174,13.214,6.27659,7.1919,3.12438
2010-09-01,57.2462,12.9524,6.28797,6.92067,3.08422
2010-10-01,57.4388,12.908,6.32207,6.84123,3.15511
2010-11-01,57.6549,12.9354,6.37886,6.80892,3.38545
2010-12-01,57.9942,13.1748,6.39931,7.04139,3.5514
2011-01-01,57.9007,13.3645,6.39085,7.24575,3.4842
2011-02-01,58.0885,14.4196,6.45479,8.23931,3.45429
2011-03-01,58.784,15.6031,6.52447,9.347,3.61204
2011-04-01,58.8892,16.1905,6.54923,9.90912,3.59595
2011-05-01,58.4434,16.5745,6.57376,10.2642,3.68523
2011-06-01,58.7439,17.0239,6.57945,10.7073,3.75638
2011-07-01,59.5865,17.224,6.60718,10.8843,4.0173
2011-08-01,60.6949,17.0173,6.62072,10.6713,4.61273
2011-09-01,60.8205,16.8568,6.63421,10.5032,4.5879
2011-10-01,60.8807,16.7879,6.6361,10.4305,4.72553
2011-11-01,61.1634,16.5135,6.69819,10.0929,4.82716
2011-12-01,61.5215,16.5355,6.73515,10.0914,4.98035
2012-01-01,61.4364,16.5903,6.71953,10.1723,4.94667
2012-02-01,61.297,16.8471,6.76909,10.3787,4.74887
2012-03-01,61.7264,16.5239,6.81694,9.99639,4.87342
2012-04-01,61.8297,16.3811,6.82598,9.84616,4.9296
2012-05-01,61.2406,16.1902,6.83311,9.64358,4.83014
2012-06-01,61.5409,16.1583,6.84391,9.59702,4.94906
2012-07-01,61.6784,16.2996,6.85521,9.74971,5.17157
2012-08-01,61.9313,16.2799,6.86522,9.71744,5.24012
2012-09-01,62.3829,15.9006,6.90093,9.29867,5.33961
2012-10-01,62.7463,15.9712,6.94055,9.32908,5.58852
2012-11-01,63.2027,16.152,7.01357,9.43504,5.53617
2012-12-01,64.2249,16.2962,7.05524,9.5637,5.90606
