name,color,value
HE Revolving,gray,-0.6835907666532197
Student Loan,green!80!blue,-0.6821322261950442
Credit Card,red,-0.4049015879910902
Auto Loan,blue!60!cyan,0.16224156913296817
Total,gray,3.5160487702883216
Mortgage,gray,5.080273625959123
