date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1989-01-01,77.0325526424571,72.1535569923243,76.7408120914968,77.5063600733339,80.1252612507544,80.1307203122334,86.3394564921356,83.5758092859707,83.9618924167537,80.7728662515812,81.4697850090359,81.5812567367043,87.5370561364195,81.9245859214633,79.089697864134,81.1133777900683,84.5869505738013,75.8278745432855,69.6305751783353,83.8089107848226,86.3627574322567,80.2468354037217,78.0640479841304,85.5889116626984,81.1391344884852,74.8385213633938,79.8546953493878,83.5900433092734,82.6362953725829,83.310245683027,85.2674908905299,81.3918646528328,73.1859507501184,82.1404510273485,77.5334033788304,78.9694133853712,76.7613154570477,82.8950001666502,78.9922438433239,84.1911860904227,80.9486279620707,84.5106106116822,78.5156968694767,80.6492016363327,81.4058419375404,82.7229312309665,83.6352650684932,79.8975928449854,86.3731552826834,69.6981567607765,79.4302855765857
1989-02-01,76.7831982677126,76.8834239299807,76.7139919141882,77.7515795059357,80.3338951930756,80.1219808556995,87.8482353307819,84.2959183050691,83.2526985855414,79.8798963311405,80.8276078381133,79.5387385051661,87.7441025965681,85.9993081994258,79.7241221411863,80.6328725799065,83.1344689881126,75.9454819752612,68.8032219549062,83.7042884421203,84.3485999813908,80.0229725576026,78.8230744691194,86.0225457506382,81.0373175835519,74.4528767996748,79.0012060269141,83.2980489533633,82.3973376610828,82.5476398447853,84.8717494094665,82.6374896878376,73.9445260647837,81.1899310509236,76.7312079980342,78.7272724431113,77.4211910468962,82.5731420392119,78.7830527309975,84.0694498988218,80.8539688085424,85.4757345838898,78.1978432231227,78.9743290246947,80.4311826571273,83.1194455326779,83.5052256396256,80.4272969021006,86.2626761840715,67.4990862486941,79.2052315231388
1989-03-01,76.5425380771395,77.5420251607242,77.548926670732,77.0365031311803,80.6403532405999,81.1122639274532,86.0137995184792,83.8655979483433,84.9694269934602,80.2566962517878,80.052080281056,78.813174607643,86.7547245450755,83.0550399269921,79.9220059407007,81.3283707511389,85.2995171051812,74.5391319412689,70.413131340969,83.1967224577911,82.8887831491017,80.7125729907776,78.1503211537596,86.5080409706861,80.6336939855174,75.1859952459399,79.727847294766,83.5971391567885,83.4980007623002,83.4359918039746,84.3042547008472,82.691265993026,71.9134029536473,82.8316429558985,75.9281295923735,78.0701901093843,76.9725717416538,81.232987951697,79.0293319461612,81.301472022933,81.7707294443017,85.451921324218,78.8884178280112,78.6496281468237,80.691986278774,82.8928789346853,83.1662585546934,81.0884142781034,85.6822016431766,68.255603639925,80.7052554813757
1989-04-01,76.5882554905703,77.6302490863396,77.4264145609199,78.2025881551671,79.5021532687363,80.2957859554893,86.0548127473425,82.0762457222896,85.2754455246102,80.5139065097086,78.6276964728412,80.3155044594403,86.507562614036,82.9388661199224,79.852904572666,81.2828095679159,85.0956080605515,75.0194280750016,70.3564475335603,83.1015031767154,82.5087965619954,80.9118563360614,77.0892952339604,85.0976445040173,81.2040676778097,75.3750578169893,80.8239698690442,83.9479626549914,83.1076489741989,83.9253329264851,81.0743290118862,82.5032523976931,73.964100754871,83.7397337717513,76.1610079329064,77.9619247874704,77.6607258710867,81.3064211463624,79.001433003876,81.8993511391854,82.0374798590846,85.1812808629107,77.5335401616491,78.2856179935317,80.2467264646548,82.9960826555335,83.1752502927828,80.9640666555187,86.5022648963127,66.9852988579569,82.8470835407727
1989-05-01,76.7023712770835,78.0340005348222,78.3281334402444,78.6278668951398,79.7612668520479,81.2667573710406,85.0933395423644,83.3898020517246,83.8008839256265,79.6000958485991,79.8599640439513,81.4604671358683,84.7892081654155,81.6313439481684,79.8613541271493,82.0033448383812,84.2438664943792,72.7213956267815,69.3585069839656,82.8313895947664,81.6472849253501,80.0041817018842,76.3338652614976,85.0996550040409,81.4498873849704,75.8702466876441,80.8275683156657,84.211667456288,84.2192229930596,84.271476508605,83.04359773304,82.101291800843,75.4970311303912,82.7933226233622,76.465533747308,78.5927332101399,77.2988722262752,81.1930162712566,78.6885664243425,82.7136014756333,80.4710691751878,85.3988203609593,76.1089154486301,78.6556802716537,80.2448170585594,82.2644170165972,84.6396047337404,82.7577863130019,85.4250791499661,66.8571383701049,80.3315225031787
1989-06-01,78.8884399107954,75.9989670037732,79.3395431501799,78.3109518118849,78.9715488268446,81.148229597613,85.5600977796473,82.6055455252535,81.3152407378311,82.0436386724364,80.1561972844082,82.1695864888378,84.0339901879339,80.3747995909829,81.7002518443876,81.2782912387764,85.3914805339592,73.3434937731536,70.7688335847731,82.7127773837261,82.7270377531964,79.7662053481604,75.5945065317552,84.8030267980173,80.4057522023551,76.1942184005158,80.0485800206523,83.5621129451339,84.8849590486493,84.2146309356711,84.5176960793036,80.7720937803093,74.7260161806739,80.0205775814792,76.7753200757763,79.5119610008363,76.6348474131003,80.7827191779981,78.9148935898716,82.2868838998725,81.0060436368315,84.34102293866,77.1930659567349,78.3805371663361,80.6144705626341,82.4083184060618,83.671886548854,80.0943608738554,85.3101144595603,67.2900014646141,80.0440476537058
1989-07-01,76.602066067413,74.1140179736219,79.9277662658607,78.988578144625,79.0426660440006,84.0538859534981,85.6613233604872,83.1246197181217,84.6116812108547,80.6792940034844,79.9821810870438,81.2536388838466,83.5148690807844,79.5598372260241,79.6398016690592,79.1279665457023,84.7334531426749,74.734673781474,72.7167650316021,82.8226221484541,84.2487209586656,80.7824100747497,75.5177140486897,85.0466605791033,80.2266560579817,75.6567076103583,81.3116950006534,84.2317564749606,85.3244804448551,85.6025128938242,84.9715930886169,80.0071316442743,75.3321832800853,80.2105045737723,76.0799102826058,79.9525758178633,77.7177362581398,81.2111221606898,78.9163349314739,82.5317286992431,80.0827494311282,85.1986409030571,76.6362552101888,79.2215694983375,81.5328356128049,83.4939859337468,83.7150251270091,80.7436233873017,85.2290971265634,66.5040461396905,79.556554297489
1989-08-01,76.5165479800206,76.0813997206548,79.3106234681911,78.7959034267695,78.7409015408895,82.2771625767771,82.5868208818361,82.3090950306286,85.5733310269831,80.8225249160876,80.122484132213,82.7803527738923,80.7474557541354,79.2848944420712,79.9522536612693,79.7965220419719,84.4630149619617,76.1363138585136,72.0934513040061,83.3424800797426,84.3391779198632,82.1981484190239,76.1125986227063,86.3189036083055,80.9179244403444,74.9924439070119,80.9450198511963,83.5657487213263,84.6827954502943,86.0891454846811,84.7576368388993,80.0797802683926,75.5422943998075,80.9422840290202,76.502514699126,78.9162413690615,79.0078882000876,80.2676879396678,80.4161249379454,83.77933212222,79.9976199649462,84.4613534866601,77.0978002032025,80.0558388020054,80.642693888229,82.9306097157342,83.6045614224146,82.3365088023597,85.4339455701239,67.1608231721745,79.7838856942434
1989-09-01,76.0874433803392,77.6260181512784,78.1718659527461,79.480356367772,79.1057332377662,81.4374174262105,82.388198639361,83.7071616318868,85.0731932615223,80.6588808790037,80.4219671251032,82.3586431258539,85.3710866952939,81.1136202339169,80.0177285753356,80.8051081088166,83.96902809924,78.1410487808076,72.368382464172,82.5499281711691,85.3434976631649,82.8617476741315,76.1176014131277,86.1853589217399,80.2226374672202,74.9769537690821,81.1131128141709,83.564129184525,83.4910044782729,86.3879218612798,86.1410035453765,80.8207104796266,74.6346172104825,80.398714583806,76.3191601348121,78.8627821858748,78.6257311314238,79.5853316497416,79.6580700519838,82.4701829166429,81.1336126556778,86.6255225424467,78.9442095559773,79.5404911507142,80.6652181499876,82.1704335731692,84.0381951970082,81.3609487509333,86.1803472248418,67.1614874849868,81.1532555839166
1989-10-01,77.4720657242361,76.8659791431948,78.908976369489,80.3082977352233,78.9373287222558,81.438478437455,79.9988460600382,84.9805702788427,85.3944172118724,79.3816065736165,80.8926374687597,80.6730556420796,86.2232603556987,80.4210003323447,79.5172568146062,80.733709270102,82.6149717253312,79.6401863836831,74.0990098692085,82.6546725544827,84.814093517588,81.6828897075019,77.4936869021264,85.1241698881773,80.8619679317565,75.9696755389576,81.3083227636645,83.7243792862902,84.1912502892875,85.8951348566748,86.6135412873586,79.9755369336907,75.1979871867715,81.7254176872414,76.7735689513131,78.8962336906393,78.5376022657416,81.6076981236357,79.6645477511952,82.5840155445092,81.2977496015791,84.1579735865387,78.9516403375987,80.1565396321129,80.3487763412109,81.9934061692656,82.7934984012907,82.3405714955946,85.2703944604179,65.6030299209984,81.4102788429353
