date,PET.MCRFPCO2.M,PET.MCRFPTX2.M,PET.MCRFPND2.M,PET.MCRFPNM2.M,PET.MCRFPUS2.M,PET.MCRFP3FM2.M
2022-02-01,430.0,4821.0,1074.0,1401.0,11316.0,1615.0
2022-03-01,439.0,4976.0,1110.0,1468.0,11701.0,1691.0
2022-04-01,440.0,5016.0,899.0,1514.0,11668.0,1765.0
2022-05-01,438.0,4966.0,1053.0,1519.0,11629.0,1589.0
2022-06-01,435.0,4975.0,1093.0,1529.0,11797.0,1751.0
2022-07-01,431.0,4979.0,1070.0,1573.0,11844.0,1764.0
2022-08-01,433.0,5092.0,1049.0,1609.0,12002.0,1783.0
2022-09-01,434.0,5211.0,1110.0,1686.0,12337.0,1844.0
2022-10-01,436.0,5231.0,1105.0,1724.0,12410.0,1824.0
2022-11-01,444.0,5210.0,1082.0,1723.0,12375.0,1801.0
