date,Consumer debt service ratio,Debt service ratio,Mortgage debt service ratio,Financial obligations ratio
2018-01-01,5.664492,9.846996,4.182504,14.813973
2018-04-01,5.644093,9.813704,4.169611,14.760925
2018-07-01,5.661709,9.809588,4.147879,14.745586
2018-10-01,5.670208,9.812197,4.141989,14.736312
2019-01-01,5.693404,9.844806,4.151402,14.760627
2019-04-01,5.77328,9.93176,4.15848,14.877631
2019-07-01,5.799812,9.953552,4.15374,14.899115
2019-10-01,5.805405,9.936137,4.130732,14.869055
2020-01-01,5.763838,9.854065,4.090228,14.770041
2020-04-01,5.144795,8.881912,3.737117,13.369676
2020-07-01,5.339876,9.215543,3.875667,13.897576
2020-10-01,5.446874,9.407864,3.96099,14.197408
2021-01-01,4.872347,8.380865,3.508518,12.651796
2021-04-01,5.376347,9.183054,3.806707,13.807499
