date,Goods,Services,Housing,ResInv,OTHSERV,SHELTER
1989-01-01,7.843829271266068,22.07204128685821,7.135532446640254,3.5365213642325943,14.936508840217954,10.67205381087285
1989-04-01,7.870356771209585,22.110623861983463,7.1272137991713285,3.4179324965153555,14.983410062812137,10.545146295686683
1989-07-01,7.9616475976201855,22.194558496064314,7.151573712642334,3.3927678701494366,15.042984783421977,10.544341582791771
1989-10-01,7.91372109131969,22.343290607546145,7.247811228733374,3.311635727095016,15.095479378812772,10.55944695582839
1990-01-01,8.001751726502382,22.407892712791053,7.152147729110067,3.333395516744641,15.255744983680986,10.485543245854709
1990-04-01,7.891330369081797,22.609643002909642,7.229428485210211,3.192052633354081,15.380214517699434,10.421481118564293
1990-07-01,7.845307041890452,22.710373267891736,7.254690001501049,3.0097601206811673,15.455683266390688,10.264450122182216
1990-10-01,7.69422094781341,22.57608063000512,7.24106472272974,2.826095868583891,15.33501590727538,10.06716059131363
1991-01-01,7.604829196277949,22.48979805694074,7.222878518156308,2.668949324241171,15.26691953878443,9.891827842397479
1991-04-01,7.623020059374393,22.641081977224335,7.303384037618947,2.7423367779299697,15.337697939605386,10.045720815548918
1991-07-01,7.641580370643369,22.658269578333666,7.302264422763033,2.824991774411437,15.356005155570633,10.12725619717447
1991-10-01,7.531163412229529,22.71538502187419,7.285092436952636,2.8710196882822134,15.430292584921556,10.156112125234849
1992-01-01,7.679224598936639,23.019657559463365,7.277951600397889,3.026329496424929,15.741705959065476,10.304281096822818
1992-04-01,7.692564274684884,23.121682457519103,7.32198015558349,3.119467806018453,15.799702301935612,10.441447961601943
1992-07-01,7.7480593136285325,23.28063220649455,7.331774973154133,3.109300570255977,15.948857233340414,10.44107554341011
1992-10-01,7.823549084293712,23.45841049884957,7.380585080114976,3.2168765022348773,16.077825418734594,10.597461582349853
1993-01-01,7.830716141682595,23.478612764920975,7.392609034541631,3.2096237334290767,16.086003730379343,10.602232767970708
1993-04-01,7.932194723922974,23.525701543636643,7.384773030211217,3.242582193202252,16.14092851342543,10.627355223413469
1993-07-01,7.98685119535613,23.717160156843388,7.458087013013388,3.3524644603659604,16.25907314383,10.810551473379348
1993-10-01,8.06280544442387,23.794919841256174,7.48428672033625,3.513153992982345,16.31063312091992,10.997440713318596
1994-01-01,8.177366488650602,23.92619476489675,7.537422997724522,3.5560404102276233,16.388771767172226,11.093463407952147
1994-04-01,8.226020043448447,24.026234625674157,7.586925538662875,3.660337943487691,16.43930908701128,11.247263482150567
1994-07-01,8.275603116463865,24.10827120136066,7.591260006380422,3.5948105590735,16.51701119498024,11.186070565453921
1994-10-01,8.408123689904809,24.177575702604937,7.607380433653097,3.5286936604670016,16.57019526895184,11.136074094120097
1995-01-01,8.34403117307061,24.279227059038746,7.631507897374551,3.439287009075425,16.647719161664195,11.070794906449976
1995-04-01,8.376486103059772,24.451259060072214,7.7126973984228,3.3238424933448383,16.738561661649413,11.036539891767637
1995-07-01,8.450654907069886,24.550590863716216,7.772364673681874,3.435823195133301,16.778226190034342,11.208187868815175
1995-10-01,8.504287791784506,24.611485556251722,7.7619400854195595,3.491864037461772,16.84954547083216,11.25380412288133
1996-01-01,8.551056382322848,24.793838600533363,7.823226471051711,3.573828972145876,16.97061212948165,11.397055443197587
1996-04-01,8.693132182854386,24.86542750469311,7.816351315536339,3.7190541766668237,17.04907618915677,11.535405492203164
1996-07-01,8.726574720709445,24.919233725958836,7.773049518644713,3.699228075199101,17.146184207314125,11.472277593843815
1996-10-01,8.804180757434155,24.978719291157248,7.814058382651791,3.6455417131790853,17.164660908505454,11.459600095830876
1997-01-01,8.89890232796874,25.134420219860427,7.814710146783746,3.654496648324517,17.31971007307668,11.469206795108263
1997-04-01,8.866285393290017,25.25183908848823,7.858115096472467,3.6950345419569044,17.39372399201576,11.553149638429371
1997-07-01,9.067322618659883,25.468875621190442,7.879500949189176,3.7185310277692296,17.589374672001263,11.598031976958406
1997-10-01,9.162395853474765,25.66818523662085,7.962647564709119,3.746058630525093,17.70553767191173,11.708706195234212
1998-01-01,9.207664698833844,25.897701704368338,7.95851559714354,3.8138803997100386,17.939186107224796,11.772395996853579
1998-04-01,9.421199462261328,26.161161668207406,8.03623195754157,3.9353103675569776,18.124929710665835,11.971542325098548
1998-07-01,9.53292851008462,26.39072933061161,8.073993765233016,4.037764125826846,18.316735565378593,12.111757891059863
1998-10-01,9.793256632433177,26.457867333819635,8.041708195359178,4.120108200461859,18.416159138460458,12.161816395821036
1999-01-01,9.889143219517047,26.631033249966933,8.106478229668523,4.125513620132479,18.524555020298408,12.231991849801002
1999-04-01,10.095034251544185,26.84024680790747,8.162749362460398,4.178320474209899,18.677497445447074,12.341069836670297
1999-07-01,10.181693922175963,27.047788284860538,8.220133374473761,4.19638659627772,18.827654910386777,12.416519970751482
1999-10-01,10.325494806237547,27.322188679418186,8.192840833221105,4.214330656721419,19.129347846197085,12.407171489942524
2000-01-01,10.453684468933144,27.667634588125082,8.210298724821522,4.224545602697234,19.457335863303562,12.434844327518757
2000-04-01,10.48228179643244,27.92167751126082,8.299196936197765,4.192452649926906,19.622480575063054,12.491649586124671
2000-07-01,10.562914048057612,28.09879069066576,8.350753839718879,4.116042180924497,19.74803685094688,12.466796020643375
2000-10-01,10.626326036399416,28.26977442003223,8.464614077958256,4.109400635941979,19.805160342073975,12.574014713900235
2001-01-01,10.626867624529757,28.32594817453671,8.490795582424028,4.117677006006013,19.835152592112685,12.60847258843004
