date,Open,High,Low,Close,Volume,CH,Height
2025-02-28,5856.74,5959.4,5837.66,5954.5,4324759998.0,Inc,121.73999999999978
2025-03-05,5781.36,5860.59,5742.35,5842.63,3358765660.0,Inc,118.23999999999978
2025-03-07,5726.01,5783.01,5666.29,5770.2,3989438816.0,Inc,116.72000000000025
2025-03-14,5563.85,5645.27,5563.85,5638.94,3014214616.0,Inc,81.42000000000007
2025-03-17,5635.6,5703.52,5631.12,5675.12,2990890037.0,Inc,72.40000000000055
2025-03-19,5632.37,5715.33,5622.2,5675.29,3036779615.0,Inc,93.13000000000011
2025-03-20,5646.92,5711.15,5632.33,5662.89,2850149846.0,Inc,78.81999999999971
2025-03-21,5630.73,5670.84,5603.1,5667.56,6488692228.0,Inc,67.73999999999978
2025-03-24,5718.08,5775.14,5718.08,5767.57,3047868018.0,Inc,57.0600000000004
2025-03-25,5775.96,5786.95,5760.42,5776.65,2701963544.0,Inc,26.529999999999745
2025-03-31,5527.91,5627.56,5488.73,5611.85,3678236098.0,Inc,138.83000000000084
2025-04-01,5597.53,5650.57,5558.52,5633.07,2806321225.0,Inc,92.04999999999927
2025-04-02,5580.76,5695.31,5571.48,5670.97,2785811866.0,Inc,123.83000000000084
2025-04-07,4953.79,5246.57,4835.04,5062.25,6290342696.0,Inc,411.52999999999975
2025-04-09,4965.28,5481.34,4948.43,5456.9,6714323344.0,Inc,532.9099999999999
2025-04-11,5255.56,5381.46,5220.77,5363.36,3769018345.0,Inc,160.6899999999996
2025-04-22,5207.67,5309.61,5207.67,5287.76,3110055926.0,Inc,101.9399999999996
2025-04-24,5381.38,5489.4,5371.96,5484.77,3167406758.0,Inc,117.4399999999996
2025-04-25,5489.73,5528.11,5455.86,5525.21,2948448664.0,Inc,72.25
2025-04-29,5508.87,5571.95,5505.7,5560.83,2873460382.0,Inc,66.25
2025-04-30,5499.44,5581.84,5433.24,5569.06,3778234782.0,Inc,148.60000000000036
2025-05-02,5645.88,5700.7,5642.28,5686.67,3023303433.0,Inc,58.42000000000007
2025-05-06,5605.87,5649.58,5586.04,5606.91,2819089147.0,Inc,63.539999999999964
2025-05-07,5614.18,5654.73,5578.64,5631.28,3217062436.0,Inc,76.08999999999924
2025-05-08,5663.6,5720.1,5635.38,5663.94,3223260422.0,Inc,84.72000000000025
2025-05-12,5807.2,5845.37,5786.08,5844.19,3760355072.0,Inc,59.289999999999964
2025-05-13,5854.15,5906.64,5845.02,5886.55,3560150856.0,Inc,61.61999999999989
2025-05-15,5869.82,5924.21,5865.16,5916.93,3162012704.0,Inc,59.05000000000018
2025-05-16,5929.09,5958.62,5907.36,5958.38,2964380123.0,Inc,51.26000000000022
2025-05-19,5902.88,5968.61,5895.69,5963.6,2570089512.0,Inc,72.92000000000007
2025-05-22,5841.26,5878.08,5825.82,5842.01,2780476653.0,Inc,52.26000000000022
2025-05-23,5781.89,5829.51,5767.41,5802.82,2552789941.0,Inc,62.100000000000364
2025-05-27,5854.07,5924.33,5854.07,5921.54,2908886707.0,Inc,70.26000000000022
