date,Consumer,Capital,B648RC
1989-01-01,10.410262859066279,10.089264862585438,2.2864134170544013
1989-04-01,10.181985331747775,10.195012198730439,2.4531916754598018
1989-07-01,9.752791750328678,10.025716682108998,2.285018473034453
1989-10-01,9.866465518874003,10.26883808973033,2.4531747061885745
1990-01-01,9.855925297266634,10.001575817061145,3.121333411373797
1990-04-01,10.012452953263688,10.037790130899767,2.223247489418134
1990-07-01,9.795781699893086,10.179794497644561,2.5971802501589467
1990-10-01,9.791601919643824,10.4322812393845,3.257603408524202
1991-01-01,9.753609050555264,10.335946120684733,2.6175697193861818
1991-04-01,9.560394597199055,10.453292692286208,2.2848327666625945
1991-07-01,9.888533550828845,10.248939351663056,2.2397029469210796
1991-10-01,10.30370106960632,10.348140364242395,2.1873367100094074
1992-01-01,10.384561736007635,10.726812603369371,2.0686051583391825
1992-04-01,10.326036337795932,10.69621857870717,2.1710315256423964
1992-07-01,10.328672413316875,10.890829935557345,2.316408549009776
1992-10-01,10.395055025372232,10.894773111700463,2.2862989955520288
1993-01-01,10.590825457752642,10.872471748659693,2.3147765823558366
1993-04-01,10.630638046099444,11.18420462852565,2.2326030954090443
1993-07-01,10.798882681564246,11.39933939566937,1.9468254291889249
1993-10-01,10.803201871633881,11.639421606086302,1.87830014947517
1994-01-01,10.639401744023418,11.855165351046711,1.7720729535542243
1994-04-01,10.927850835512999,12.183118987066818,1.8541857104500217
1994-07-01,11.259290921434477,12.546204738225148,2.186853026244553
1994-10-01,11.371936979033231,12.933401409525036,1.8698365337960967
1995-01-01,11.592806899548673,13.233162695843934,2.0576032254632723
1995-04-01,11.582306995571656,13.975535532801441,2.0540123005176216
1995-07-01,11.373970826276125,14.046124013945308,1.992748785991763
1995-10-01,11.000036278043462,14.087866843931145,1.9554576759716291
1996-01-01,11.32324123305129,13.928121284560376,2.2311028843546756
1996-04-01,11.369317614776833,13.40631283224559,2.418718938326431
1996-07-01,11.55106895348324,13.225767200931699,2.4470470569515737
1996-10-01,11.461686544552546,13.40239330940422,2.7565594369027258
1997-01-01,11.723080923822062,13.566726802867034,2.712825263705365
1997-04-01,11.851159472085527,13.850850032318554,2.171832414071326
1997-07-01,11.920032763910102,14.110085986477372,2.098781435537696
1997-10-01,11.93732427638662,14.154520598873818,2.1271019061413226
1998-01-01,12.112553709082945,14.154465906249305,1.778814978205694
1998-04-01,12.353549806703878,14.327501687626762,1.5667271621813126
1998-07-01,12.092122371508422,14.068479024375666,1.4132803275993484
1998-10-01,12.370745954970317,13.952974342485716,1.3512332087010799
1999-01-01,12.609281653182961,13.79778533122867,1.4052487013481434
1999-04-01,12.71361055615547,14.080567166373669,1.8307060256395564
1999-07-01,13.00001313232127,14.260688615152947,2.212413107807603
1999-10-01,13.055201486424389,14.434592665108317,2.4680771715315095
2000-01-01,13.510036917549751,14.79193812247663,3.239368995547222
2000-04-01,13.375543204283098,15.05787159639842,3.0208858457395555
2000-07-01,13.585841487639039,15.94568702149963,3.2283351756149896
2000-10-01,13.576318771123969,15.71688909351247,3.4691294431554174
2001-01-01,13.717671608709727,15.712033985539128,3.4078409968206005
2001-04-01,13.634289776432704,14.281482882601058,2.9678541790190853
2001-07-01,13.76858900985503,13.586321021268189,2.7095878268732583
2001-10-01,13.508507217887397,13.19520778703096,2.3360515186002333
2002-01-01,13.75388866997117,13.082444988282141,2.2392776406661548
2002-04-01,14.381072497698247,13.458221830318784,2.8182226905946246
2002-07-01,14.697524311699112,13.48979368124934,2.8598856774833146
2002-10-01,14.802185054454279,13.60010648926554,3.2325616235766423
2003-01-01,14.826493025933148,13.604141293253466,3.7659533304468127
2003-04-01,14.990912981751586,13.755844829740807,3.3566997131772904
2003-07-01,14.563812750111268,13.495586185986577,3.354017620272059
2003-10-01,14.989759634440519,13.649586202474898,3.3331418652314024
2004-01-01,15.082019279971298,14.222149028649403,3.9744031619623454
2004-04-01,15.499151211034832,14.895642116045277,4.040051330153012
2004-07-01,15.164571787143476,15.297819490364914,4.267030028305509
2004-10-01,15.224166004139114,15.315540744947963,5.006170718731513
2005-01-01,15.365084591089317,15.42144173073536,4.881766195836608
2005-04-01,15.521068764878049,15.793965535527446,5.209691991146438
2005-07-01,15.24831304549174,15.601469282616806,5.89839829704691
2005-10-01,15.390446676475486,16.27159383732658,6.441659929095532
2006-01-01,15.56988720711345,16.130209210143708,6.207210378373965
2006-04-01,15.547905654241395,16.229868395601855,6.6230889086110105
2006-07-01,15.496682070840084,16.272146236528318,6.931360452482166
2006-10-01,16.139886499913313,16.10437278139129,5.724699571518397
2007-01-01,16.257927093014853,16.23409261200375,5.875932024218525
2007-04-01,15.863739529383853,16.297442320446073,6.3498950750422525
2007-07-01,15.91183543965114,16.351754140078906,6.664038075801941
2007-10-01,15.779244558133643,15.97888127252948,8.010660053074385
2008-01-01,16.17720358037065,16.647891520806162,9.074761327972324
2008-04-01,16.19442518566573,17.213338416626055,9.9960876068606
2008-07-01,15.838998088694698,17.414331909985233,10.711427301882063
2008-10-01,15.436214412987939,16.62204081291608,7.543370773373217
2009-01-01,14.065967725171186,14.629443239673053,4.913098676183416
2009-04-01,14.064355637390848,13.45362407759663,5.347246522650527
2009-07-01,14.889194199105876,13.84309235634064,6.303434739941119
2009-10-01,15.38537349477589,14.471282168746294,6.669120780617037
2010-01-01,15.258224927381612,15.053037003876451,7.226282843189413
2010-04-01,15.920545573629994,15.472223349251427,7.0970661286773336
2010-07-01,16.143743874804496,15.616782919188577,6.724513362439175
2010-10-01,16.043498392785402,16.18081920645383,6.880307034862368
