date,Imports Canada,Imports China,Imports EU,Imports Japan,Imports Mexico,Imports SA,Exports Canada,Exports China,Exports EU,Exports Japan,Exports Mexico,Exports SA,Balance Canada,Balance China,Balance EU,Balance Japan,Balance Mexico,Balance SA
1989-02-01,1.5821,0.166786,,1.71744,0.448849,0.519874,1.38849,0.100049,,0.728912,0.415141,0.415388,-0.19361,-0.0667371,,-0.98853,-0.033708,-0.104487
1989-03-01,1.57877,0.168604,,1.72506,0.45082,0.519492,1.38964,0.102329,,0.74106,0.421954,0.413689,-0.18913,-0.0662747,,-0.984002,-0.0288657,-0.105803
1989-04-01,1.58193,0.17077,,1.7189,0.458356,0.520023,1.39971,0.101055,,0.747858,0.428536,0.413115,-0.182216,-0.069715,,-0.971041,-0.0298196,-0.106907
1989-05-01,1.58537,0.175638,,1.73059,0.466036,0.520486,1.40626,0.10352,,0.754967,0.430235,0.40644,-0.179108,-0.0721189,,-0.975626,-0.0358012,-0.114045
1989-06-01,1.57786,0.180052,,1.72515,0.465346,0.524853,1.40838,0.100253,,0.763313,0.437728,0.407046,-0.169482,-0.0797997,,-0.961841,-0.0276184,-0.117807
1989-07-01,1.57469,0.186257,,1.72375,0.471254,0.526409,1.40728,0.102437,,0.769161,0.442996,0.404258,-0.167411,-0.0838195,,-0.95459,-0.0282578,-0.12215
1989-08-01,1.57417,0.193752,,1.71627,0.474599,0.523093,1.40619,0.106604,,0.775595,0.446024,0.4019,-0.167976,-0.0871472,,-0.940676,-0.0285751,-0.121193
1989-09-01,1.56721,0.199537,,1.718,0.47648,0.521924,1.40253,0.106511,,0.777873,0.443616,0.39739,-0.164686,-0.0930262,,-0.940122,-0.0328643,-0.124534
1989-10-01,1.56718,0.207486,,1.71082,0.482064,0.527735,1.40542,0.108218,,0.781217,0.446493,0.399233,-0.161762,-0.099268,,-0.929606,-0.0355709,-0.128502
1989-11-01,1.5692,0.212342,,1.69391,0.484828,0.529557,1.40341,0.105038,,0.786321,0.444921,0.397006,-0.165799,-0.107305,,-0.907588,-0.0399078,-0.132552
1989-12-01,1.56706,0.213621,,1.66683,0.483948,0.528404,1.40414,0.102544,,0.792746,0.445105,0.392262,-0.162921,-0.111077,,-0.874083,-0.0388429,-0.136142
1990-01-01,1.54806,0.21955,,1.66074,0.487868,0.534336,1.40172,0.100632,,0.804635,0.446869,0.388516,-0.146334,-0.118918,,-0.856103,-0.0409982,-0.14582
1990-02-01,1.53443,0.221849,,1.63701,0.490227,0.536911,1.39856,0.101072,,0.80969,0.445124,0.388871,-0.13586,-0.120777,,-0.82732,-0.0451029,-0.14804
1990-03-01,1.53646,0.225302,,1.61728,0.493719,0.537046,1.4054,0.0972181,,0.80773,0.444777,0.387987,-0.131063,-0.128084,,-0.809547,-0.0489423,-0.149059
1990-04-01,1.52644,0.228807,,1.61069,0.488,0.531718,1.40403,0.0954627,,0.802154,0.442529,0.385131,-0.122405,-0.133344,,-0.808533,-0.0454711,-0.146587
1990-05-01,1.52266,0.231731,,1.58207,0.48495,0.532654,1.4053,0.0931972,,0.799199,0.446992,0.386384,-0.117362,-0.138534,,-0.782872,-0.0379576,-0.14627
1990-06-01,1.52644,0.235675,,1.56292,0.486745,0.52942,1.40811,0.09518,,0.797013,0.451344,0.386425,-0.118327,-0.140495,,-0.765907,-0.0354015,-0.142995
1990-07-01,1.53506,0.240202,,1.54497,0.486738,0.529869,1.41769,0.090537,,0.799034,0.453947,0.386112,-0.117366,-0.149665,,-0.745932,-0.032791,-0.143758
1990-08-01,1.53362,0.244019,,1.53378,0.488049,0.532861,1.41922,0.0853206,,0.794795,0.457827,0.390078,-0.114396,-0.158699,,-0.738988,-0.0302216,-0.142784
1990-09-01,1.53668,0.247217,,1.51456,0.492893,0.537759,1.41185,0.0837533,,0.799656,0.463035,0.392129,-0.124839,-0.163464,,-0.714906,-0.029858,-0.14563
1990-10-01,1.54468,0.251458,,1.51017,0.501055,0.545911,1.41409,0.0819852,,0.806125,0.470434,0.392175,-0.130589,-0.169473,,-0.70405,-0.0306204,-0.153736
1990-11-01,1.54332,0.254428,,1.50987,0.506349,0.553207,1.41343,0.0820509,,0.813705,0.476727,0.394255,-0.12989,-0.172377,,-0.696162,-0.0296222,-0.158952
1990-12-01,1.53795,0.256449,,1.5094,0.507546,0.558538,1.40825,0.0808929,,0.817605,0.475942,0.395721,-0.129699,-0.175556,,-0.691799,-0.0316038,-0.162817
1991-01-01,1.54016,0.257913,,1.51245,0.507553,0.558186,1.41091,0.0813891,,0.811292,0.478865,0.397216,-0.129254,-0.176524,,-0.701162,-0.0286872,-0.16097
1991-02-01,1.53583,0.261563,,1.51688,0.503184,0.554629,1.40161,0.0806333,,0.817177,0.482605,0.396407,-0.13422,-0.18093,,-0.699699,-0.0205783,-0.158222
1991-03-01,1.5198,0.261695,,1.51541,0.498253,0.547706,1.38063,0.082057,,0.815719,0.482481,0.398204,-0.139168,-0.179638,,-0.69969,-0.0157724,-0.149502
1991-04-01,1.52269,0.262895,,1.50427,0.505424,0.55153,1.38115,0.0834809,,0.81932,0.493226,0.406042,-0.141543,-0.179414,,-0.684953,-0.0121988,-0.145487
1991-05-01,1.51657,0.265738,,1.50016,0.50667,0.549474,1.37348,0.0873678,,0.826619,0.497985,0.413396,-0.143089,-0.17837,,-0.673543,-0.00868443,-0.136078
1991-06-01,1.5057,0.268579,,1.49301,0.506905,0.544165,1.36816,0.0875925,,0.821377,0.502284,0.41678,-0.137546,-0.180986,,-0.67163,-0.00462069,-0.127385
1991-07-01,1.49976,0.273236,,1.49615,0.508493,0.543613,1.36972,0.0895051,,0.813676,0.510817,0.424962,-0.130038,-0.18373,,-0.682479,0.0023238,-0.118651
1991-08-01,1.50034,0.277561,,1.49504,0.5084,0.53603,1.36672,0.091867,,0.814107,0.515302,0.429309,-0.133623,-0.185694,,-0.680931,0.00690273,-0.106722
1991-09-01,1.49609,0.285131,,1.50382,0.508224,0.529955,1.3785,0.0939845,,0.805738,0.51981,0.437316,-0.117591,-0.191147,,-0.698078,0.0115858,-0.0926385
1991-10-01,1.49064,0.293884,,1.50208,0.508104,0.515344,1.38711,0.0952405,,0.803174,0.523574,0.442874,-0.103531,-0.198643,,-0.698908,0.0154698,-0.0724698
1991-11-01,1.48499,0.302579,,1.49176,0.506284,0.505978,1.39059,0.0993061,,0.799421,0.530993,0.451511,-0.0943968,-0.203273,,-0.692337,0.0247088,-0.0544676
1991-12-01,1.48398,0.309122,,1.49126,0.507288,0.499242,1.3876,0.102309,,0.784249,0.542285,0.457068,-0.0963761,-0.206812,,-0.707006,0.0349973,-0.042174
1992-01-01,1.47748,0.317535,,1.48985,0.505631,0.490092,1.38426,0.103485,,0.778736,0.551016,0.465372,-0.0932269,-0.21405,,-0.711118,0.0453846,-0.0247207
1992-02-01,1.4841,0.323342,,1.48393,0.510313,0.492203,1.38855,0.102793,,0.77804,0.56228,0.476076,-0.0955467,-0.22055,,-0.705893,0.0519671,-0.0161265
1992-03-01,1.49453,0.329445,,1.4854,0.516683,0.497022,1.4017,0.105141,,0.776082,0.578716,0.485784,-0.092836,-0.224304,,-0.709317,0.0620334,-0.0112381
1992-04-01,1.49692,0.337167,,1.49069,0.518581,0.494493,1.39929,0.106923,,0.766887,0.588244,0.493846,-0.0976308,-0.230244,,-0.723808,0.0696637,-0.000647378
1992-05-01,1.49695,0.343197,,1.48979,0.521361,0.493714,1.39327,0.106385,,0.755241,0.594638,0.500277,-0.103677,-0.236812,,-0.734553,0.0732775,0.00656269
1992-06-01,1.50495,0.352015,,1.49379,0.528106,0.500276,1.4029,0.108425,,0.754203,0.601643,0.510143,-0.102056,-0.24359,,-0.739586,0.0735364,0.00986752
1992-07-01,1.50331,0.361311,,1.49593,0.531697,0.501207,1.40366,0.106598,,0.755992,0.608255,0.518309,-0.0996578,-0.254712,,-0.739935,0.0765583,0.0171025
1992-08-01,1.50358,0.37128,,1.49289,0.534783,0.502745,1.4009,0.108701,,0.752069,0.610153,0.520207,-0.102682,-0.262579,,-0.740823,0.0753696,0.0174618
1992-09-01,1.51094,0.382439,,1.49409,0.537155,0.508615,1.40262,0.107992,,0.751649,0.619681,0.521919,-0.108319,-0.274446,,-0.742443,0.0825263,0.0133037
1992-10-01,1.51073,0.388533,,1.48903,0.538366,0.514257,1.39226,0.110483,,0.746032,0.61993,0.530197,-0.118469,-0.27805,,-0.743002,0.0815637,0.01594
1992-11-01,1.51104,0.392093,,1.49384,0.539273,0.515907,1.38913,0.110306,,0.734501,0.622297,0.534219,-0.121903,-0.281786,,-0.759338,0.083025,0.018312
1992-12-01,1.52074,0.396684,,1.50199,0.542909,0.516998,1.39684,0.114383,,0.737209,0.62588,0.542824,-0.123897,-0.282301,,-0.764782,0.082971,0.0258263
1993-01-01,1.52433,0.398876,,1.49474,0.544776,0.5167,1.38905,0.115612,,0.734495,0.624706,0.542959,-0.13528,-0.283264,,-0.760249,0.0799302,0.0262589
1993-02-01,1.53014,0.399508,,1.49634,0.547908,0.512232,1.39306,0.118296,,0.722315,0.622996,0.541231,-0.137074,-0.281212,,-0.774027,0.0750879,0.0289993
1993-03-01,1.5473,0.4074,,1.50826,0.553125,0.514522,1.40626,0.117372,,0.719639,0.623556,0.542068,-0.141042,-0.290029,,-0.788623,0.0704304,0.0275459
1993-04-01,1.55775,0.413867,,1.52075,0.5569,0.515697,1.41436,0.119078,,0.718155,0.622255,0.543128,-0.143387,-0.294789,,-0.802593,0.0653549,0.027431
1993-05-01,1.56807,0.419929,,1.52491,0.559004,0.515821,1.42495,0.118024,,0.720708,0.621033,0.54499,-0.143127,-0.301905,,-0.804205,0.0620292,0.0291698
1993-06-01,1.58104,0.426777,,1.53269,0.562337,0.516016,1.42854,0.118509,,0.719865,0.621045,0.541125,-0.1525,-0.308268,,-0.812823,0.0587078,0.0251084
1993-07-01,1.58356,0.43215,,1.53587,0.563354,0.5155,1.42537,0.122095,,0.715887,0.613373,0.539266,-0.158195,-0.310054,,-0.819987,0.0500192,0.0237655
1993-08-01,1.5905,0.439497,,1.54476,0.563502,0.515545,1.43888,0.122143,,0.708834,0.612462,0.540037,-0.151618,-0.317354,,-0.835926,0.0489606,0.0244915
1993-09-01,1.60051,0.446353,,1.55298,0.568197,0.512097,1.44397,0.126808,,0.708654,0.608001,0.541337,-0.156532,-0.319545,,-0.844326,0.0398042,0.0292397
1993-10-01,1.61114,0.452399,,1.56282,0.571114,0.509614,1.4515,0.124499,,0.703742,0.604255,0.541239,-0.159634,-0.3279,,-0.859074,0.0331414,0.0316243
1993-11-01,1.62684,0.459165,,1.56968,0.579996,0.507174,1.46404,0.126371,,0.699946,0.609998,0.539889,-0.162804,-0.332794,,-0.869729,0.0300026,0.0327146
1993-12-01,1.62816,0.46173,,1.57004,0.584374,0.504413,1.47046,0.128285,,0.70111,0.608724,0.539354,-0.1577,-0.333445,,-0.868929,0.02435,0.0349417
1994-01-01,1.63147,0.468152,,1.5755,0.59209,0.502856,1.47439,0.126722,,0.699869,0.614972,0.540936,-0.157073,-0.34143,,-0.875628,0.0228818,0.03808
1994-02-01,1.63224,0.475307,,1.58114,0.598478,0.504422,1.47415,0.128975,,0.703302,0.617944,0.540807,-0.158092,-0.346333,,-0.877843,0.0194652,0.0363851
1994-03-01,1.63558,0.474539,,1.58726,0.606559,0.505076,1.48046,0.130716,,0.706499,0.624076,0.542596,-0.155114,-0.343823,,-0.880765,0.0175172,0.0375203
1994-04-01,1.63913,0.47606,,1.58799,0.610428,0.502836,1.48197,0.129859,,0.711377,0.62406,0.542772,-0.157156,-0.346201,,-0.876613,0.0136318,0.0399365
1994-05-01,1.64586,0.482293,,1.59028,0.618367,0.503877,1.49208,0.131655,,0.707493,0.633474,0.540121,-0.15378,-0.350638,,-0.882784,0.0151067,0.0362435
1994-06-01,1.65512,0.489877,,1.60319,0.624638,0.506297,1.50024,0.134594,,0.708041,0.641122,0.544818,-0.154884,-0.355284,,-0.895147,0.0164838,0.038521
