Sector,2026-03-10
Information Technology,0.3337
Financials,0.1233
Communication Services,0.1061
Consumer Discretionary,0.0996
Health Care,0.0954
Industrials,0.0898
Consumer Staples,0.0526
Energy,0.035
Utilities,0.0246
Materials,0.0202
Real Estate,0.0197
