date,NFP
2017-01-01,4.0760769746602366
2017-02-01,4.483286661264496
2017-03-01,4.179488012390342
2017-04-01,4.030903800599828
2017-05-01,4.112232027127027
2017-06-01,4.124025466593162
2017-07-01,4.15552547892164
2017-08-01,4.155880829702929
2017-09-01,4.184921302959421
2017-10-01,3.7897771513372147
2017-11-01,3.9979941707317
2017-12-01,4.205263796329195
2018-01-01,4.227734713673792
2018-02-01,4.162324914954985
2018-03-01,4.451098000115006
2018-04-01,4.363062223527536
2018-05-01,4.5304701470109565
2018-06-01,4.572292069210704
2018-07-01,4.341747539903107
2018-08-01,4.780282588934037
2018-09-01,4.747728271891893
2018-10-01,4.92206769145096
2018-11-01,4.958736437970246
2018-12-01,5.09604818001419
2019-01-01,4.913229815194198
2019-02-01,4.975770297225046
2019-03-01,4.862350974060159
2019-04-01,4.644051342885058
2019-05-01,4.4870210112642805
2019-06-01,4.555273230071477
2019-07-01,4.704116341308939
2019-08-01,4.664125553998177
2019-09-01,4.4252595488893265
2019-10-01,4.435358699431324
2019-11-01,4.682262226358835
2019-12-01,4.311675808459126
2020-01-01,4.553662102299882
2020-02-01,4.567550707384549
2020-03-01,3.885566426344722
2020-04-01,-5.380920233059895
2020-05-01,-5.019207516700908
2020-06-01,-3.5889162319186267
2020-07-01,-2.8146855086669147
2020-08-01,-2.0621448279165344
2020-09-01,-1.5483608657816843
2020-10-01,-1.219218712798276
2020-11-01,-1.349994611477146
2020-12-01,-0.6529735113429025
2021-01-01,-0.8133072419958092
2021-02-01,-0.5652928151206327
2021-03-01,0.053086156843740184
2021-04-01,11.529150175945091
2021-05-01,11.225908088752213
2021-06-01,9.810061723932616
2021-07-01,9.724343475670306
2021-08-01,8.946399525881299
2021-09-01,9.078156257563652
2021-10-01,9.658116379490789
2021-11-01,9.89328406626202
2021-12-01,9.985943321093238
2022-01-01,10.615581707997968
2022-02-01,10.550135016221596
2022-03-01,10.877947773009344
2022-04-01,10.629420870708127
2022-05-01,10.287572224664675
2022-06-01,9.901960135383515
2022-07-01,9.705794602732777
2022-08-01,9.537884229726789
2022-09-01,9.067224892080517
2022-10-01,8.539306530203184
2022-11-01,8.394996582707769
2022-12-01,7.870492829852549
2023-01-01,7.767630570219786
2023-02-01,7.5540631749759335
2023-03-01,7.171168627775648
2023-04-01,7.151089109242403
2023-05-01,7.091446893720366
2023-06-01,7.052378891111233
2023-07-01,6.7437066474845375
2023-08-01,6.585512946914651
2023-09-01,6.543796743554275
2023-10-01,6.180194122572713
2023-11-01,6.082819654516469
2023-12-01,6.2203729739124025
2024-01-01,6.151528543586116
2024-02-01,6.030830489436578
2024-03-01,6.059880574969889
2024-04-01,5.781384814179402
2024-05-01,5.869062584400053
