date,B020RC,B021RC,A191RC
1989-01-01,8.803606003934132,10.635585047538191,100.0
1989-04-01,9.0375473299334,10.60833719527416,100.0
1989-07-01,8.943272292469402,10.261449441782924,100.0
1989-10-01,8.967561282056055,10.407644577733613,100.0
1990-01-01,9.164982177706646,10.672550841597419,100.0
1990-04-01,9.159772403753808,10.314699863826144,100.0
1990-07-01,9.2292318219632,10.475309204344521,100.0
1990-10-01,9.462302487054796,10.779530080688017,100.0
1991-01-01,9.49726752052715,10.278354673217592,100.0
1991-04-01,9.641689334605545,10.02015387322254,100.0
1991-07-01,9.677748903993063,10.017326956428981,100.0
1991-10-01,9.820625297308341,10.188617200943725,100.0
1992-01-01,9.826763738817954,10.149499410821955,100.0
1992-04-01,9.676803183797645,10.183513134386162,100.0
1992-07-01,9.736560899248186,10.322674865277392,100.0
1992-10-01,9.600582444954595,10.30618624737176,100.0
1993-01-01,9.564008042845645,10.391771463352404,100.0
1993-04-01,9.59171465627758,10.519715333035,100.0
1993-07-01,9.457828121598965,10.45104269076087,100.0
1993-10-01,9.575493125063982,10.622709317057467,100.0
1994-01-01,9.573711586794857,10.706355510359417,100.0
1994-04-01,9.755688304469851,11.005486322417033,100.0
1994-07-01,10.051499950552953,11.37283413414813,100.0
1994-10-01,10.175944913194499,11.542934357465466,100.0
1995-01-01,10.390055473805912,11.790280857329465,100.0
1995-04-01,10.537545391457087,11.981840910898658,100.0
1995-07-01,10.821104693728138,11.790033352314325,100.0
1995-10-01,10.799764711513001,11.697535414854206,100.0
1996-01-01,10.776430685109222,11.904922279661047,100.0
1996-04-01,10.694125614353082,11.860699329253414,100.0
1996-07-01,10.571072070175301,11.975256929673188,100.0
1996-10-01,10.942167767120905,12.017524456791842,100.0
1997-01-01,10.981847272188078,12.283335854462488,100.0
1997-04-01,11.204009942685758,12.204159611213989,100.0
1997-07-01,11.244105991776584,12.361882494886482,100.0
1997-10-01,11.04654658097559,12.381422709595254,100.0
1998-01-01,10.861367758118217,12.386381066669072,100.0
1998-04-01,10.561056731112158,12.37082760525186,100.0
1998-07-01,10.253843369936751,12.168459561388286,100.0
1998-10-01,10.397438516994475,12.31978812977116,100.0
1999-01-01,10.219072121159606,12.424925116254572,100.0
1999-04-01,10.221518934179127,12.790440555757614,100.0
1999-07-01,10.361918210723234,13.20538128226654,100.0
1999-10-01,10.425048927316444,13.411478983831104,100.0
2000-01-01,10.538909033689075,14.058963354169714,100.0
2000-04-01,10.660540791724642,14.161196891510752,100.0
2000-07-01,10.89436109623952,14.652622500866052,100.0
2000-10-01,10.67237601212757,14.518626021108293,100.0
2001-01-01,10.456093305384318,14.187206784304488,100.0
2001-04-01,9.932135112290053,13.315320827241672,100.0
2001-07-01,9.403230978679906,12.857042282896266,100.0
2001-10-01,8.953833731039689,12.297465717174404,100.0
2002-01-01,8.997315031154091,12.450773717410181,100.0
2002-04-01,9.215890233243524,13.031864720830146,100.0
2002-07-01,9.25354149102838,13.188403146965019,100.0
2002-10-01,9.061024726361818,13.403847350616626,100.0
2003-01-01,9.01488236203545,13.529128206384634,100.0
2003-04-01,8.909583107742284,13.342903550158558,100.0
2003-07-01,8.97448554661639,13.303601886901086,100.0
2003-10-01,9.265566485616148,13.559416361670538,100.0
2004-01-01,9.544436828034906,14.149790997090731,100.0
2004-04-01,9.643738159104473,14.664992207853555,100.0
2004-07-01,9.612934373917977,14.78574923557343,100.0
2004-10-01,9.761208392144493,15.214481220690082,100.0
2005-01-01,9.910897267269096,15.19709886197661,100.0
2005-04-01,10.03894493750669,15.389749142178069,100.0
2005-07-01,9.945610826491286,15.51901171075761,100.0
2005-10-01,10.14803429501671,16.05012962489038,100.0
2006-01-01,10.386782998710741,16.09952798209165,100.0
2006-04-01,10.618135266781218,16.295197183145714,100.0
2006-07-01,10.656948286670048,16.46644387667281,100.0
2006-10-01,10.968112792639687,16.099645884500845,100.0
2007-01-01,11.099506220506793,16.197225772700964,100.0
2007-04-01,11.278675138431703,16.367602458650225,100.0
2007-07-01,11.583788458798391,16.494664638184116,100.0
2007-10-01,11.991212615113401,16.78422390190213,100.0
2008-01-01,12.360850312390815,17.52210884156407,100.0
2008-04-01,12.898616612310022,18.02469347600717,100.0
2008-07-01,12.954147460358941,18.155052578710333,100.0
2008-10-01,11.715587501613204,15.87549142167443,100.0
2009-01-01,10.520143496005813,13.271963334448802,100.0
2009-04-01,10.578616790393545,12.93781374430862,100.0
2009-07-01,11.033457528519493,13.845442456446158,100.0
2009-10-01,11.650680567111573,14.696786393730225,100.0
2010-01-01,11.86626905820458,15.189191208686703,100.0
2010-04-01,12.126451266767777,15.604433255094532,100.0
2010-07-01,12.371580029253476,15.919974891108485,100.0
2010-10-01,12.877351994243364,16.238124098516074,100.0
2011-01-01,13.282047920465937,16.955214987372617,100.0
2011-04-01,13.584527137607832,17.339418098217568,100.0
2011-07-01,13.717371575534653,17.397820014943704,100.0
2011-10-01,13.533614493373832,17.336093023373593,100.0
2012-01-01,13.512058047318817,17.35170406444342,100.0
2012-04-01,13.571657508916557,17.165613449563118,100.0
2012-07-01,13.543455430782428,16.870225293472394,100.0
2012-10-01,13.48877975199132,16.776532696679467,100.0
2013-01-01,13.513689022257703,16.63303578223506,100.0
2013-04-01,13.52732906733688,16.58618988929269,100.0
2013-07-01,13.469505271252203,16.415023834411908,100.0
2013-10-01,13.665171683631641,16.24696330656366,100.0
2014-01-01,13.656648769874458,16.61678424255995,100.0
2014-04-01,13.693153563756916,16.60513457622018,100.0
2014-07-01,13.496999744436991,16.274764825885075,100.0
