date,ST,MT,LT
2008-07-01,1.54431,1.68316,2.23422
2008-10-01,0.21091,1.38374,2.20112
2009-01-01,2.02555,1.67337,2.25026
2009-04-01,3.15793,1.92337,2.35157
2009-07-01,4.54664,2.15044,2.40865
2009-10-01,6.53356,2.337,2.47706
2010-01-01,5.44645,2.14061,2.43532
2010-04-01,3.42192,2.22576,2.41687
2010-07-01,2.45911,2.21868,2.43305
2010-10-01,1.40961,2.28218,2.50284
2011-01-01,0.553635,1.99042,2.44913
2011-04-01,0.282813,2.02544,2.36923
2011-07-01,-0.545092,2.02774,2.31655
2011-10-01,-0.382254,1.99384,2.31668
2012-01-01,0.863541,2.02351,2.24236
2012-04-01,1.32632,2.06813,2.22636
2012-07-01,1.21512,1.83043,2.16518
2012-10-01,0.350951,1.59393,2.11613
2013-01-01,0.336569,1.82781,2.18495
2013-04-01,-0.431089,1.54009,2.2022
2013-07-01,0.572982,1.63487,2.21557
2013-10-01,1.92664,1.93945,2.24489
2014-01-01,0.587021,1.53903,2.18819
2014-04-01,1.49117,1.20983,2.21612
2014-07-01,1.63715,1.06277,2.28893
2014-10-01,0.324511,0.722481,2.21767
2015-01-01,1.75078,0.817097,2.24399
2015-04-01,1.59248,0.849204,2.24504
2015-07-01,1.01226,0.775719,2.25984
2015-10-01,0.733454,0.587807,2.20037
2016-01-01,0.581747,0.822734,2.19092
2016-04-01,0.152879,0.823057,2.14456
2016-07-01,0.214448,0.929176,2.14312
2016-10-01,1.51758,0.968581,2.17246
2017-01-01,1.24943,0.899762,2.19191
2017-04-01,1.23948,0.805769,2.11965
2017-07-01,1.71496,1.02866,2.1201
2017-10-01,1.77292,1.25312,2.13276
2018-01-01,1.93801,1.21981,2.10228
2018-04-01,1.89677,1.27278,2.07735
2018-07-01,1.36997,1.18828,2.02321
2018-10-01,0.450357,0.958097,1.97558
2019-01-01,0.968834,1.29654,1.94804
2019-04-01,1.57637,1.28977,1.9607
2019-07-01,2.41964,1.34361,1.97128
2019-10-01,3.56305,1.60164,1.94398
2020-01-01,2.28452,1.40259,1.94428
2020-04-01,6.60678,2.27047,2.08462
