date,Two-year,label
2022-11-01,4.38,
2022-12-01,4.28857,
2023-01-01,4.2075,Jan\\2023
2023-02-01,4.53368,
2023-03-01,4.30261,
2023-04-01,4.016,Apr
2023-05-01,4.13182,
2023-06-01,4.63952,
2023-07-01,4.8285,Jul
2023-08-01,4.90174,
2023-09-01,5.022,
2023-10-01,5.06762,Oct
2023-11-01,4.90316,
