date,Black,Hispanic,Other,White
1989-01-01,9.9140148,11.527925,83.462173,166.41711
1992-01-01,20.512501,14.068674,76.973671,144.41629
1995-01-01,21.134861,24.192835,60.153065,148.64078
1998-01-01,28.261667,17.923367,70.015999,175.00354
2001-01-01,32.30941,19.586535,87.88829,205.74231
2004-01-01,32.054005,24.103354,111.40337,221.50259
2007-01-01,30.051014,30.194115,87.147942,245.44524
2010-01-01,21.716105,22.60387,58.319351,177.21161
2013-01-01,16.648657,17.565096,52.135242,180.61501
2016-01-01,21.152311,25.555445,79.700432,210.90643
2019-01-01,27.936848,41.789352,86.360794,219.20572
2022-01-01,44.099998,62.119999,132.2,284.31
