date,ELEC.GEN.COW-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.TSN-US-99.M,ELEC.GEN.HYC-US-99.M,ELEC.GEN.HPS-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.WND-US-99.M,ELEC.GEN.GEO-US-99.M,ELEC.GEN.WWW-US-99.M,ELEC.GEN.WAS-US-99.M,ELEC.GEN.PEL-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.ALL-US-99.M,ELEC.GEN.AOR-US-99.M,ELEC.GEN.OTH-US-99.M,ELEC.GEN.SUN-US-99.M,ELEC.GEN.OOG-US-99.M
2001-01-01,177287.111,68707.077,,18852.048,-588.626,42388.663,389.25,1229.325,3191.212,1208.64715,17300.012,811.83,332493.16,6024.93415,991.66885,6.5,718.442
2001-02-01,149735.484,61272.407,,17472.889,-706.956,37966.927,431.242,1073.044,2697.151,1096.33055,9625.873,715.63,282940.198,5310.33555,871.94945,12.568,675.659
2001-03-01,155269.011,62140.712,,20477.189,-773.345,44364.414,532.12,1190.023,2852.54,1189.04028,10981.23,751.776,300706.544,5795.22128,931.15472,31.498,769.181
2001-04-01,140670.654,56003.026,,18012.994,-795.915,45842.746,684.695,1094.991,2821.007,1187.23919,10236.641,626.735,278078.871,5826.69119,957.45581,38.759,697.843
2001-05-01,151592.914,61512.445,,19175.635,-622.526,50934.205,635.029,1071.38,2739.933,1210.74093,9641.073,748.916,300491.621,5738.13593,986.26807,81.053,784.555
2001-06-01,162615.804,68023.098,,20727.63,-773.65,57603.154,669.634,1087.828,2891.025,1224.77297,10997.408,825.432,327693.978,5964.40297,977.50103,91.143,733.198
2001-07-01,179060.41,69166.04,,18079.119,-870.786,73030.142,634.992,1178.533,3053.179,1285.78322,10050.231,991.796,357613.7,6244.48122,1022.16478,91.994,840.102
2001-08-01,183116.073,68389.496,,18913.768,-714.613,78409.804,577.206,1167.238,3178.69,1284.82124,13234.979,994.448,370532.828,6293.25424,1047.92876,85.299,847.69
2001-09-01,154158.317,63378.451,,15256.027,-928.405,60181.14,490.229,1139.01,2874.169,1201.46247,6431.968,910.518,306928.866,5769.67347,1003.81053,64.803,767.366
2001-10-01,148930.816,60460.967,,15234.503,-615.247,56376.441,606.829,1161.727,3046.466,1214.63765,5573.236,960.697,294733.613,6050.47265,1024.72035,20.813,737.007
2001-11-01,144116.998,62341.711,,15412.929,-810.802,44490.622,470.448,1157.17,2879.107,1191.8213,5090.123,840.598,278933.942,5712.8353,1040.3907,14.289,698.537
2001-12-01,157402.35,67430.878,,19346.314,-622.574,47540.861,615.657,1190.232,2975.426,1252.85502,5484.242,1054.829,305496.328,6038.20602,1051.32898,4.036,769.893
2002-01-01,164358.018,70925.863,,21794.932,-750.105,48412.832,811.402,1287.483,3255.322,1233.47497,5433.717,1256.654,319941.476,6599.00197,987.84803,11.32,922.715
2002-02-01,143048.822,61658.274,,20191.683,-586.188,44308.431,713.932,1132.195,2843.96,1086.12226,4388.474,1275.342,281825.712,5799.77426,981.43974,23.565,759.66
2002-03-01,151485.651,63040.647,,21008.813,-684.133,51214.464,852.102,1244.968,2960.789,1251.77531,6937.335,1280.041,302549.011,6354.03131,1008.23369,44.397,903.928
2002-04-01,142304.595,58437.062,,24246.605,-584.772,49146.409,1024.417,1114.735,3196.347,1161.60046,6534.567,1299.012,289848.253,6542.95746,1031.87654,45.858,889.941
2002-05-01,151406.401,63032.192,,26662.695,-538.788,50275.237,1077.641,1215.874,3161.187,1247.18483,6664.442,1462.424,307674.569,6759.52683,1040.87417,57.64,909.565
2002-06-01,164667.695,66371.896,,28212.847,-863.077,65631.018,1126.315,1150.799,3395.49,1297.59905,6428.519,1367.341,341023.144,7065.74605,1132.49995,95.543,1008.659
2002-07-01,183194.702,70420.827,,25470.647,-997.855,83917.269,890.455,1262.246,3440.225,1377.97594,8507.232,1405.761,381542.107,7056.43894,1495.93906,85.537,1071.146
2002-08-01,179955.447,70777.688,,21083.924,-934.63,84476.867,976.691,1227.097,3369.114,1396.21668,8193.733,1543.129,374585.819,7044.04368,1328.89932,74.925,1116.718
2002-09-01,165366.309,64480.79,,17086.782,-776.518,68161.131,735.828,1195.081,3312.99,1285.41016,6670.143,1405.207,331279.434,6581.91716,1250.36084,52.608,1053.312
2002-10-01,159099.294,60493.052,,17171.334,-680.998,54200.82,734.355,1235.076,3345.97,1212.83984,6909.679,1206.3,307059.46,6559.19684,1193.18116,30.956,907.601
2002-11-01,156053.655,61520.324,,19730.029,-666.344,45160.876,655.946,1189.364,3161.172,1214.99059,5173.562,1113.174,296289.561,6249.64759,1060.47641,28.175,894.161
2002-12-01,172189.765,68905.472,,21668.54,-679.52,46100.393,755.194,1236.391,3222.474,1278.52433,6859.153,1252.453,324833.705,6496.89033,1015.27967,4.307,1025.279
2003-01-01,181313.153,69211.084,,20600.079,-802.368,50175.746,632.34,1257.64,3269.296,1327.98224,11517.652,1124.455,341988.901,6500.47424,1065.73176,13.21701,1282.894
2003-02-01,156982.481,60941.869,,19779.86,-758.887,43546.573,745.375,1130.352,2904.744,1163.352,9740.466,1030.0,299248.777,5961.654,893.218,17.83027,1131.543
2003-03-01,155001.775,59933.261,,24202.273,-777.512,46699.026,1036.104,1212.859,3080.074,1339.59704,9346.787,875.596,304317.265,6718.66204,1050.61596,50.02709,1266.782
2003-04-01,141959.981,56775.591,,24758.962,-545.625,45195.383,1092.766,1166.455,3035.915,1318.28832,7313.636,1267.017,285755.699,6673.73332,1052.47168,60.309,1304.549
2003-05-01,150262.977,62201.96,,29395.256,-596.848,49372.963,1006.383,1168.695,2928.286,1301.3225,6840.638,1212.083,307544.887,6472.6485,1073.2115,67.962,1309.998
2003-06-01,162284.63,64180.727,,28586.3,-762.338,54452.951,1047.144,1222.791,3027.763,1289.75194,9534.075,1465.488,328693.698,6678.13294,1038.39106,90.682,1235.341
