date,All
1990-03-01,
1990-04-01,
1990-05-01,5.034561781286362
1990-06-01,4.919443155394816
1990-07-01,4.610253727601731
1990-08-01,4.628531879100062
1990-09-01,4.405281545601285
1990-10-01,4.055815115670103
1990-11-01,3.456836350488235
1990-12-01,3.2961030267175744
1991-01-01,3.723792091951706
1991-02-01,4.4712716391799
1991-03-01,5.094033011040056
1991-04-01,5.003727995412333
1991-05-01,4.49842564163269
1991-06-01,3.901997642852647
1991-07-01,3.7873586135753388
1991-08-01,3.9471719988265783
1991-09-01,4.31149525849277
1991-10-01,4.826382836962062
1991-11-01,5.187018077814402
1991-12-01,5.300968703038067
1992-01-01,4.522508454765998
1992-02-01,3.4351913881751925
1992-03-01,2.2480765468099038
1992-04-01,1.8505239398512785
1992-05-01,2.093557028113535
1992-06-01,2.387920033815124
1992-07-01,2.260367162470489
1992-08-01,1.899431136796818
1992-09-01,1.8254652001078897
1992-10-01,1.7986072676958658
1992-11-01,1.9795778911794775
1992-12-01,1.8015592447379787
1993-01-01,1.8187152793378791
1993-02-01,1.6579308272085018
1993-03-01,1.8090582221759781
1993-04-01,1.9828015506016945
1993-05-01,2.2496959828187
1993-06-01,2.5376927867356422
1993-07-01,2.948585602449439
1993-08-01,3.002495439285443
1993-09-01,2.653970912992376
1993-10-01,2.20309061463703
1993-11-01,2.0491203729726313
1993-12-01,2.2771691643131606
1994-01-01,2.8255362803013107
1994-02-01,3.0110134690725174
1994-03-01,3.1447860348690733
1994-04-01,2.4068208283380597
1994-05-01,1.9377538947277155
1994-06-01,1.1038479892620339
1994-07-01,0.66010960702975
1994-08-01,0.657404395012621
1994-09-01,1.233382916916222
1994-10-01,1.8765755355009055
1994-11-01,1.743466707301485
1994-12-01,1.1742249909990843
1995-01-01,0.6554564807646749
1995-02-01,1.087450686433981
1995-03-01,1.5758488202992342
1995-04-01,2.019321694347642
1995-05-01,1.7162596889680397
1995-06-01,1.896303249376441
1995-07-01,2.26432364071855
1995-08-01,2.671444663969728
1995-09-01,2.7630793322898826
1995-10-01,3.035301072175482
1995-11-01,3.617231719747993
1995-12-01,4.0135469954284995
1996-01-01,3.65557637402445
1996-02-01,3.200704547090849
1996-03-01,2.7896273937655223
1996-04-01,3.0715593043757408
1996-05-01,3.086593699630269
1996-06-01,3.232427217197808
1996-07-01,3.0387838973292634
1996-08-01,3.065729058981629
1996-09-01,2.574718930315889
1996-10-01,2.1919793905974614
1996-11-01,1.9389505042966955
1996-12-01,2.6366229958878793
1997-01-01,3.3624023205808413
1997-02-01,3.8211992804498607
1997-03-01,3.9518752656179985
1997-04-01,3.9977694670926045
1997-05-01,4.209700966537322
1997-06-01,4.0568937417023045
1997-07-01,3.750454234174564
1997-08-01,3.6382148050231766
1997-09-01,4.086559549348823
1997-10-01,4.624414499960887
1997-11-01,4.814118585889389
1997-12-01,4.673589422569005
1998-01-01,4.988508783288803
1998-02-01,5.5118782774916
1998-03-01,5.928007330471704
1998-04-01,5.844032811533178
1998-05-01,5.959126008436318
1998-06-01,6.385285363296671
1998-07-01,7.3575147449887135
1998-08-01,7.603224141184654
1998-09-01,7.070729715921886
1998-10-01,5.5785208044800685
1998-11-01,4.455933576870323
1998-12-01,4.20332864430933
1999-01-01,4.565179436577127
1999-02-01,4.898197531410223
1999-03-01,5.058637214599752
1999-04-01,5.420873717869465
1999-05-01,5.800032587665327
1999-06-01,5.6485355627869716
1999-07-01,4.684007225835581
1999-08-01,3.814272976854682
1999-09-01,3.9059566212720074
1999-10-01,4.778012386423961
1999-11-01,5.7590980816309765
1999-12-01,5.82199217708607
2000-01-01,5.484595293598875
2000-02-01,5.038311825285173
2000-03-01,4.713098838670274
2000-04-01,4.25111538120165
2000-05-01,3.596466265581603
2000-06-01,3.5059001628100126
2000-07-01,3.889181102670232
2000-08-01,4.810791856863646
2000-09-01,4.97774786040693
2000-10-01,5.0454127727981675
2000-11-01,4.4642765938880755
2000-12-01,4.13457436437296
2001-01-01,3.53861196773629
2001-02-01,2.897772019887198
2001-03-01,2.520468493388376
2001-04-01,2.3726536171023125
2001-05-01,2.715841666719765
2001-06-01,2.9645385349523985
2001-07-01,3.508960468315325
2001-08-01,3.8537651162871227
2001-09-01,4.17630069947154
2001-10-01,3.8609958874028742
2001-11-01,3.619265893482974
2001-12-01,3.587184155047914
2002-01-01,3.7907495667440263
2002-02-01,3.827481920662571
2002-03-01,3.360465834489316
2002-04-01,2.9981865384124844
2002-05-01,2.8509970777364018
2002-06-01,2.995885138757822
2002-07-01,2.9118207895766655
2002-08-01,2.4814553113555884
2002-09-01,2.1629084055485213
2002-10-01,1.8802991114318601
2002-11-01,1.9147400080249548
2002-12-01,1.7835915061951664
2003-01-01,1.7502514801180036
2003-02-01,1.69565286515793
2003-03-01,1.8446956777213346
2003-04-01,2.162180823234731
2003-05-01,2.2514512514765808
2003-06-01,2.1864153190279456
2003-07-01,2.1793531384746156
2003-08-01,2.3477759990061298
2003-09-01,2.5086600490905386
2003-10-01,2.3413639536688846
2003-11-01,2.0844827195584634
2003-12-01,1.5250483597546882
2004-01-01,1.126119716325739
2004-02-01,1.0285118196322236
2004-03-01,1.5323995234962862
2004-04-01,1.98599739371678
2004-05-01,2.124157154146148
2004-06-01,1.8330936341864297
2004-07-01,1.2921875965819691
2004-08-01,1.0359406182132973
2004-09-01,0.8507261913175338
2004-10-01,1.2318705389415225
2004-11-01,1.2135123288696519
2004-12-01,1.3921629971592742
2005-01-01,1.364429113122941
2005-02-01,1.5294608693404117
2005-03-01,1.6011067056435586
