date,TOTLFS,PTECONSA,PNS,TOTCES
1989-01-01,39.4,22.16,34.57,
1989-04-01,39.33,22.2,34.47,
1989-07-01,39.57,22.26,34.47,
1989-10-01,39.57,22.34,34.43,
1990-01-01,39.47,22.59,34.43,
1990-04-01,39.37,22.48,34.3,
1990-07-01,39.4,22.5,34.23,
1990-10-01,39.33,22.39,34.17,
1991-01-01,39.17,22.62,34.1,
1991-04-01,39.03,22.26,34.07,
1991-07-01,39.13,22.37,34.1,
1991-10-01,39.1,22.44,34.1,
1992-01-01,39.27,22.25,34.1,
1992-04-01,39.2,22.4,34.27,
1992-07-01,39.1,22.11,34.23,
1992-10-01,39.2,22.23,34.2,
1993-01-01,39.27,22.18,34.23,
1993-04-01,39.37,22.41,34.33,
1993-07-01,39.37,22.46,34.37,
1993-10-01,39.43,22.48,34.43,
1994-01-01,38.87,22.5,34.37,
1994-04-01,39.4,22.59,34.5,
1994-07-01,39.23,22.58,34.53,
1994-10-01,39.13,22.66,34.5,
1995-01-01,39.2,22.93,34.43,
1995-04-01,39.2,22.86,34.23,
1995-07-01,39.27,23.06,34.3,
1995-10-01,39.33,22.74,34.23,
1996-01-01,38.83,22.69,34.13,
1996-04-01,39.3,22.7,34.3,
1996-07-01,39.3,22.76,34.37,
1996-10-01,39.43,22.82,34.4,
1997-01-01,39.27,22.82,34.4,
1997-04-01,39.43,22.89,34.47,
1997-07-01,39.43,23.1,34.57,
1997-10-01,39.43,23.09,34.57,
1998-01-01,39.5,23.05,34.5,
1998-04-01,39.47,22.81,34.43,
1998-07-01,39.4,22.68,34.43,
1998-10-01,39.6,23.15,34.47,
1999-01-01,39.5,22.99,34.4,
1999-04-01,39.57,23.17,34.37,
1999-07-01,39.4,23.14,34.37,
1999-10-01,39.67,23.12,34.4,
2000-01-01,39.77,23.28,34.4,
2000-04-01,39.67,23.47,34.33,
2000-07-01,39.67,23.13,34.27,
2000-10-01,39.57,23.23,34.13,
2001-01-01,39.43,23.31,34.1,
2001-04-01,39.4,23.27,34.0,
2001-07-01,39.1,23.17,33.9,
2001-10-01,39.2,23.29,33.77,
2002-01-01,39.17,22.97,33.83,
2002-04-01,39.07,23.05,33.9,
2002-07-01,39.07,23.17,33.87,
2002-10-01,38.93,22.89,33.8,
2003-01-01,39.0,23.0,33.67,
2003-04-01,39.03,22.83,33.63,
2003-07-01,39.0,23.07,33.63,
2003-10-01,39.03,23.06,33.7,
2004-01-01,39.1,23.01,33.73,
2004-04-01,38.97,22.93,33.7,
2004-07-01,38.9,22.89,33.7,
2004-10-01,39.07,22.94,33.77,
2005-01-01,39.03,22.98,33.73,
2005-04-01,39.03,23.09,33.73,
2005-07-01,39.13,22.98,33.73,
2005-10-01,39.13,22.82,33.8,
2006-01-01,39.17,23.11,33.83,34.2
2006-04-01,39.3,22.92,33.83,34.33
2006-07-01,39.3,23.06,33.83,34.33
2006-10-01,39.17,23.23,33.87,34.37
2007-01-01,39.03,23.1,33.8,34.33
2007-04-01,39.13,23.07,33.83,34.43
2007-07-01,39.07,23.02,33.8,34.4
2007-10-01,39.23,23.22,33.8,34.37
2008-01-01,39.03,22.96,33.73,34.37
2008-04-01,38.9,23.09,33.7,34.37
2008-07-01,38.77,22.95,33.6,34.27
2008-10-01,38.57,22.84,33.43,34.1
2009-01-01,38.27,22.92,33.23,33.93
2009-04-01,38.0,22.72,33.03,33.77
2009-07-01,38.17,22.51,33.1,33.83
2009-10-01,37.93,22.48,33.17,33.87
2010-01-01,37.9,22.28,33.23,33.93
2010-04-01,38.27,22.53,33.37,34.13
2010-07-01,38.17,22.57,33.47,34.23
2010-10-01,38.17,22.39,33.53,34.27
2011-01-01,38.07,22.44,33.47,34.27
2011-04-01,38.3,22.53,33.6,34.37
2011-07-01,38.27,22.47,33.6,34.37
2011-10-01,38.33,22.76,33.67,34.43
2012-01-01,38.33,22.77,33.73,34.5
2012-04-01,38.37,22.57,33.67,34.4
2012-07-01,38.43,22.78,33.67,34.4
2012-10-01,38.57,22.78,33.67,34.43
2013-01-01,38.57,22.84,33.7,34.47
2013-04-01,38.6,22.86,33.67,34.47
2013-07-01,38.53,23.06,33.6,34.43
2013-10-01,38.73,22.94,33.6,34.4
2014-01-01,38.4,22.76,33.53,34.4
2014-04-01,38.67,23.12,33.7,34.5
2014-07-01,38.63,22.95,33.7,34.53
2014-10-01,38.73,23.08,33.77,34.6
2015-01-01,38.77,23.1,33.73,34.53
2015-04-01,38.7,22.83,33.6,34.5
2015-07-01,38.8,22.94,33.73,34.57
2015-10-01,38.73,23.03,33.73,34.5
2016-01-01,38.8,23.06,33.63,34.47
