date,W995RC,W996RC,AD03RC
1989-01-01,-1.7346871936381798,3.822306832947063,-0.7998544069742397
1989-04-01,-0.6871136611501938,3.390115890296292,-0.9073021951325113
1989-07-01,-0.17140253521942841,3.3298480431017152,-1.0425319536149134
1989-10-01,-0.3093834480812258,3.6637605165751816,-1.3690404623995844
1990-01-01,0.04137789408995963,3.638138566904734,-1.21010758082184
1990-04-01,0.05956347856083898,4.017296563036281,-1.3039871624764179
1990-07-01,-0.08460352219308821,3.97757915225575,-1.3879532830289558
1990-10-01,0.578793428450524,4.133805782871612,-1.628282223372796
1991-01-01,1.3078653189682226,4.679547148402251,-1.6640934202769166
1991-04-01,1.9468856977682865,4.53207531033015,-1.7206850750025056
1991-07-01,1.9623467012314175,4.347627118999113,-1.6949737001841947
1991-10-01,1.5259061319745744,5.01628212127307,-1.840310701184764
1992-01-01,1.909147456696435,5.07510330653194,-1.8435190886457582
1992-04-01,1.4539861837004384,5.195507855874184,-1.7795273911283722
1992-07-01,1.3388580249780673,5.358995565617185,-1.7937481278480123
1992-10-01,1.833851409778136,4.259682556123867,-1.6756368957444188
1993-01-01,1.8623785359268852,4.339204681981122,-1.7943641531956729
1993-04-01,1.5257002596146036,3.873364117375703,-1.7404914333936607
1993-07-01,2.2922951692928524,3.0810517374207693,-1.670987538974307
1993-10-01,1.398483946791283,2.7580870571441363,-1.3976569983081775
1994-01-01,1.340425304666389,2.617947027201443,-1.472275485085555
1994-04-01,0.9229010183759166,2.3568321541905117,-1.4801851983963972
1994-07-01,1.061645120258625,2.326029947858943,-1.3946112950692768
1994-10-01,0.4764135201752099,2.695898535375159,-1.4853081463787852
1995-01-01,0.17660847648900488,3.23736564761072,-1.4800149263076705
1995-04-01,0.5262764251192817,2.9194708822599456,-1.7173598670465111
1995-07-01,0.3527210607662898,2.7810168388513787,-1.531603351500854
1995-10-01,0.5758315186219877,2.607124578615148,-1.3749992602204724
1996-01-01,0.46713032320904146,2.5024058050436246,-1.2494681302637312
1996-04-01,0.08806349933522888,2.195313239153276,-1.3013081301258336
1996-07-01,-0.5053491351067367,2.266175796368845,-1.278819117181182
1996-10-01,-0.6796314328811295,2.130809679832528,-1.3022152793340154
1997-01-01,-1.0165910228270807,2.0486077687050344,-1.2239294817256003
1997-04-01,-1.3795564529145745,2.2283120031224963,-1.1831678664604568
1997-07-01,-1.3813395471660912,1.8024032119783584,-1.0891368783593984
1997-10-01,-1.9354414779896707,1.9398791248869056,-1.0877482501240316
1998-01-01,-3.306114715197012,2.6349690068663096,-1.0175514973247557
1998-04-01,-3.3344708668596343,2.1852907215727084,-1.1163473824483965
1998-07-01,-3.533423666034908,1.8809798865202287,-1.1169380174336485
1998-10-01,-3.196635331366256,1.3595773871526238,-0.9849374719644123
1999-01-01,-3.305970821249144,1.4245857395523795,-1.1581283056310196
1999-04-01,-2.7990313468327677,0.5225557088967081,-1.1960959883882576
1999-07-01,-2.9271247165832666,0.2541661433510269,-1.146288480225279
1999-10-01,-3.1490867406012786,0.2936548134640378,-1.1746899653695413
2000-01-01,-4.889713008993331,0.5791445384053776,-1.1092530863932173
2000-04-01,-4.712715923283701,0.6474539259084912,-1.027783949907096
2000-07-01,-5.091917740853163,0.7447703812806903,-1.1845259003907527
2000-10-01,-4.401052780312337,0.3512109607937523,-1.3516875378687185
2001-01-01,-4.349014249090436,0.7644793757284888,-1.5405601458777476
2001-04-01,-2.9443125200630846,0.5266459466860266,-1.8746776460295334
2001-07-01,-2.10244260870829,1.9889878480155423,-1.8616886243435677
2001-10-01,-0.3448028731665374,0.025346392885599592,-2.354813103653614
2002-01-01,-0.27048039513012945,1.3866407043056637,-2.338484775907799
2002-04-01,-0.37490336867737845,1.5440081144147908,-2.5073515999466456
2002-07-01,0.24971681808972682,1.0400242866413194,-2.513889355134906
2002-10-01,0.36268919473424605,1.1977278883558569,-2.6340963249391702
2003-01-01,0.5505339246445682,0.9863542804596089,-2.758535403965858
2003-04-01,0.917282300034253,1.0757566047534335,-2.492761565914942
2003-07-01,1.4042225489279025,1.07393013735413,-2.273317100252902
2003-10-01,1.345027624896181,0.5404411061853852,-2.0801961038381718
2004-01-01,1.612837871677826,0.20377227873195422,-2.1024282457740324
2004-04-01,0.4806677883129282,0.3952931818326339,-2.148941112910601
2004-07-01,0.2097235384862972,0.42612818958104065,-2.078362460925245
2004-10-01,-0.41536683190356505,0.1192580510564048,-1.731078445269187
2005-01-01,0.4181850224627717,-1.1955565470922052,-1.4956975119456528
2005-04-01,0.5731903477778737,-1.5627239055053508,-1.500717814423554
2005-07-01,0.7220719548914457,-1.1193899537795122,-1.4528254210475897
2005-10-01,-0.5828094683624361,-1.3071622364786433,-1.5551236559349477
2006-01-01,-1.473132806519997,-0.7963652864212136,-1.1779534638990063
2006-04-01,-1.6852383226352428,-0.69049701501243,-1.1975878059661351
2006-07-01,-2.030348868996931,-0.6499599890939002,-1.3840953962110893
2006-10-01,-2.053382619417452,-0.18901167666436708,-1.5193170617446692
2007-01-01,-2.2373611304558536,0.396767612558309,-1.5370020724817537
2007-04-01,-2.014383867240731,0.5787922332373339,-1.454962581600812
2007-07-01,-1.0029444094369984,0.5604195609729148,-1.704237694343785
2007-10-01,-0.3506998364812971,0.713149152801202,-1.881442503733099
2008-01-01,-1.0852131374436995,1.4499176474787898,-1.8857297424435222
2008-04-01,-0.09528819850798458,2.891937387791696,-1.8434092318108317
2008-07-01,0.5830934251115271,2.309933808047044,-2.4063869231982045
2008-10-01,1.8323652054188788,3.6641191279149354,-2.782738441721694
