date,PCE,CORE
1989-01-01,4.434628665579932,4.662333033486643
1989-02-01,4.627636299991256,4.713753387533881
1989-03-01,4.6570850484894954,4.580719152668156
1989-04-01,4.844560934543751,4.4208724257733145
1989-05-01,4.92228876042784,4.377425398099843
1989-06-01,4.706673100785874,4.215803851022715
1989-07-01,4.448941789867256,4.059322174482838
1989-08-01,4.151917782451808,3.9483700148932765
1989-09-01,3.878224763460625,3.7511315941074708
1989-10-01,3.9436189700793767,3.7320040665070664
1989-11-01,3.931158194002582,3.723447745817876
1989-12-01,3.9070803178298474,3.6752721820196843
1990-01-01,4.160722377939274,3.5513897447539966
1990-02-01,4.272403352347798,3.7898516733254617
1990-03-01,4.27652411586279,3.9769062056508764
1990-04-01,3.8028542101254947,3.9395644137265817
1990-05-01,3.6587377519712305,3.947052130574824
1990-06-01,3.8893918196033272,4.074032637013114
1990-07-01,3.898193760262725,4.068358627726054
1990-08-01,4.577470569885245,4.35557819663781
1990-09-01,4.985010566322101,4.357965542405706
1990-10-01,5.176155741583854,4.3343555372893805
1990-11-01,5.07856386876171,4.18256345577801
1990-12-01,4.873930479112887,4.032321453836607
1991-01-01,4.479535932968104,4.149962415434727
1991-02-01,4.074888101005891,3.9319889037808142
1991-03-01,3.706367472190264,3.6510841579551423
1991-04-01,3.6762946777460614,3.549005659852167
1991-05-01,3.8733290897517536,3.646090281203751
1991-06-01,3.5901010805158506,3.4676577185330792
1991-07-01,3.497487119511944,3.5217524509803866
1991-08-01,3.0520449014836304,3.3759458140102394
1991-09-01,2.7759573073682153,3.428041531749293
1991-10-01,2.383131894558832,3.3058602508938773
1991-11-01,2.4777636594663033,3.3745441338922433
1991-12-01,2.637975075470256,3.484647001934227
1992-01-01,2.3889574336829034,3.2493308874387283
1992-02-01,2.595841104928076,3.2464124518286397
1992-03-01,2.821828717616781,3.2890405219369034
1992-04-01,2.9152052181404153,3.4213945430922488
1992-05-01,2.6243220884272445,3.1548885153728223
1992-06-01,2.635201272482557,3.013031733309579
1992-07-01,2.8112449799196915,3.0882374702200455
1992-08-01,2.7102789500144997,2.8997269977126816
1992-09-01,2.5248614590450247,2.6559468516667684
1992-10-01,2.694388458682484,2.82462675622559
1992-11-01,2.671888467179784,2.857435627186633
1992-12-01,2.5927992880737216,2.7934347711807472
1993-01-01,2.7037611652532823,2.8150348784714563
1993-02-01,2.599275808705337,2.7318674296337164
1993-03-01,2.5615276237297424,2.698982991916088
1993-04-01,2.5560920193126835,2.661294980650375
1993-05-01,2.7378446564258807,2.8637346791636764
1993-06-01,2.5898937517695675,2.881678289435774
1993-07-01,2.415042775665377,2.7072029397410713
1993-08-01,2.4533507371918395,2.805105406568198
1993-09-01,2.3930813884610824,2.7919762896782885
1993-10-01,2.3536529579293752,2.5673208580556883
1993-11-01,2.346097201767283,2.607272468512045
1993-12-01,2.192066805845516,2.463243128063075
1994-01-01,1.9770034025577754,2.246458923512762
1994-02-01,2.058957048925847,2.2718597582526368
1994-03-01,2.1307378666315824,2.398115363455555
1994-04-01,1.980789692314433,2.2547295871720774
1994-05-01,1.8133999796573708,2.1363687338791015
1994-06-01,2.0277434817343343,2.264579015181223
1994-07-01,2.186965223192283,2.2682804114489974
1994-08-01,2.2454829742877047,2.1915018274139886
1994-09-01,2.2532685410158404,2.1938071956875804
1994-10-01,2.1048989360168413,2.263878073200587
1994-11-01,2.1066870044464947,2.188717977169641
1994-12-01,2.1493619531283814,2.1780421189812715
1995-01-01,2.3212333889432335,2.350871360097506
1995-02-01,2.265650782718498,2.297420585551979
1995-03-01,2.173570866423402,2.2000578600063436
1995-04-01,2.3210610564829537,2.2834190761781725
1995-05-01,2.3305598766929725,2.2303046939335713
1995-06-01,2.179638672570161,2.0925487188617087
1995-07-01,1.9868865487780552,2.0389477280492008
1995-08-01,1.9738612066890315,2.169075992737901
1995-09-01,1.9292240672116767,2.1494384472794614
1995-10-01,2.0205585834909945,2.1580092466684686
1995-11-01,1.8236396690953782,2.035968781812003
1995-12-01,1.9534385871019522,2.1451831750339156
1996-01-01,1.974812357687017,2.0072276437069547
1996-02-01,1.9544842294309195,1.9728663315496275
1996-03-01,2.0727130132765836,1.9585905696492434
1996-04-01,2.1105710135210565,1.8599209231017433
1996-05-01,2.1296477085715804,1.8634624421024482
1996-06-01,2.0286462687398865,1.8538142698091065
1996-07-01,2.116556733739672,1.8843665876491666
1996-08-01,1.9939736451115797,1.7288833070571608
1996-09-01,2.211861349318678,1.9013943558609858
1996-10-01,2.255961690172037,1.8967881054747338
1996-11-01,2.441488699118355,1.9647489191885636
1996-12-01,2.3622047244094446,1.8610273508587794
1997-01-01,2.2673705393447374,1.8536209962051853
1997-02-01,2.321612881029389,1.930721933637236
1997-03-01,2.121178859557671,1.938153598011616
1997-04-01,1.915106083197693,1.998917363119035
1997-05-01,1.693318220923401,1.8965903549352126
1997-06-01,1.8258043371388144,1.9688928105780379
1997-07-01,1.6706866712998814,1.8455714173041926
1997-08-01,1.6554803752059088,1.7178881008668156
1997-09-01,1.6141732283464716,1.6210553882414658
1997-10-01,1.4387612847339692,1.533598077124032
1997-11-01,1.2632574478146363,1.4324479465636974
1997-12-01,1.1255060728744937,1.450144753657967
1998-01-01,1.044530702463753,1.4994202936310375
1998-02-01,0.7800731654830972,1.3767371719036303
1998-03-01,0.6905817546688064,1.24246157836716
1998-04-01,0.7167496610874791,1.2322827001488568
1998-05-01,0.9010460728625436,1.2559499172185573
1998-06-01,0.6853081204318379,0.9789993025598687
1998-07-01,0.8752295299494728,1.1964686749787123
1998-08-01,0.9334529724517537,1.4332197087078002
