name;outer1;range1;rangest;range2;outer2;latest;y
DE;74.6228;2.819;9.4474;0.0;3.5932;82.8669;0.08
VT;76.8702;0.0;8.818;2.0039;2.7903;82.404;-0.92
OH;73.0347;0.0;10.0623;0.4537;6.9317;82.1502;-1.92
RI;71.7814;0.0;14.7413;0.0;3.9598;82.0528;-2.92
GA;70.2192;0.0;11.8203;1.104;7.3389;82.0395;-3.92
SC;68.5626;6.8233;6.6168;2.6873;5.7923;81.9533;-4.92
IN;71.7873;0.0;12.3588;1.3519;4.9843;81.8137;-5.92
CT;76.5669;0.1272;9.2893;0.654;3.8449;81.7374;-6.92
MD;76.8126;0.0;10.0893;0.111;3.4695;81.6049;-7.92
NV;62.4082;0.0;20.2967;1.8726;5.9049;81.4279;-8.92
OR;73.513;0.4419;9.6453;1.377;5.5052;81.409;-9.92
UT;74.035;3.0635;6.8901;0.5596;5.9342;81.3594;-10.92
WY;78.9473;0.5908;6.1587;1.506;3.2796;81.2133;-11.92
ID;73.6856;2.2771;7.1915;1.9684;5.3598;81.1394;-12.92
IL;72.7264;0.0;9.9389;1.7767;6.0404;81.0035;-13.92
AR;70.052;1.1426;9.3983;1.2979;8.5915;80.593;-14.92
OK;72.4032;0.0215;8.6588;0.3314;9.0675;79.9806;-15.92
