date,HQMCB10YRP,Spread
1989-01-01,9.87,0.7785
1989-02-01,9.91,0.741053
1989-03-01,10.12,0.762273
1989-04-01,10.04,0.8645
1989-05-01,9.78,0.920909
1989-06-01,9.26,0.982727
1989-07-01,8.96,0.9415
1989-08-01,8.98,0.867391
1989-09-01,9.1,0.9095
1989-10-01,8.96,0.952381
1989-11-01,8.86,0.985714
1989-12-01,8.9,1.064
1990-01-01,9.18,0.973333
1990-02-01,9.44,0.966842
1990-03-01,9.48,0.891364
1990-04-01,9.64,0.8545
1990-05-01,9.62,0.861818
1990-06-01,9.39,0.91
1990-07-01,9.4,0.928571
1990-08-01,9.56,0.807391
1990-09-01,9.68,0.786842
1990-10-01,9.77,1.05045
1990-11-01,9.67,1.278
1990-12-01,9.43,1.355
1991-01-01,9.39,1.2981
1991-02-01,9.15,1.29526
1991-03-01,9.18,1.07
1991-04-01,9.02,0.980909
1991-05-01,9,0.932273
1991-06-01,9.1,0.816
1991-07-01,9.13,0.857273
1991-08-01,8.83,0.93
1991-09-01,8.62,0.97
1991-10-01,8.43,0.902727
1991-11-01,8.36,0.942632
1991-12-01,8.05,0.961429
1992-01-01,7.91,0.877619
1992-02-01,8.16,0.822105
1992-03-01,8.32,0.777727
1992-04-01,8.23,0.749524
1992-05-01,8.17,0.778
1992-06-01,7.99,0.728182
1992-07-01,7.61,0.765455
1992-08-01,7.37,0.784286
1992-09-01,7.18,0.764762
1992-10-01,7.35,0.760952
1992-11-01,7.67,0.796842
1992-12-01,7.6,0.83
1993-01-01,7.45,0.85
1993-02-01,7.06,0.801053
1993-03-01,6.81,0.834783
1993-04-01,6.75,0.780476
1993-05-01,6.76,0.7245
1993-06-01,6.7,0.737273
1993-07-01,6.53,0.724762
1993-08-01,6.41,0.732273
1993-09-01,6.09,0.73
1993-10-01,6.05,0.716
1993-11-01,6.37,0.646
1993-12-01,6.4,0.625909
1994-01-01,6.35,0.5995
1994-02-01,6.57,0.596842
1994-03-01,7.09,0.607391
1994-04-01,7.69,0.717895
1994-05-01,7.87,0.686667
1994-06-01,7.78,0.678636
1994-07-01,7.96,0.662
1994-08-01,7.89,0.653913
1994-09-01,8.1,0.642857
1994-10-01,8.39,0.646
1994-11-01,8.59,0.635
1994-12-01,8.51,0.69619
1995-01-01,8.49,0.7105
1995-02-01,8.17,0.700526
1995-03-01,7.89,0.685217
1995-04-01,7.72,0.657368
1995-05-01,7.29,0.657273
1995-06-01,6.86,0.691818
1995-07-01,6.97,0.692
1995-08-01,7.18,0.691739
1995-09-01,6.88,0.6825
1995-10-01,6.71,0.665238
1995-11-01,6.6,0.669524
1995-12-01,6.39,0.6785
1996-01-01,6.33,0.677619
1996-02-01,6.47,0.6645
1996-03-01,6.93,0.661429
1996-04-01,7.16,0.648636
1996-05-01,7.35,0.613182
1996-06-01,7.52,0.608
1996-07-01,7.46,0.594545
1996-08-01,7.24,0.604545
1996-09-01,7.44,0.608
1996-10-01,7.12,0.586364
1996-11-01,6.79,0.586316
1996-12-01,6.91,0.607619
1997-01-01,7.17,0.590952
1997-02-01,7.01,0.590526
1997-03-01,7.28,0.5855
1997-04-01,7.47,0.584545
1997-05-01,7.31,0.599048
1997-06-01,7.09,0.59619
1997-07-01,6.81,0.589545
1997-08-01,6.9,0.601429
1997-09-01,6.81,0.601429
1997-10-01,6.67,0.640455
1997-11-01,6.59,0.715
1997-12-01,6.53,0.721364
1998-01-01,6.29,0.7455
1998-02-01,6.36,0.785263
1998-03-01,6.42,0.772727
1998-04-01,6.4,0.762381
1998-05-01,6.42,0.7675
1998-06-01,6.28,0.783636
1998-07-01,6.28,0.818636
1998-08-01,6.26,0.918095
1998-09-01,5.97,1.16333
1998-10-01,5.91,1.38
1998-11-01,6.1,1.27263
1998-12-01,5.88,1.235
1999-01-01,5.9,1.17789
1999-02-01,6.15,1.15105
1999-03-01,6.37,1.13739
1999-04-01,6.31,1.12545
1999-05-01,6.69,1.1505
1999-06-01,7.13,1.23045
1999-07-01,7.06,1.2681
1999-08-01,7.31,1.37091
1999-09-01,7.25,1.33476
1999-10-01,7.41,1.298
1999-11-01,7.24,1.206
1999-12-01,7.46,1.18455
2000-01-01,7.82,1.159
2000-02-01,7.83,1.3105
2000-03-01,7.75,1.49348
2000-04-01,7.67,1.67947
2000-05-01,8.22,1.77955
2000-06-01,7.87,1.77273
2000-07-01,7.78,1.726
2000-08-01,7.62,1.79391
2000-09-01,7.61,1.811
2000-10-01,7.59,1.85143
2000-11-01,7.58,1.86286
2000-12-01,7.18,1.9395
2001-01-01,6.95,1.78905
2001-02-01,6.85,1.75105
2001-03-01,6.64,1.75455
2001-04-01,6.82,1.679
2001-05-01,6.92,1.52864
2001-06-01,6.78,1.49571
2001-07-01,6.73,1.49381
2001-08-01,6.5,1.5287
2001-09-01,6.51,1.77824
2001-10-01,6.26,1.69318
2001-11-01,6.14,1.4885
2001-12-01,6.48,1.3925
2002-01-01,6.38,1.34429
2002-02-01,6.31,1.39842
2002-03-01,6.57,1.286
2002-04-01,6.5,1.28909
2002-05-01,6.47,1.30545
2002-06-01,6.2,1.2735
2002-07-01,6.11,1.45682
2002-08-01,5.89,1.63273
2002-09-01,5.53,1.66
2002-10-01,5.68,1.73909
2002-11-01,5.53,1.48158
2002-12-01,5.39,1.35762
2003-01-01,5.28,1.23143
2003-02-01,5.1,1.19737
2003-03-01,5,1.19286
2003-04-01,5.01,1.05143
2003-05-01,4.57,1.00095
2003-06-01,4.32,0.985714
2003-07-01,4.88,0.904545
2003-08-01,5.38,0.934762
2003-09-01,5.19,0.915714
2003-10-01,5.15,0.859545
2003-11-01,5.13,0.83
2003-12-01,5.08,0.812273
2004-01-01,4.94,0.7895
2004-02-01,4.9,0.815789
2004-03-01,4.65,0.823478
2004-04-01,5.16,0.812381
2004-05-01,5.59,0.8745
2004-06-01,5.63,0.89619
2004-07-01,5.39,0.891905
2004-08-01,5.18,0.898636
2004-09-01,4.99,0.864286
2004-10-01,4.96,0.863
2004-11-01,5.01,0.816
2004-12-01,5.01,0.779091
2005-01-01,5,0.7785
2005-02-01,4.91,0.744737
2005-03-01,5.23,0.732273
2005-04-01,5.14,0.799048
2005-05-01,4.98,0.835714
2005-06-01,4.83,0.831818
2005-07-01,4.97,0.7925
2005-08-01,5.04,0.777391
2005-09-01,5,0.800952
2005-10-01,5.28,0.8165
2005-11-01,5.39,0.855
2005-12-01,5.35,0.882857
2006-01-01,5.31,0.894
2006-02-01,5.47,0.901053
2006-03-01,5.61,0.886087
2006-04-01,5.87,0.879474
2006-05-01,5.99,0.88
2006-06-01,6.03,0.923636
2006-07-01,6.01,0.9225
2006-08-01,5.79,0.913478
2006-09-01,5.63,0.911
2006-10-01,5.64,0.910952
2006-11-01,5.5,0.904762
2006-12-01,5.44,0.8755
2007-01-01,5.63,0.870476
2007-02-01,5.61,0.887368
