date,average_life_expectancy_All Races_Both Sexes,average_life_expectancy_All Races_Female,average_life_expectancy_All Races_Male,average_life_expectancy_Black_Both Sexes,average_life_expectancy_Black_Female,average_life_expectancy_Black_Male,average_life_expectancy_White_Both Sexes,average_life_expectancy_White_Female,average_life_expectancy_White_Male
1900-07-01,47.3,48.3,46.3,33,33.5,32.5,47.6,48.7,46.6
1901-07-01,49.1,50.6,47.6,33.7,35.3,32.2,49.4,51,48
1902-07-01,51.5,53.4,49.8,34.6,36.4,32.9,51.9,53.8,50.2
1903-07-01,50.5,52,49.1,33.1,34.6,31.7,50.9,52.5,49.5
1904-07-01,47.6,49.1,46.2,30.8,32.7,29.1,48,49.5,46.6
1905-07-01,48.7,50.2,47.3,31.3,33.1,29.6,49.1,50.6,47.6
1906-07-01,48.7,50.8,46.9,32.9,33.9,31.8,49.3,51.4,47.3
1907-07-01,47.6,49.9,45.6,32.5,34,31.1,48.1,50.4,46
1908-07-01,51.1,52.8,49.5,34.9,36,33.8,51.5,53.3,49.9
1909-07-01,52.1,53.8,50.5,35.7,37.3,34.2,52.5,54.2,50.9
1910-07-01,50,51.8,48.4,35.6,37.5,33.8,50.3,52,48.6
1911-07-01,52.6,54.4,50.9,36.4,38.2,34.6,53,54.9,51.3
1912-07-01,53.5,55.9,51.5,37.9,40,35.9,53.9,56.2,51.9
1913-07-01,52.5,55,50.3,38.4,40.3,36.7,53,55.7,50.8
1914-07-01,54.2,56.8,52,38.9,40.8,37.1,54.9,57.5,52.7
1915-07-01,54.5,56.8,52.5,38.9,40.5,37.5,55.1,57.5,53.1
1916-07-01,51.7,54.3,49.6,41.3,43.1,39.6,52.5,55.2,50.2
1917-07-01,50.9,54,48.4,38.8,40.8,37,52,55.3,49.3
1918-07-01,39.1,42.2,36.6,31.1,32.5,29.9,39.8,43.2,37.1
1919-07-01,54.7,56,53.5,44.5,44.4,44.5,55.8,57.4,54.5
1920-07-01,54.1,54.6,53.6,45.3,45.2,45.5,54.9,55.6,54.4
1921-07-01,60.8,61.8,60,51.5,51.3,51.6,61.8,62.9,60.8
1922-07-01,59.6,61,58.4,52.4,53,51.8,60.4,61.9,59.1
1923-07-01,57.2,58.5,56.1,48.3,48.9,47.7,58.3,59.6,57.1
1924-07-01,59.7,61.5,58.1,46.6,47.8,45.5,61.4,63.4,59.8
1925-07-01,59,60.6,57.6,45.7,46.7,44.9,60.7,62.4,59.3
1926-07-01,56.7,58,55.5,44.6,45.6,43.7,58.2,59.6,57
1927-07-01,60.4,62.1,59,48.2,48.9,47.6,62,63.9,60.5
1928-07-01,56.8,58.3,55.6,46.3,47,45.6,58.4,60,57
1929-07-01,57.1,58.7,55.8,46.7,47.8,45.7,58.6,60.3,57.2
1930-07-01,59.7,61.6,58.1,48.1,49.2,47.3,61.4,63.5,59.7
1931-07-01,61.1,63.1,59.4,50.4,51.5,49.5,62.6,64.7,60.8
1932-07-01,62.1,63.5,61,53.7,54.6,52.8,63.2,64.5,62
1933-07-01,63.3,65.1,61.7,54.7,56,53.5,64.3,66.3,62.7
1934-07-01,61.1,63.3,59.3,51.8,53.7,50.2,62.4,64.6,60.5
1935-07-01,61.7,63.9,59.9,53.1,55.2,51.3,62.9,65,61
1936-07-01,58.5,60.6,56.6,49,51.4,47,59.8,61.9,58
1937-07-01,60,62.4,58,50.3,52.5,48.3,61.4,63.8,59.3
1938-07-01,63.5,65.3,61.9,52.9,54.3,51.7,65,66.8,63.2
1939-07-01,63.7,65.4,62.1,54.5,56,53.2,64.9,66.6,63.3
1940-07-01,62.9,65.2,60.8,53.1,54.9,51.5,64.2,66.6,62.1
1941-07-01,64.8,66.8,63.1,53.8,55.3,52.5,66.2,68.5,64.4
1942-07-01,66.2,67.9,64.7,56.6,58.2,55.4,67.3,69.4,65.9
1943-07-01,63.3,64.4,62.4,55.6,56.1,55.4,64.2,65.7,63.2
1944-07-01,65.2,66.8,63.6,56.6,57.7,55.8,66.2,68.4,64.5
1945-07-01,65.9,67.9,63.6,57.7,59.6,56.1,66.8,69.5,64.4
1946-07-01,66.7,69.4,64.4,59.1,61,57.5,67.5,70.3,65.1
1947-07-01,66.8,69.7,64.4,59.7,61.9,57.9,67.6,70.5,65.2
1948-07-01,67.2,69.9,64.6,60,62.5,58.1,68,71,
1949-07-01,68,70.7,65.2,60.6,62.7,58.9,68.8,71.9,
1950-07-01,68.2,71.1,65.6,60.8,62.9,59.1,69.1,72.2,
1951-07-01,68.4,71.4,65.6,61.2,63.4,59.2,69.3,72.4,
1952-07-01,68.6,71.6,65.8,61.4,63.8,59.1,69.5,72.6,
1953-07-01,68.8,72,66,62,64.5,59.7,69.7,73,
1954-07-01,69.6,72.8,66.7,63.4,65.9,61.1,70.5,73.7,
1955-07-01,69.6,72.8,66.7,63.7,66.1,61.4,70.5,73.7,
1956-07-01,69.7,72.9,66.7,63.6,66.1,61.3,70.5,73.9,
1957-07-01,69.5,72.7,66.4,63,65.5,60.7,70.3,73.7,
1958-07-01,69.6,72.9,66.6,63.4,65.8,61,70.5,73.9,
1959-07-01,69.9,73.2,66.8,63.9,66.5,61.3,70.7,74.2,
1960-07-01,69.7,73.1,66.6,63.6,66.3,61.1,70.6,74.1,
1961-07-01,70.2,73.6,67.1,64.5,67.1,62,71,74.6,
1962-07-01,70.1,73.5,66.9,64.2,66.9,61.6,70.9,74.5,
1963-07-01,69.9,73.4,66.6,63.7,66.6,61,70.8,74.4,
1964-07-01,70.2,73.7,66.8,64.2,67.3,61.3,71,74.7,
1965-07-01,70.2,73.8,66.8,64.3,67.6,61.2,71.1,74.8,
1966-07-01,70.2,73.9,66.7,64.2,67.6,60.9,71.1,74.8,
1967-07-01,70.5,74.3,67,64.9,68.5,61.4,71.4,75.2,
1968-07-01,70.2,74.1,66.6,64.1,67.9,60.4,71.1,75,
1969-07-01,70.5,74.4,66.8,64.5,68.6,60.6,71.4,75.3,
1970-07-01,70.8,74.7,67.1,64.1,68.3,60,71.7,75.6,
1971-07-01,71.1,75,67.4,64.6,68.9,60.5,72,75.8,
1972-07-01,71.2,75.1,67.4,64.7,69.1,60.4,72,75.9,
1973-07-01,71.4,75.3,67.6,65,69.3,60.9,72.2,76.1,
1974-07-01,72,75.9,68.2,66,70.3,61.7,72.8,76.7,
1975-07-01,72.6,76.6,68.8,66.8,71.3,62.4,73.4,77.3,
1976-07-01,72.9,76.8,69.1,67.2,71.6,62.9,73.6,77.5,
1977-07-01,73.3,77.2,69.5,67.7,72,63.4,74,77.9,
1978-07-01,73.5,77.3,69.6,68.1,72.4,63.7,74.1,78,
1979-07-01,73.9,77.8,70,68.5,72.9,64,74.6,78.4,
1980-07-01,73.7,77.4,70,68.1,72.5,63.8,74.4,78.1,
1981-07-01,74.1,77.8,70.4,68.9,73.2,64.5,74.8,78.4,
1982-07-01,74.5,78.1,70.8,69.4,73.6,65.1,75.1,78.7,
1983-07-01,74.6,78.1,71,69.4,73.5,65.2,75.2,78.7,
1984-07-01,74.7,78.2,71.1,69.5,73.6,65.3,75.3,78.7,
1985-07-01,74.7,78.2,71.1,69.3,73.4,65,75.3,78.7,
1986-07-01,74.7,78.2,71.2,69.1,73.4,64.8,75.4,78.8,
1987-07-01,74.9,78.3,71.4,69.1,73.4,64.7,75.6,78.9,
1988-07-01,74.9,78.3,71.4,68.9,73.2,64.4,75.6,78.9,
1989-07-01,75.1,78.5,71.7,68.8,73.3,64.3,75.9,79.2,
1990-07-01,75.4,78.8,71.8,69.1,73.6,64.5,76.1,79.4,
1991-07-01,75.5,78.9,72,69.3,73.8,64.6,76.3,79.6,
1992-07-01,75.8,79.1,72.3,69.6,73.9,65,76.5,79.8,
1993-07-01,75.5,78.8,72.2,69.2,73.7,64.6,76.3,79.5,
1994-07-01,75.7,79,72.4,69.5,73.9,64.9,76.5,79.6,
1995-07-01,75.8,78.9,72.5,69.6,73.9,65.2,76.5,79.6,
1996-07-01,76.1,79.1,73.1,70.2,74.2,66.1,76.8,79.7,
1997-07-01,76.5,79.4,73.6,71.1,74.7,67.2,77.1,79.9,
1998-07-01,76.7,79.5,73.8,71.3,74.8,67.6,77.3,80,
1999-07-01,76.7,79.4,73.9,71.4,74.7,67.8,77.3,79.9,
2000-07-01,76.8,79.7,74.3,71.8,75.1,68.2,77.3,79.9,
2001-07-01,77,79.5,74.3,72,75.3,68.5,77.5,80,
