date,Hours,Employment,Total
1989-01-01,39.4,116708.0,4598295.2
1989-02-01,39.4,116776.0,4600974.399999999
1989-03-01,39.4,117022.0,4610666.8
1989-04-01,39.2,117097.0,4590202.4
1989-05-01,39.4,117099.0,4613700.6
1989-06-01,39.4,117418.0,4626269.2
1989-07-01,39.5,117472.0,4640144.0
1989-08-01,39.6,117655.0,4659138.0
1989-09-01,39.6,117354.0,4647218.4
1989-10-01,39.6,117581.0,4656207.600000001
1989-11-01,39.6,117912.0,4669315.2
1989-12-01,39.5,117830.0,4654285.0
1990-01-01,39.5,119081.0,4703699.5
1990-02-01,39.5,119059.0,4702830.5
1990-03-01,39.4,119203.0,4696598.2
1990-04-01,39.4,118852.0,4682768.8
1990-05-01,39.2,119151.0,4670719.2
1990-06-01,39.5,118983.0,4699828.5
1990-07-01,39.4,118810.0,4681114.0
1990-08-01,39.4,118802.0,4680798.8
1990-09-01,39.4,118524.0,4669845.6
1990-10-01,39.3,118536.0,4658464.8
1990-11-01,39.4,118306.0,4661256.399999999
1990-12-01,39.3,118241.0,4646871.3
1991-01-01,39.2,117940.0,4623248.0
1991-02-01,39.2,117755.0,4615996.0
1991-03-01,39.1,117652.0,4600193.2
1991-04-01,38.9,118109.0,4594440.1
1991-05-01,39.1,117440.0,4591904.0
1991-06-01,39.1,117639.0,4599684.9
1991-07-01,39.1,117568.0,4596908.8
1991-08-01,39.2,117484.0,4605372.800000001
1991-09-01,39.1,117928.0,4610984.8
1991-10-01,39.2,117800.0,4617760.0
1991-11-01,39.1,117770.0,4604807.0
1991-12-01,39.0,117466.0,4581174.0
1992-01-01,39.2,117978.0,4624737.600000001
1992-02-01,39.3,117753.0,4627692.899999999
1992-03-01,39.3,118144.0,4643059.199999999
1992-04-01,39.2,118426.0,4642299.2
1992-05-01,39.2,118375.0,4640300.0
1992-06-01,39.2,118419.0,4642024.800000001
1992-07-01,39.2,118713.0,4653549.600000001
1992-08-01,39.1,118826.0,4646096.600000001
1992-09-01,39.0,118720.0,4630080.0
1992-10-01,39.2,118628.0,4650217.600000001
1992-11-01,39.2,118876.0,4659939.2
1992-12-01,39.2,118997.0,4664682.4
1993-01-01,39.2,119075.0,4667740.0
1993-02-01,39.3,119275.0,4687507.5
1993-03-01,39.3,119542.0,4698000.6
1993-04-01,39.4,119474.0,4707275.6
1993-05-01,39.4,120115.0,4732531.0
1993-06-01,39.3,120290.0,4727397.0
1993-07-01,39.3,120467.0,4734353.1
1993-08-01,39.4,120856.0,4761726.399999999
1993-09-01,39.4,120554.0,4749827.6
1993-10-01,39.4,120823.0,4760426.2
1993-11-01,39.4,121169.0,4774058.6
1993-12-01,39.5,121464.0,4797828.0
1994-01-01,39.0,121966.0,4756674.0
1994-02-01,38.4,122086.0,4688102.399999999
1994-03-01,39.2,121930.0,4779656.0
1994-04-01,39.6,122290.0,4842684.0
1994-05-01,39.3,122864.0,4828555.199999999
1994-06-01,39.3,122634.0,4819516.199999999
1994-07-01,39.3,122706.0,4822345.8
1994-08-01,39.2,123342.0,4835006.4
1994-09-01,39.2,123687.0,4848530.4
1994-10-01,39.2,124112.0,4865190.4
1994-11-01,38.9,124516.0,4843672.399999999
1994-12-01,39.3,124721.0,4901535.3
1995-01-01,39.3,124663.0,4899255.899999999
1995-02-01,39.1,124928.0,4884684.8
1995-03-01,39.2,124955.0,4898236.0
1995-04-01,39.2,124945.0,4897844.0
1995-05-01,39.1,124421.0,4864861.100000001
1995-06-01,39.3,124522.0,4893714.6
1995-07-01,39.3,124816.0,4905268.8
1995-08-01,39.3,124852.0,4906683.6
1995-09-01,39.2,125133.0,4905213.600000001
1995-10-01,39.3,125388.0,4927748.399999999
1995-11-01,39.4,125188.0,4932407.2
1995-12-01,39.3,125088.0,4915958.399999999
1996-01-01,37.8,125125.0,4729725.0
1996-02-01,39.4,125639.0,4950176.6
1996-03-01,39.3,125862.0,4946376.6
1996-04-01,39.3,125994.0,4951564.199999999
1996-05-01,39.3,126244.0,4961389.199999999
1996-06-01,39.3,126602.0,4975458.6
1996-07-01,39.2,126947.0,4976322.4
1996-08-01,39.3,127172.0,4997859.6
1996-09-01,39.4,127536.0,5024918.399999999
1996-10-01,39.5,127890.0,5051655.0
1996-11-01,39.5,127771.0,5046954.5
1996-12-01,39.3,127860.0,5024898.0
1997-01-01,39.1,128298.0,5016451.8
1997-02-01,39.3,128298.0,5042111.399999999
1997-03-01,39.4,128891.0,5078305.399999999
1997-04-01,39.3,129143.0,5075319.899999999
1997-05-01,39.5,129464.0,5113828.0
1997-06-01,39.5,129412.0,5111774.0
1997-07-01,39.4,129822.0,5114986.8
