date,p10,p25,p50,p75,p90,p10_3M,p25_3M,p50_3M,p75_3M,p90_3M,p10_gr,p25_gr,p50_gr,p75_gr,p90_gr,p10_3M_gr,p25_3M_gr,p50_3M_gr,p75_3M_gr,p90_3M_gr,label,FILL
2024-12-15,619.6547088276286,811.07753665846,1207.2890054263808,1903.2781357405768,2892.226068358254,611.9924657466852,804.7527639933801,1188.2203501725478,1857.205437495546,2871.978799163317,3.115236981890823,2.880979450852883,4.576347806575987,7.576281960615661,2.343351130106464,3.907432151008239,4.117483089750684,4.652767436793992,6.023410811929941,4.662083802117167,Dec\\2024,0
2025-01-15,628.7202481751989,822.9256132980194,1210.7215769909742,1894.176372310426,2907.861177464697,618.4629347242662,811.6736092462403,1198.4615273921254,1868.859756315199,2881.037622379963,4.847008314370083,5.944047872061797,5.945582295320806,3.406084322091796,0.8767763310859156,4.452101078602477,4.712941534097959,5.370430264119208,4.915192317102535,2.521775430190032,Jan\\2025,0
2025-02-15,635.1313472888727,827.9614302074838,1194.53968779232,1898.3310426470312,2909.158829445601,627.8354347639,820.6548600546543,1204.183423403225,1898.5951835660117,2903.0820250895176,7.242598005768497,7.45392153574933,5.9340865687629085,3.579121174387123,5.459723172374553,5.057892291141419,5.408257402675565,5.480253612905361,4.822267679267478,2.859362101919416,Feb,0
2025-03-15,614.2360756489174,801.3971391181387,1203.4337090604097,1908.0184293209425,2917.347757048881,626.0292237043296,817.4280608745472,1202.898324614568,1900.175281426133,2911.4559213197267,2.96227329039902,3.4218873228756275,4.602717483175467,5.8738750240244775,7.747408095234443,5.011615912963219,5.603426992548299,5.490172791474612,4.277634805147357,4.619276289909924,Mar,0
2025-04-15,619.725130228315,811.5215040902467,1219.241611494,1895.300918997905,2975.0,623.0308510553684,813.626691138623,1205.7383361155764,1900.55013032196,2933.835528831494,3.1615123475944085,3.511916252359004,6.588022037189689,2.3146922217312182,2.538289772078106,4.44570897183092,4.785919595150578,5.705070958721126,3.905921909772636,5.186997864198051,Apr,0
2025-05-15,614.6680673943252,814.9305399365194,1194.3291587187975,1888.0683008903604,2898.656556158007,616.2097577571859,809.2830610483015,1205.6681597577356,1897.1292164030688,2930.3347710689627,4.848900691110392,7.550673428112442,6.95224300483106,7.262814668618867,8.344534740848907,3.64950768725123,4.80281324953078,6.037655756052507,5.107779215285269,6.115903007750667,May,0
2025-06-15,611.6568653034087,795.2295119858439,1171.9232866476154,1877.4635735212296,2879.2322936583814,615.3500209753497,807.2271853375368,1195.1646856201376,1886.944264469832,2917.629616605463,1.6881224179564835,0.8605163624398893,0.500458546263971,-0.0877978999374362,-0.1630703176548897,3.2190861478475385,3.928093346783745,4.6351288399757,3.078611606647641,3.45352378216528,Jun,0
2025-07-15,609.8018439278708,814.5348431327346,1182.2784571256038,1860.0742742763084,2891.659259932493,612.0422588752016,808.2316316850325,1182.8436341640056,1875.202049562633,2889.8493699162937,0.1252107704987404,4.348581762835102,3.070087169101221,1.9821264879015696,3.052058388246226,2.1896328048025997,4.209389753692205,3.460416249919618,2.9715690853098,3.636289371780066,Jul,0
2025-08-15,,,,,,,,,,,,,,,,,,,,,,0
