date,TOT_POP
1990-07-01,217707475
1991-07-01,220296825
1992-07-01,223389888
1993-07-01,226300749
1994-07-01,229109565
1995-07-01,231820598
1996-07-01,234548620
1997-07-01,237486161
1998-07-01,240490419
1999-07-01,243480112
2000-07-01,246430153
2000-07-01,247092843
2001-07-01,249678664
2002-07-01,252102986
2003-07-01,254244404
2004-07-01,256601979
2005-07-01,258866801
2006-07-01,261215805
2007-07-01,263405496
2008-07-01,265316345
2009-07-01,267148354
2010-07-01,268843442
2011-07-01,270206859
2012-07-01,270700627
2013-07-01,271364260
2014-07-01,272143992
2015-07-01,272984393
2016-07-01,273739240
2017-07-01,274232135
2018-07-01,274318162
2019-07-01,274181260
