date,OVC,INC,INV,RV
1989-10-01,0.5884644242921377,2.0566082991629218,0.19322324813265854,6.098620481378069
1990-01-01,0.2189113253703752,2.0448419989157585,0.556890203124775,4.450665901828932
1990-04-01,0.12917660267248315,2.037608726555003,0.6871980403914544,3.3918067424361222
1990-07-01,0.10279787257536299,2.0194827517008807,0.8844214425562458,-0.21398399959023745
1990-10-01,0.06921776817103047,2.0094494154141973,0.8854865019034073,-0.07730182781727202
1991-01-01,0.1980097240338236,2.018217265004361,0.8241058951422688,1.8960186104056012
1991-04-01,0.2009776078351971,2.0152685319840784,0.5936910216419041,1.2205091588021437
1991-07-01,0.1617628686333854,2.048737378662657,0.47638370878822733,3.3985232277758395
1991-10-01,0.14527249105271428,2.033056700772453,0.37932629838870413,4.084402175236216
1992-01-01,-0.3328171701418831,2.0136809817475414,0.5388996824689212,2.1186437204102764
1992-04-01,-0.20787015571035575,2.044268599861971,0.6280222803931073,2.0282701689382607
1992-07-01,-0.14081335293666913,2.0550816619076517,0.8206982584409267,2.004219422746515
1992-10-01,0.029405009718720992,2.038750319053264,0.7523886448136491,1.8516771295065282
1993-01-01,0.48553546240484036,2.055388633894188,0.38953367100291053,2.71837743888449
1993-04-01,0.3227387252432295,2.0700584257169674,0.4408454776006161,3.523142829615761
1993-07-01,0.21513872594962669,2.059371728919103,0.21939351460994894,3.959161053614725
1993-10-01,0.10769836716299866,2.0292229695181216,0.08044837399184432,3.427515009483389
1994-01-01,0.027764649404854777,2.023226657742684,0.5029963157608451,2.342384434197311
1994-04-01,0.0396829102226656,2.0248593269238047,0.4944475402615398,1.976377083580415
1994-07-01,0.043149287452936634,2.0197199432028365,0.3787325130211274,1.8775587454959022
1994-10-01,0.02219579680752145,2.0146823386363906,0.27747192954626715,1.1068281485646174
1995-01-01,0.08867164340401193,2.0335329227053616,-0.06199009432398711,2.874197171224563
1995-04-01,0.1036094709449266,2.0470327385369838,-0.12549476687417777,4.2691853669209285
1995-07-01,0.1255075287508332,2.047594549073466,-0.18305130748306853,5.252354006875041
1995-10-01,0.3136588828803219,2.055164485138602,0.051955514881723217,6.592647458021202
1996-01-01,0.23587435245505914,2.0378430266482552,0.2646737250964784,6.426832862637258
1996-04-01,0.30512182678652605,2.0252951206846355,0.24234334886495315,5.784193326673496
1996-07-01,0.27634703875393646,2.007590450218959,0.14032126580266138,4.596823787790469
1996-10-01,0.09384407380633641,1.9867559735407256,0.12707962479997975,4.638719293750263
1997-01-01,0.07617877450211367,1.973849039761703,-0.3370399467665833,4.261654476224256
1997-04-01,-0.019594517383883174,1.9706453542792748,-0.3640107774830386,7.114750275776179
1997-07-01,-0.07690334177368491,1.9771719049536576,-0.26337471879370966,9.303242337950827
1997-10-01,-0.05432947149000609,1.961066412907721,-0.33686917875925965,8.898123531413777
1998-01-01,0.07316815911664823,1.9695099847863713,-0.08240957219728441,12.596619679706453
1998-04-01,0.17339715464896474,1.9259986757543641,0.06609104859916437,9.743145621311829
1998-07-01,0.2849432125942441,1.9005796931426673,0.15039781622877507,4.572616350543007
1998-10-01,0.2403094022693246,1.8944075849421729,0.04441716890930493,8.639482808559123
1999-01-01,0.19629740933926726,1.8289554931789778,-0.28478415387498096,4.768201712228482
1999-04-01,0.14376061244391164,1.8190298346154998,-0.9885255383968953,6.566117302935148
1999-07-01,0.12652296799639345,1.8668503150970177,-1.4677702446934418,8.659298032784832
1999-10-01,0.25154376999306644,1.7915601756635364,-1.5885835637792496,9.624206014146534
2000-01-01,0.15848138937824865,1.8072777495490207,-1.4672608378003122,11.800366756071472
2000-04-01,0.14888519855307938,1.7949023937260378,-1.2263589568721678,8.226081257691634
2000-07-01,0.12522177021365863,1.8327451056436832,-1.1579931797876901,10.170684894739118
2000-10-01,-0.0281024648287351,1.7518516279313425,-0.5114722361003148,2.0029266983983494
2001-01-01,0.3379439897618884,1.7277333309737692,-0.23676112841774757,-1.695248960613208
2001-04-01,0.3768121249860543,1.7558958027170772,-0.04501810449133562,1.2482203641707355
2001-07-01,0.4228284844838435,1.7460646638255823,0.22960921983392157,-3.183671943201552
2001-10-01,0.41643309077286095,1.7774439582209183,0.006164791914791375,1.4654018745784487
2002-01-01,0.10560456339923467,1.7980354601551132,-0.266848972942358,3.659914474870877
2002-04-01,0.1662156076169309,1.7733092582970709,-0.32128638426404627,-0.3667738607913859
2002-07-01,0.1104426241648542,1.8301390206438992,-0.7924795119369866,0.07371857396236899
2002-10-01,-0.21235593829854182,1.7897099065428186,-0.747667921612027,-0.8967505938817215
2003-01-01,-0.05488805886394189,1.780048560057505,-1.089144133215865,-1.4875625329834088
2003-04-01,-0.20452331190685555,1.8184063029303785,-0.6774699904952741,3.590140306893734
2003-07-01,-0.24040394894767236,1.8878825770678096,-0.3985648537304387,7.739484728799692
2003-10-01,0.5257369205140188,1.874245439110483,-0.32865393474057664,8.955550690204202
2004-01-01,2.1552504519926923,1.8899409261126283,0.3300170476451898,11.494089303173928
2004-04-01,2.230665155819157,1.8434133454957844,-0.4062424996774645,9.263561352551521
2004-07-01,2.308409337582058,1.8320784277450404,-0.17160933763891884,9.638075469207019
2004-10-01,2.000875462388026,1.788050406014056,-0.46564368577575005,10.483370899108989
2005-01-01,0.3793552078483302,1.7229294864644356,-0.8350422098545598,8.79848652769284
2005-04-01,0.26225758308280267,1.7152390214234492,-0.33195147969157324,9.735341088700238
2005-07-01,-0.07095412475091682,1.6905911883688778,-0.6312731976395891,10.606772179990442
2005-10-01,-0.040278618365687614,1.640969457207099,-0.39744456088252383,8.664012278218147
